pipeline,fraction,rep,n_used,d_est_sub,d_factor,d_pert,T_log,regime
C_MinCovDet_proj,0.5,0,10,2.9553130065990976,0.8,2.3642504052792783,-3.766452632674986,Divergence
C_MinCovDet_proj,0.5,0,10,2.9553130065990976,0.8500000000000001,2.5120160556092332,-3.426209648968661,Divergence
C_MinCovDet_proj,0.5,0,10,2.9553130065990976,0.9,2.6597817059391877,-3.085966665262337,Divergence
C_MinCovDet_proj,0.5,0,10,2.9553130065990976,0.95,2.8075473562691426,-2.745723681556012,Divergence
C_MinCovDet_proj,0.5,0,10,2.9553130065990976,1.0,2.9553130065990976,-2.405480697849687,Divergence
C_MinCovDet_proj,0.5,0,10,2.9553130065990976,1.05,3.1030786569290525,-2.0652377141433624,Divergence
C_MinCovDet_proj,0.5,0,10,2.9553130065990976,1.1,3.2508443072590074,-1.7249947304370372,Divergence
C_MinCovDet_proj,0.5,0,10,2.9553130065990976,1.15,3.398609957588962,-1.3847517467307133,Divergence
C_MinCovDet_proj,0.5,0,10,2.9553130065990976,1.2,3.546375607918917,-1.0445087630243886,Divergence
C_MinCovDet_proj,0.5,1,10,3.590846784557808,0.8,2.872677427646247,-2.5957561500974538,Divergence
C_MinCovDet_proj,0.5,1,10,3.590846784557808,0.8500000000000001,3.052219766874137,-2.1823446362300336,Divergence
C_MinCovDet_proj,0.5,1,10,3.590846784557808,0.9,3.2317621061020274,-1.7689331223626132,Divergence
C_MinCovDet_proj,0.5,1,10,3.590846784557808,0.95,3.4113044453299173,-1.3555216084951938,Divergence
C_MinCovDet_proj,0.5,1,10,3.590846784557808,1.0,3.590846784557808,-0.9421100946277725,Divergence
C_MinCovDet_proj,0.5,1,10,3.590846784557808,1.05,3.770389123785699,-0.5286985807603511,Divergence
C_MinCovDet_proj,0.5,1,10,3.590846784557808,1.1,3.949931463013589,-0.11528706689293075,Divergence
C_MinCovDet_proj,0.5,1,10,3.590846784557808,1.15,4.1294738022414785,0.29812444697448753,Saturation
C_MinCovDet_proj,0.5,1,10,3.590846784557808,1.2,4.309016141469369,0.711535960841909,Saturation
C_MinCovDet_proj,0.5,2,10,3.776521860280403,0.8,3.021217488224323,-2.2537300208979434,Divergence
C_MinCovDet_proj,0.5,2,10,3.776521860280403,0.8500000000000001,3.210043581238343,-1.8189418739555534,Divergence
C_MinCovDet_proj,0.5,2,10,3.776521860280403,0.9,3.3988696742523627,-1.3841537270131645,Divergence
C_MinCovDet_proj,0.5,2,10,3.776521860280403,0.95,3.587695767266383,-0.9493655800707743,Divergence
C_MinCovDet_proj,0.5,2,10,3.776521860280403,1.0,3.776521860280403,-0.5145774331283843,Divergence
C_MinCovDet_proj,0.5,2,10,3.776521860280403,1.05,3.9653479532944234,-0.07978928618599422,Divergence
C_MinCovDet_proj,0.5,2,10,3.776521860280403,1.1,4.154174046308444,0.35499886075639586,Saturation
C_MinCovDet_proj,0.5,2,10,3.776521860280403,1.15,4.343000139322463,0.7897870076987838,Saturation
C_MinCovDet_proj,0.5,2,10,3.776521860280403,1.2,4.531826232336484,1.224575154641176,Saturation
C_MinCovDet_proj,0.5,3,10,3.545690226629612,0.8,2.8365521813036896,-2.6789376038065638,Divergence
C_MinCovDet_proj,0.5,3,10,3.545690226629612,0.8500000000000001,3.0138366926351705,-2.2707249307959616,Divergence
C_MinCovDet_proj,0.5,3,10,3.545690226629612,0.9,3.191121203966651,-1.8625122577853608,Divergence
C_MinCovDet_proj,0.5,3,10,3.545690226629612,0.95,3.368405715298131,-1.4542995847747608,Divergence
C_MinCovDet_proj,0.5,3,10,3.545690226629612,1.0,3.545690226629612,-1.046086911764159,Divergence
C_MinCovDet_proj,0.5,3,10,3.545690226629612,1.05,3.722974737961093,-0.6378742387535569,Divergence
C_MinCovDet_proj,0.5,3,10,3.545690226629612,1.1,3.9002592492925734,-0.22966156574295585,Divergence
C_MinCovDet_proj,0.5,3,10,3.545690226629612,1.15,4.077543760624054,0.17855110726764514,Saturation
C_MinCovDet_proj,0.5,3,10,3.545690226629612,1.2,4.254828271955534,0.5867637802782462,Saturation
C_MinCovDet_proj,0.5,4,10,3.447693216794823,0.8,2.7581545734358586,-2.8594547670094244,Divergence
