pipeline,fraction,rep,n_used,d_est_sub,d_factor,d_pert,T_log,regime
A_baseline_StandardScaler,0.5,0,10,2.9553130065990976,0.8,2.3642504052792783,-3.766452632674986,Divergence
A_baseline_StandardScaler,0.5,0,10,2.9553130065990976,0.8500000000000001,2.5120160556092332,-3.426209648968661,Divergence
A_baseline_StandardScaler,0.5,0,10,2.9553130065990976,0.9,2.6597817059391877,-3.085966665262337,Divergence
A_baseline_StandardScaler,0.5,0,10,2.9553130065990976,0.95,2.8075473562691426,-2.745723681556012,Divergence
A_baseline_StandardScaler,0.5,0,10,2.9553130065990976,1.0,2.9553130065990976,-2.405480697849687,Divergence
A_baseline_StandardScaler,0.5,0,10,2.9553130065990976,1.05,3.1030786569290525,-2.0652377141433624,Divergence
A_baseline_StandardScaler,0.5,0,10,2.9553130065990976,1.1,3.2508443072590074,-1.7249947304370372,Divergence
A_baseline_StandardScaler,0.5,0,10,2.9553130065990976,1.15,3.398609957588962,-1.3847517467307133,Divergence
A_baseline_StandardScaler,0.5,0,10,2.9553130065990976,1.2,3.546375607918917,-1.0445087630243886,Divergence
A_baseline_StandardScaler,0.5,1,10,3.590846784557808,0.8,2.872677427646247,-2.5957561500974538,Divergence
A_baseline_StandardScaler,0.5,1,10,3.590846784557808,0.8500000000000001,3.052219766874137,-2.1823446362300336,Divergence
A_baseline_StandardScaler,0.5,1,10,3.590846784557808,0.9,3.2317621061020274,-1.7689331223626132,Divergence
A_baseline_StandardScaler,0.5,1,10,3.590846784557808,0.95,3.4113044453299173,-1.3555216084951938,Divergence
A_baseline_StandardScaler,0.5,1,10,3.590846784557808,1.0,3.590846784557808,-0.9421100946277725,Divergence
A_baseline_StandardScaler,0.5,1,10,3.590846784557808,1.05,3.770389123785699,-0.5286985807603511,Divergence
A_baseline_StandardScaler,0.5,1,10,3.590846784557808,1.1,3.949931463013589,-0.11528706689293075,Divergence
A_baseline_StandardScaler,0.5,1,10,3.590846784557808,1.15,4.1294738022414785,0.29812444697448753,Saturation
A_baseline_StandardScaler,0.5,1,10,3.590846784557808,1.2,4.309016141469369,0.711535960841909,Saturation
A_baseline_StandardScaler,0.5,2,10,3.776521860280403,0.8,3.021217488224323,-2.2537300208979434,Divergence
A_baseline_StandardScaler,0.5,2,10,3.776521860280403,0.8500000000000001,3.210043581238343,-1.8189418739555534,Divergence
A_baseline_StandardScaler,0.5,2,10,3.776521860280403,0.9,3.3988696742523627,-1.3841537270131645,Divergence
A_baseline_StandardScaler,0.5,2,10,3.776521860280403,0.95,3.587695767266383,-0.9493655800707743,Divergence
A_baseline_StandardScaler,0.5,2,10,3.776521860280403,1.0,3.776521860280403,-0.5145774331283843,Divergence
A_baseline_StandardScaler,0.5,2,10,3.776521860280403,1.05,3.9653479532944234,-0.07978928618599422,Divergence
A_baseline_StandardScaler,0.5,2,10,3.776521860280403,1.1,4.154174046308444,0.35499886075639586,Saturation
A_baseline_StandardScaler,0.5,2,10,3.776521860280403,1.15,4.343000139322463,0.7897870076987838,Saturation
A_baseline_StandardScaler,0.5,2,10,3.776521860280403,1.2,4.531826232336484,1.224575154641176,Saturation
A_baseline_StandardScaler,0.5,3,10,3.545690226629611,0.8,2.836552181303689,-2.6789376038065646,Divergence
A_baseline_StandardScaler,0.5,3,10,3.545690226629611,0.8500000000000001,3.0138366926351696,-2.270724930795964,Divergence
A_baseline_StandardScaler,0.5,3,10,3.545690226629611,0.9,3.19112120396665,-1.8625122577853628,Divergence
A_baseline_StandardScaler,0.5,3,10,3.545690226629611,0.95,3.36840571529813,-1.4542995847747628,Divergence
A_baseline_StandardScaler,0.5,3,10,3.545690226629611,1.0,3.545690226629611,-1.046086911764161,Divergence
A_baseline_StandardScaler,0.5,3,10,3.545690226629611,1.05,3.722974737961092,-0.6378742387535589,Divergence
A_baseline_StandardScaler,0.5,3,10,3.545690226629611,1.1,3.9002592492925725,-0.22966156574295787,Divergence
A_baseline_StandardScaler,0.5,3,10,3.545690226629611,1.15,4.077543760624052,0.17855110726764106,Saturation
A_baseline_StandardScaler,0.5,3,10,3.545690226629611,1.2,4.2548282719555335,0.586763780278244,Saturation
A_baseline_StandardScaler,0.5,4,10,3.447693216794823,0.8,2.7581545734358586,-2.8594547670094244,Divergence
A_baseline_StandardScaler,0.5,4,10,3.447693216794823,0.8500000000000001,2.9305392342756,-2.4625244166990017,Divergence
A_baseline_StandardScaler,0.5,4,10,3.447693216794823,0.9,3.102923895115341,-2.065594066388579,Divergence
A_baseline_StandardScaler,0.5,4,10,3.447693216794823,0.95,3.275308555955082,-1.6686637160781572,Divergence
A_baseline_StandardScaler,0.5,4,10,3.447693216794823,1.0,3.447693216794823,-1.2717333657677345,Divergence
A_baseline_StandardScaler,0.5,4,10,3.447693216794823,1.05,3.6200778776345643,-0.874803015457312,Divergence
A_baseline_StandardScaler,0.5,4,10,3.447693216794823,1.1,3.7924625384743056,-0.4778726651468893,Divergence
A_baseline_StandardScaler,0.5,4,10,3.447693216794823,1.15,3.9648471993140464,-0.08094231483646766,Divergence
A_baseline_StandardScaler,0.5,4,10,3.447693216794823,1.2,4.137231860153787,0.315988035473954,Saturation
A_baseline_StandardScaler,0.5,5,10,2.945720206341012,0.8,2.3565761650728096,-3.784123223774456,Divergence
A_baseline_StandardScaler,0.5,5,10,2.945720206341012,0.8500000000000001,2.5038621753898602,-3.4449846520118483,Divergence
A_baseline_StandardScaler,0.5,5,10,2.945720206341012,0.9,2.651148185706911,-3.1058460802492402,Divergence
