pipeline,fraction,rep,n_used,d_est_sub,d_factor,d_pert,T_log,regime
B_winsor1-99_StandardScaler,0.5,0,10,2.9704595330550623,0.8,2.37636762644405,-3.7385516998524704,Divergence
B_winsor1-99_StandardScaler,0.5,0,10,2.9704595330550623,0.8500000000000001,2.5248906030968032,-3.396564907844738,Divergence
B_winsor1-99_StandardScaler,0.5,0,10,2.9704595330550623,0.9,2.673413579749556,-3.0545781158370073,Divergence
B_winsor1-99_StandardScaler,0.5,0,10,2.9704595330550623,0.95,2.821936556402309,-2.712591323829275,Divergence
B_winsor1-99_StandardScaler,0.5,0,10,2.9704595330550623,1.0,2.9704595330550623,-2.370604531821543,Divergence
B_winsor1-99_StandardScaler,0.5,0,10,2.9704595330550623,1.05,3.1189825097078154,-2.0286177398138108,Divergence
B_winsor1-99_StandardScaler,0.5,0,10,2.9704595330550623,1.1,3.2675054863605686,-1.6866309478060786,Divergence
B_winsor1-99_StandardScaler,0.5,0,10,2.9704595330550623,1.15,3.4160284630133213,-1.3446441557983475,Divergence
B_winsor1-99_StandardScaler,0.5,0,10,2.9704595330550623,1.2,3.5645514396660745,-1.0026573637906153,Divergence
B_winsor1-99_StandardScaler,0.5,1,10,3.593391638028246,0.8,2.874713310422597,-2.591068356765547,Divergence
B_winsor1-99_StandardScaler,0.5,1,10,3.593391638028246,0.8500000000000001,3.0543828923240093,-2.177363855814882,Divergence
B_winsor1-99_StandardScaler,0.5,1,10,3.593391638028246,0.9,3.2340524742254213,-1.7636593548642177,Divergence
B_winsor1-99_StandardScaler,0.5,1,10,3.593391638028246,0.95,3.4137220561268333,-1.3499548539135535,Divergence
B_winsor1-99_StandardScaler,0.5,1,10,3.593391638028246,1.0,3.593391638028246,-0.9362503529628884,Divergence
B_winsor1-99_StandardScaler,0.5,1,10,3.593391638028246,1.05,3.7730612199296583,-0.5225458520122231,Divergence
B_winsor1-99_StandardScaler,0.5,1,10,3.593391638028246,1.1,3.9527308018310707,-0.108841351061558,Divergence
B_winsor1-99_StandardScaler,0.5,1,10,3.593391638028246,1.15,4.132400383732483,0.3048631498891062,Saturation
B_winsor1-99_StandardScaler,0.5,1,10,3.593391638028246,1.2,4.312069965633895,0.7185676508397703,Saturation
B_winsor1-99_StandardScaler,0.5,2,10,3.779110601228866,0.8,3.023288480983093,-2.248961383843901,Divergence
B_winsor1-99_StandardScaler,0.5,2,10,3.779110601228866,0.8500000000000001,3.2122440110445365,-1.8138751970856326,Divergence
B_winsor1-99_StandardScaler,0.5,2,10,3.779110601228866,0.9,3.4011995411059797,-1.3787890103273652,Divergence
B_winsor1-99_StandardScaler,0.5,2,10,3.779110601228866,0.95,3.5901550711674224,-0.9437028235690988,Divergence
B_winsor1-99_StandardScaler,0.5,2,10,3.779110601228866,1.0,3.779110601228866,-0.5086166368108305,Divergence
B_winsor1-99_StandardScaler,0.5,2,10,3.779110601228866,1.05,3.9680661312903096,-0.0735304500525621,Divergence
B_winsor1-99_StandardScaler,0.5,2,10,3.779110601228866,1.1,4.157021661351753,0.3615557367057063,Saturation
B_winsor1-99_StandardScaler,0.5,2,10,3.779110601228866,1.15,4.345977191413196,0.7966419234639726,Saturation
B_winsor1-99_StandardScaler,0.5,2,10,3.779110601228866,1.2,4.534932721474639,1.2317281102222388,Saturation
B_winsor1-99_StandardScaler,0.5,3,10,3.5426461798127673,0.8,2.834116943850214,-2.684544945264838,Divergence
B_winsor1-99_StandardScaler,0.5,3,10,3.5426461798127673,0.8500000000000001,3.0112492528408525,-2.276682731095378,Divergence
B_winsor1-99_StandardScaler,0.5,3,10,3.5426461798127673,0.9,3.188381561831491,-1.868820516925919,Divergence
