left_out_city,d_part,d_pca90,d_est,d_est_clipped,T_log,n_used
Beijing_China_39.9042_116.4074,3.728284120694315,4,3.8641420603471577,3.8641420603471577,-0.4000254131430709,19
Berlin_Germany_52.52_13.405,3.776150032305658,4,3.888075016152829,3.888075016152829,-0.32955628518218444,19
Chicago_USA_41.8781_-87.6298,3.771869921145467,4,3.8859349605727336,3.8859349605727336,-0.33585754824980013,19
Dallas_USA_32.7767_-96.797,3.7197161514111334,4,3.8598580757055667,3.8598580757055667,-0.41263934450792167,19
Delhi_India_28.7041_77.1025,3.6817698022389336,4,3.840884901119467,3.840884901119467,-0.4685046993177638,19
Houston_USA_29.7604_-95.3698,3.6604478178384903,4,3.830223908919245,3.830223908919245,-0.4998953403086871,19
Lagos_Nigeria_6.5244_3.3792,3.794616363764289,4,3.8973081818821447,3.8973081818821447,-0.30236979210768367,19
London_UK_51.5074_-0.1278,3.7948781058840173,4,3.8974390529420084,3.8974390529420084,-0.30198445025777604,19
Los Angeles_USA_34.0522_-118.2437,3.7508178536909313,4,3.8754089268454655,3.8754089268454655,-0.36685081225238897,19
Mexico City_Mexico_19.4326_-99.1332,3.901551160287529,4,3.9507755801437643,3.9507755801437643,-0.14493830055155493,19
Mumbai_India_19.076_72.8777,3.804084650729181,4,3.90204232536459,3.90204232536459,-0.28843039550500443,19
New York_USA_40.7128_-74.006,3.793373665980293,4,3.8966868329901465,3.8966868329901465,-0.304199316004945,19
Paris_France_48.8566_2.3522,3.8191558114733777,4,3.909577905736689,3.909577905736689,-0.26624233892675553,19
Philadelphia_USA_39.9526_-75.1652,3.792571382673934,4,3.896285691336967,3.896285691336967,-0.30538045312473394,19
Phoenix_USA_33.4484_-112.074,3.755420884611597,4,3.8777104423057986,3.8777104423057986,-0.36007414041982977,19
San Antonio_USA_29.4241_-98.4936,3.7276313612838434,4,3.8638156806419217,3.8638156806419217,-0.4009864182691765,19
San Diego_USA_32.7157_-117.1611,3.7108749787343327,4,3.8554374893671666,3.8554374893671666,-0.42565549123347773,19
San Jose_USA_37.3382_-121.8863,3.695407065118467,4,3.8477035325592333,3.8477035325592333,-0.44842765512194627,19
São Paulo_Brazil_-23.5505_-46.6333,3.8257301056090065,4,3.912865052804503,3.912865052804503,-0.25656353497003076,19
Tokyo_Japan_35.6762_139.6503,3.6995446956890183,4,3.8497723478445094,3.8497723478445094,-0.4423361547552839,19
