left_out_city,d_part,d_pca90,d_est,d_est_clipped,T_log,n_used
Beijing_China_39.9042_116.4074,3.7282841206943167,4,3.8641420603471586,3.8641420603471586,-0.4000254131430683,19
Berlin_Germany_52.52_13.405,3.7761500323056567,4,3.888075016152828,3.888075016152828,-0.32955628518218705,19
Chicago_USA_41.8781_-87.6298,3.7718699211454676,4,3.885934960572734,3.885934960572734,-0.3358575482497988,19
Dallas_USA_32.7767_-96.797,3.719716151411134,4,3.859858075705567,3.859858075705567,-0.4126393445079204,19
Delhi_India_28.7041_77.1025,3.681769802238934,4,3.840884901119467,3.840884901119467,-0.4685046993177638,19
Houston_USA_29.7604_-95.3698,3.6604478178384894,4,3.830223908919245,3.830223908919245,-0.4998953403086871,19
Lagos_Nigeria_6.5244_3.3792,3.7946163637642902,4,3.897308181882145,3.897308181882145,-0.3023697921076824,19
London_UK_51.5074_-0.1278,3.794878105884016,4,3.897439052942008,3.897439052942008,-0.3019844502577773,19
Los Angeles_USA_34.0522_-118.2437,3.75081785369093,4,3.875408926845465,3.875408926845465,-0.3668508122523903,19
Mexico City_Mexico_19.4326_-99.1332,3.90155116028753,4,3.950775580143765,3.950775580143765,-0.14493830055155232,19
Mumbai_India_19.076_72.8777,3.804084650729181,4,3.90204232536459,3.90204232536459,-0.28843039550500443,19
New York_USA_40.7128_-74.006,3.7933736659802944,4,3.896686832990147,3.896686832990147,-0.30419931600494365,19
Paris_France_48.8566_2.3522,3.819155811473378,4,3.909577905736689,3.909577905736689,-0.26624233892675553,19
Philadelphia_USA_39.9526_-75.1652,3.792571382673935,4,3.8962856913369674,3.8962856913369674,-0.30538045312473266,19
Phoenix_USA_33.4484_-112.074,3.7554208846115973,4,3.8777104423057986,3.8777104423057986,-0.36007414041982977,19
San Antonio_USA_29.4241_-98.4936,3.727631361283845,4,3.8638156806419226,3.8638156806419226,-0.4009864182691739,19
San Diego_USA_32.7157_-117.1611,3.7108749787343327,4,3.8554374893671666,3.8554374893671666,-0.42565549123347773,19
San Jose_USA_37.3382_-121.8863,3.6954070651184656,4,3.847703532559233,3.847703532559233,-0.44842765512194754,19
São Paulo_Brazil_-23.5505_-46.6333,3.8257301056090065,4,3.912865052804503,3.912865052804503,-0.25656353497003076,19
Tokyo_Japan_35.6762_139.6503,3.6995446956890174,4,3.8497723478445085,3.8497723478445085,-0.4423361547552865,19
