b,lambda_max,levina_mle,theilsen_slope,theilsen_d_s,n_points_fit,fit_ok
57,0.2,7.935703574493408,0.8361622914153173,1.6723245828306346,17,True
57,0.4,7.935703574493408,1.5883005963031889,3.1766011926063777,59,True
58,0.1,7.841810336235854,0.4129506715965659,0.8259013431931318,8,True
58,0.2,7.841810336235854,0.7683693847542699,1.5367387695085397,16,True
58,0.4,7.841810336235854,1.6826698513848783,3.3653397027697567,58,True
59,0.1,7.934618450736899,0.40144735284228383,0.8028947056845677,8,True
59,0.2,7.934618450736899,0.7571080808104551,1.5142161616209102,17,True
59,0.4,7.934618450736899,1.5892287435487051,3.1784574870974103,59,True
60,0.1,7.947828299080699,0.4241724279046138,0.8483448558092276,8,True
60,0.2,7.947828299080699,0.7557524692481629,1.5115049384963257,16,True
60,0.4,7.947828299080699,1.532045881084863,3.064091762169726,57,True
61,0.1,7.938693274638643,0.4174224453998319,0.8348448907996638,8,True
61,0.2,7.938693274638643,0.790657405198887,1.581314810397774,16,True
61,0.4,7.938693274638643,1.543755451114221,3.087510902228442,57,True
62,0.1,7.788593264355143,0.4140921837275137,0.8281843674550274,8,True
62,0.2,7.788593264355143,0.8014384103047882,1.6028768206095765,17,True
62,0.4,7.788593264355143,1.6326719167427413,3.2653438334854825,60,True
63,0.1,8.022024970458514,0.42802635588777904,0.8560527117755581,8,True
63,0.2,8.022024970458514,0.7801142061768441,1.5602284123536883,16,True
63,0.4,8.022024970458514,1.573861229784002,3.147722459568004,56,True
64,0.1,8.038525491408322,0.4041403083756574,0.8082806167513148,8,True
64,0.2,8.038525491408322,0.76021766163271,1.52043532326542,16,True
64,0.4,8.038525491408322,1.5856762727180571,3.1713525454361142,57,True
65,0.1,7.940395057128586,0.4184464593450083,0.8368929186900166,8,True
65,0.2,7.940395057128586,0.7951917569901085,1.590383513980217,17,True
65,0.4,7.940395057128586,1.5741925067307148,3.1483850134614295,56,True
66,0.1,7.875755386311846,0.4149377924428505,0.829875584885701,8,True
66,0.2,7.875755386311846,0.8356545226836665,1.671309045367333,17,True
66,0.4,7.875755386311846,1.571692116205738,3.143384232411476,59,True
67,0.1,7.914944577992495,0.4319276649852831,0.8638553299705662,8,True
67,0.2,7.914944577992495,0.7038626146349788,1.4077252292699576,15,True
67,0.4,7.914944577992495,1.6701670820490433,3.3403341640980866,59,True
68,0.1,7.981433914725656,0.4040762746023193,0.8081525492046386,8,True
68,0.2,7.981433914725656,0.7633792044070852,1.5267584088141704,16,True
68,0.4,7.981433914725656,1.6770608659567767,3.3541217319135535,58,True
69,0.1,7.899687007101974,0.42081955896465456,0.8416391179293091,8,True
69,0.2,7.899687007101974,0.873640209720132,1.747280419440264,17,True
69,0.4,7.899687007101974,1.5381872594111328,3.0763745188222655,57,True
70,0.1,7.855492001982073,0.41129544504529214,0.8225908900905843,8,True
70,0.2,7.855492001982073,0.8096673964255557,1.6193347928511115,17,True
70,0.4,7.855492001982073,1.5400408434523514,3.0800816869047027,57,True
71,0.1,8.025147157701117,0.41370833322866163,0.8274166664573233,8,True
71,0.2,8.025147157701117,0.8175892694800407,1.6351785389600815,17,True
71,0.4,8.025147157701117,1.5543564795763039,3.1087129591526077,57,True
72,0.1,7.986541747162774,0.4160542308904047,0.8321084617808094,8,True
72,0.2,7.986541747162774,0.8418855382022591,1.6837710764045182,17,True
72,0.4,7.986541747162774,1.5427830972960728,3.0855661945921455,57,True
73,0.1,7.90805959976335,0.4014598392070303,0.8029196784140606,8,True
73,0.2,7.90805959976335,0.7459160118613539,1.4918320237227078,16,True
73,0.4,7.90805959976335,1.6390878154604909,3.2781756309209817,59,True
74,0.1,7.886875795083735,0.4009537450948651,0.8019074901897302,8,True
74,0.2,7.886875795083735,0.785489825840401,1.570979651680802,17,True
74,0.4,7.886875795083735,1.6572393725984724,3.314478745196945,59,True
75,0.1,7.961259392712542,0.4084065732115614,0.8168131464231227,8,True
75,0.2,7.961259392712542,0.818208498889964,1.636416997779928,17,True
75,0.4,7.961259392712542,1.6675432163634716,3.335086432726943,59,True
76,0.1,7.995780979892477,0.41300074533844,0.82600149067688,8,True
76,0.2,7.995780979892477,0.8047291357932126,1.6094582715864252,17,True
76,0.4,7.995780979892477,1.6328368817544776,3.265673763508955,58,True
77,0.1,7.923475163896207,0.41184597602725287,0.8236919520545057,8,True
77,0.2,7.923475163896207,0.749872399819387,1.499744799638774,16,True
77,0.4,7.923475163896207,1.6316521197559766,3.263304239511953,58,True
78,0.1,7.888186443369595,0.42042482045354923,0.8408496409070985,8,True
78,0.2,7.888186443369595,0.7413856990033726,1.4827713980067452,16,True
78,0.4,7.888186443369595,1.5219487412435593,3.0438974824871186,57,True
79,0.1,7.869538215499785,0.42124547959372044,0.8424909591874409,8,True
79,0.2,7.869538215499785,0.7337735611483123,1.4675471222966245,16,True
79,0.4,7.869538215499785,1.5719588551155772,3.1439177102311544,55,True
80,0.1,8.010003136907176,0.405979324594041,0.811958649188082,8,True
80,0.2,8.010003136907176,0.7676039182063696,1.5352078364127393,16,True
80,0.4,8.010003136907176,1.6370743750874253,3.2741487501748505,59,True
81,0.1,7.9577686614767345,0.42247231864356066,0.8449446372871213,8,True
81,0.2,7.9577686614767345,0.7499876614963857,1.4999753229927715,16,True
81,0.4,7.9577686614767345,1.5894330863843535,3.178866172768707,57,True
82,0.1,7.9658887086998895,0.4051227351792792,0.8102454703585584,8,True
82,0.2,7.9658887086998895,0.7508835429582479,1.5017670859164958,16,True
82,0.4,7.9658887086998895,1.6088666351091887,3.2177332702183774,57,True
83,0.1,7.93562556524655,0.4198581906175077,0.8397163812350154,8,True
83,0.2,7.93562556524655,0.8276402328439043,1.6552804656878086,17,True
83,0.4,7.93562556524655,1.607852179217764,3.215704358435528,59,True
84,0.1,7.87499039550304,0.422054202051844,0.844108404103688,8,True
84,0.2,7.87499039550304,0.8020590105973571,1.6041180211947141,17,True
84,0.4,7.87499039550304,1.624889427687972,3.249778855375944,59,True
85,0.1,7.921467510007909,0.4158662022248454,0.8317324044496908,8,True
85,0.2,7.921467510007909,0.7879021086341377,1.5758042172682754,16,True
85,0.4,7.921467510007909,1.6797708069011361,3.3595416138022722,60,True
86,0.1,7.98777711409444,0.4157901991959141,0.8315803983918282,8,True
86,0.2,7.98777711409444,0.7609211685317137,1.5218423370634273,16,True
86,0.4,7.98777711409444,1.5696938684869133,3.1393877369738266,56,True
87,0.1,7.936243291079245,0.4104735476625626,0.8209470953251252,8,True
87,0.2,7.936243291079245,0.8065296917334203,1.6130593834668405,17,True
87,0.4,7.936243291079245,1.5795628549702676,3.159125709940535,58,True
88,0.1,7.8754989526009425,0.4316418213012812,0.8632836426025624,8,True
88,0.2,7.8754989526009425,0.7839149900808067,1.5678299801616133,16,True
88,0.4,7.8754989526009425,1.5499090268021198,3.0998180536042397,58,True
89,0.1,7.941234957814359,0.4121668926640085,0.824333785328017,8,True
89,0.2,7.941234957814359,0.8578205273439599,1.7156410546879197,17,True
89,0.4,7.941234957814359,1.5639232349026546,3.1278464698053092,60,True
90,0.1,7.892937691023063,0.40560040807537256,0.8112008161507451,8,True
90,0.2,7.892937691023063,0.8109713221999595,1.621942644399919,16,True
90,0.4,7.892937691023063,1.616080488150892,3.232160976301784,58,True
91,0.1,7.807363772104534,0.41335103539231405,0.8267020707846281,8,True
91,0.2,7.807363772104534,0.820477988284599,1.640955976569198,17,True
91,0.4,7.807363772104534,1.693984264795202,3.387968529590404,61,True
92,0.1,8.014652312508215,0.4253484704645469,0.8506969409290938,8,True
92,0.2,8.014652312508215,0.797640020828994,1.595280041657988,17,True
92,0.4,8.014652312508215,1.5551682453234807,3.1103364906469615,59,True
93,0.1,7.950616297035759,0.4182793297310833,0.8365586594621666,8,True
93,0.2,7.950616297035759,0.7435150244869548,1.4870300489739097,16,True
93,0.4,7.950616297035759,1.5705044012432896,3.141008802486579,57,True
94,0.1,7.921807645474348,0.4135878755614547,0.8271757511229094,8,True
94,0.2,7.921807645474348,0.7383638497824208,1.4767276995648415,16,True
94,0.4,7.921807645474348,1.6896123341997733,3.3792246683995466,58,True
95,0.1,7.943807893927961,0.4185516802779812,0.8371033605559624,8,True
95,0.2,7.943807893927961,0.8013513805337408,1.6027027610674816,17,True
95,0.4,7.943807893927961,1.5998464188369785,3.199692837673957,58,True
96,0.1,7.988478130007402,0.4132185708520329,0.8264371417040658,8,True
96,0.2,7.988478130007402,0.7803237712609471,1.5606475425218942,17,True
96,0.4,7.988478130007402,1.5566191267811462,3.1132382535622924,56,True
97,0.1,7.938530740134319,0.41079756169904214,0.8215951233980843,8,True
97,0.2,7.938530740134319,0.8007577391236519,1.6015154782473038,17,True
97,0.4,7.938530740134319,1.6627129179046718,3.3254258358093436,59,True
98,0.1,7.945635110766038,0.4049901628533921,0.8099803257067842,8,True
98,0.2,7.945635110766038,0.755985611388024,1.511971222776048,17,True
98,0.4,7.945635110766038,1.59399804200864,3.18799608401728,59,True
99,0.1,7.907360628680482,0.422326768008819,0.844653536017638,8,True
99,0.2,7.907360628680482,0.783176578050301,1.566353156100602,17,True
99,0.4,7.907360628680482,1.578705563494289,3.157411126988578,58,True
100,0.1,7.981593354575467,0.39780270118331107,0.7956054023666221,8,True
100,0.2,7.981593354575467,0.7728691501700683,1.5457383003401366,16,True
100,0.4,7.981593354575467,1.5914193946390294,3.1828387892780587,58,True
101,0.1,7.897929221113626,0.4174399418549188,0.8348798837098376,8,True
101,0.2,7.897929221113626,0.7648956051362621,1.5297912102725242,16,True
101,0.4,7.897929221113626,1.5398305628475428,3.0796611256950857,56,True
102,0.1,7.924481800577412,0.4060163793127088,0.8120327586254176,8,True
102,0.2,7.924481800577412,0.7894214714047566,1.5788429428095132,16,True
102,0.4,7.924481800577412,1.6130411072430313,3.2260822144860626,59,True
103,0.1,7.951888225763228,0.40772568248606517,0.8154513649721303,8,True
103,0.2,7.951888225763228,0.7476792976378427,1.4953585952756854,16,True
103,0.4,7.951888225763228,1.7498886637961648,3.4997773275923296,59,True
104,0.1,7.984616935622644,0.42809513335127974,0.8561902667025595,8,True
104,0.2,7.984616935622644,0.8153842156545532,1.6307684313091064,17,True
104,0.4,7.984616935622644,1.5005917041833778,3.0011834083667557,55,True
105,0.1,7.931255851880159,0.427269516104112,0.854539032208224,8,True
105,0.2,7.931255851880159,0.7134544538767387,1.4269089077534773,15,True
105,0.4,7.931255851880159,1.6698599334734383,3.3397198669468766,57,True
106,0.1,7.967887636937665,0.42505054234763157,0.8501010846952631,8,True
106,0.2,7.967887636937665,0.7813368880029232,1.5626737760058464,16,True
106,0.4,7.967887636937665,1.598632313835201,3.197264627670402,58,True
107,0.1,7.905868630041345,0.41358278914685426,0.8271655782937085,8,True
107,0.2,7.905868630041345,0.7880836578791358,1.5761673157582716,17,True
107,0.4,7.905868630041345,1.60065072518858,3.20130145037716,58,True
108,0.1,7.942738786145612,0.3943000463793833,0.7886000927587666,8,True
108,0.2,7.942738786145612,0.8383353416939636,1.6766706833879272,17,True
108,0.4,7.942738786145612,1.5388536130994654,3.077707226198931,58,True
109,0.1,8.003552010032275,0.4140671199624339,0.8281342399248678,8,True
109,0.2,8.003552010032275,0.7740350659460541,1.5480701318921082,16,True
109,0.4,8.003552010032275,1.5759223504586164,3.151844700917233,57,True
110,0.1,7.981257069949162,0.4136892205209946,0.8273784410419892,8,True
110,0.2,7.981257069949162,0.745990629936855,1.49198125987371,16,True
110,0.4,7.981257069949162,1.6234609837698095,3.246921967539619,58,True
111,0.1,7.995093691551481,0.41652329383808534,0.8330465876761707,8,True
111,0.2,7.995093691551481,0.7865767570596222,1.5731535141192443,17,True
111,0.4,7.995093691551481,1.601453559085246,3.202907118170492,58,True
112,0.1,7.8988417054826705,0.4251073559929648,0.8502147119859296,8,True
112,0.2,7.8988417054826705,0.7230206264981058,1.4460412529962117,15,True
112,0.4,7.8988417054826705,1.7003173556800846,3.400634711360169,60,True
113,0.1,7.956053948014691,0.3989522877610771,0.7979045755221542,8,True
113,0.2,7.956053948014691,0.847055417342105,1.69411083468421,17,True
113,0.4,7.956053948014691,1.5817394536330271,3.1634789072660543,57,True
114,0.1,7.9402408913359475,0.40549601614532593,0.8109920322906519,8,True
114,0.2,7.9402408913359475,0.8005037145961705,1.601007429192341,16,True
114,0.4,7.9402408913359475,1.6338693497517764,3.267738699503553,60,True
115,0.1,8.016001464345683,0.41588544476646844,0.8317708895329369,8,True
115,0.2,8.016001464345683,0.7743075394496968,1.5486150788993935,16,True
115,0.4,8.016001464345683,1.5148854384067216,3.0297708768134433,57,True
116,0.1,7.971925671272528,0.4141156077351608,0.8282312154703216,8,True
116,0.2,7.971925671272528,0.7334127722177027,1.4668255444354055,16,True
116,0.4,7.971925671272528,1.6618220597281816,3.3236441194563633,59,True
117,0.1,7.883633622285084,0.40750619199559546,0.8150123839911909,8,True
117,0.2,7.883633622285084,0.7658052297360953,1.5316104594721907,16,True
117,0.4,7.883633622285084,1.570194446311479,3.140388892622958,57,True
118,0.1,8.02495532251313,0.407123249411149,0.814246498822298,8,True
118,0.2,8.02495532251313,0.7780648111544817,1.5561296223089633,16,True
118,0.4,8.02495532251313,1.5838471187789824,3.167694237557965,57,True
119,0.1,7.908955402945107,0.42347233087795333,0.8469446617559067,8,True
119,0.2,7.908955402945107,0.7371842237357625,1.474368447471525,16,True
119,0.4,7.908955402945107,1.6109370519403592,3.2218741038807184,58,True
120,0.1,7.897384849624844,0.36407104049820405,0.7281420809964081,7,True
120,0.2,7.897384849624844,0.7989379595009956,1.597875919001991,17,True
120,0.4,7.897384849624844,1.5782399846441648,3.1564799692883296,59,True
121,0.1,7.90021076653581,0.41540750690859546,0.8308150138171909,8,True
121,0.2,7.90021076653581,0.7738393417679719,1.5476786835359437,16,True
121,0.4,7.90021076653581,1.6932004319001766,3.386400863800353,59,True
122,0.1,7.968829448651215,0.42446598267053276,0.8489319653410655,8,True
122,0.2,7.968829448651215,0.790878177572512,1.581756355145024,17,True
122,0.4,7.968829448651215,1.525912848386686,3.051825696773372,57,True
123,0.1,7.980927790584729,0.4195839752786831,0.8391679505573661,8,True
123,0.2,7.980927790584729,0.7810414264006758,1.5620828528013515,16,True
123,0.4,7.980927790584729,1.5638944385007665,3.127788877001533,56,True
124,0.1,7.992109037706336,0.4120749655392761,0.8241499310785522,8,True
124,0.2,7.992109037706336,0.7372381740338695,1.474476348067739,15,True
124,0.4,7.992109037706336,1.6395344250768347,3.2790688501536693,58,True
125,0.1,7.996844688860067,0.41611198409457617,0.8322239681891523,8,True
125,0.2,7.996844688860067,0.7435620532888952,1.4871241065777905,16,True
125,0.4,7.996844688860067,1.5989139764847622,3.1978279529695244,58,True
126,0.1,7.9291298060448305,0.4085761988218509,0.8171523976437018,8,True
126,0.2,7.9291298060448305,0.8124665937565129,1.6249331875130257,17,True
126,0.4,7.9291298060448305,1.5573273921762671,3.1146547843525343,56,True
127,0.1,7.909152196207451,0.39871000808677554,0.7974200161735511,8,True
127,0.2,7.909152196207451,0.8205545489441858,1.6411090978883716,17,True
127,0.4,7.909152196207451,1.6498598599798235,3.299719719959647,59,True
128,0.1,7.951352536746369,0.41130870523579516,0.8226174104715903,8,True
128,0.2,7.951352536746369,0.750029625067878,1.500059250135756,16,True
128,0.4,7.951352536746369,1.7063695731609838,3.4127391463219676,59,True
129,0.1,8.005614820319174,0.4157045482630375,0.831409096526075,8,True
129,0.2,8.005614820319174,0.7222056304917082,1.4444112609834163,16,True
129,0.4,8.005614820319174,1.6025887613543834,3.205177522708767,58,True
