city,T_loo,delta,d_part_loo,d_pca90_loo,d_est_loo,delta_abs
New York_USA_40.7128_-74.006,-0.33812145708632196,-0.36781141334260614,3.770332168892804,4,3.8851660844464018,0.36781141334260614
Delhi_India_28.7041_77.1025,-0.320263918078105,-0.3499538743343892,3.782461840544734,4,3.891230920272367,0.3499538743343892
Los Angeles_USA_34.0522_-118.2437,-0.16904304190460548,-0.19873299816088966,3.8851780980345123,4,3.942589049017256,0.19873299816088966
Mexico City_Mexico_19.4326_-99.1332,0.19558805749595604,0.16589810123967186,4.13285251206077,4,4.066426256030385,0.16589810123967186
London_UK_51.5074_-0.1278,-0.12380855391577358,-0.15349851017205776,3.9159034676610456,4,3.957951733830523,0.15349851017205776
San Jose_USA_37.3382_-121.8863,-0.08479589857893419,-0.11448585483521836,3.942402678962673,4,3.9712013394813366,0.11448585483521836
São Paulo_Brazil_-23.5505_-46.6333,-0.08243566499451999,-0.11212562125080416,3.9440058594674245,4,3.972002929733712,0.11212562125080416
Beijing_China_39.9042_116.4074,-0.07504705247084947,-0.10473700872713365,3.949024548987533,4,3.974512274493766,0.10473700872713365
Dallas_USA_32.7767_-96.797,-0.0512479753673992,-0.08093793162368339,3.965189989855448,4,3.982594994927724,0.08093793162368339
San Diego_USA_32.7157_-117.1611,-0.03547007257984851,-0.0651600288361327,3.9759070757921497,4,3.987953537896075,0.0651600288361327
San Antonio_USA_29.4241_-98.4936,-0.026861421967451234,-0.05655137822373542,3.981754471967318,4,3.990877235983659,0.05655137822373542
Lagos_Nigeria_6.5244_3.3792,0.07734565140207007,0.04765569514578589,4.052536766392058,4,4.0262683831960295,0.04765569514578589
Paris_France_48.8566_2.3522,-0.015352388656150509,-0.045042344912434695,3.989571943066386,4,3.994785971533193,0.045042344912434695
Chicago_USA_41.8781_-87.6298,-0.01306949703678542,-0.042759453293069606,3.991122589308687,4,3.9955612946543435,0.042759453293069606
Mumbai_India_19.076_72.8777,0.07067001284911159,0.040980056592827406,4.048002361977369,4,4.024001180988685,0.040980056592827406
Philadelphia_USA_39.9526_-75.1652,-0.002131871945772185,-0.03182182820205637,3.9985519333490314,4,3.9992759666745155,0.03182182820205637
Tokyo_Japan_35.6762_139.6503,-0.0011518326401421173,-0.030841788896426303,3.9992176216601587,4,3.9996088108300794,0.030841788896426303
Phoenix_USA_33.4484_-112.074,0.010444506294829778,-0.019245449961454407,4.007094394802358,4,4.003547197401179,0.019245449961454407
Houston_USA_29.7604_-95.3698,0.042961254592816085,0.0132712983365319,4.029181283699062,4,4.014590641849531,0.0132712983365319
Berlin_Germany_52.52_13.405,0.03487258290143781,0.005182626645153628,4.0236870814088395,4,4.01184354070442,0.005182626645153628
