city,T_loo,delta,d_part_loo,d_pca90_loo,d_est_loo,delta_abs
New York_USA_40.7128_-74.006,-0.2892357367310485,-0.3418113064083161,3.803537625484818,4,3.901768812742409,0.3418113064083161
Tokyo_Japan_35.6762_139.6503,-0.25793478680388976,-0.3105103564811573,3.824798687540191,4,3.9123993437700957,0.3105103564811573
Beijing_China_39.9042_116.4074,-0.22058977983147304,-0.2731653495087406,3.8501651544540274,4,3.9250825772270135,0.2731653495087406
San Diego_USA_32.7157_-117.1611,-0.12888221471782554,-0.1814577843950931,3.9124572010968888,4,3.956228600548444,0.1814577843950931
Chicago_USA_41.8781_-87.6298,-0.08266785903913806,-0.13524342871640563,3.943848142465128,4,3.9719240712325643,0.13524342871640563
Delhi_India_28.7041_77.1025,-0.07111690734301378,-0.12369247702028136,3.9516940864822088,4,3.9758470432411044,0.12369247702028136
Lagos_Nigeria_6.5244_3.3792,0.16894198728866291,0.11636641761139535,4.114753260966874,4,4.0573766304834376,0.11636641761139535
Mexico City_Mexico_19.4326_-99.1332,0.14846649319872263,0.09589092352145506,4.100845352373886,4,4.050422676186943,0.09589092352145506
Paris_France_48.8566_2.3522,0.14454971864476174,0.09197414896749417,4.098184896795303,4,4.049092448397651,0.09197414896749417
San Antonio_USA_29.4241_-98.4936,-0.03813543058941659,-0.09071100026668416,3.9740966405761866,4,3.9870483202880935,0.09071100026668416
San Jose_USA_37.3382_-121.8863,-0.03705773395960807,-0.08963330363687563,3.9748286622872384,4,3.9874143311436194,0.08963330363687563
Los Angeles_USA_34.0522_-118.2437,-0.03278945304376946,-0.08536502272103703,3.977727877347248,4,3.988863938673624,0.08536502272103703
Philadelphia_USA_39.9526_-75.1652,0.09996115300846377,0.0473855833311962,4.067898267694284,4,4.033949133847142,0.0473855833311962
Mumbai_India_19.076_72.8777,0.08765902469202885,0.03508345501476128,4.059542089554081,4,4.029771044777041,0.03508345501476128
Phoenix_USA_33.4484_-112.074,0.018757449068443295,-0.033818120608824276,4.012740932450061,4,4.006370466225031,0.033818120608824276
Dallas_USA_32.7767_-96.797,0.02014526353441041,-0.03243030614285716,4.0136836006294905,4,4.006841800314746,0.03243030614285716
Houston_USA_29.7604_-95.3698,0.020264698821150413,-0.032310870856117155,4.013764726635217,4,4.006882363317608,0.032310870856117155
Berlin_Germany_52.52_13.405,0.029682851636781617,-0.022892718040485954,4.020161974384122,4,4.010080987192061,0.022892718040485954
São Paulo_Brazil_-23.5505_-46.6333,0.03570948310201069,-0.01686608657525688,4.024255542977576,4,4.012127771488788,0.01686608657525688
London_UK_51.5074_-0.1278,0.04452869436960846,-0.008046875307659108,4.030245961750048,4,4.015122980875024,0.008046875307659108
