quadrant,year,kernel,n_eff_global,noise_frac,n_noisy,T_log,Regime
NW,2007,Boxcar_W5,3,0.05,3,0.0,Equilibrium
NW,2007,Boxcar_W5,3,-0.05,3,0.0,Equilibrium
NW,2007,Boxcar_W5,3,0.1,3,0.0,Equilibrium
NW,2007,Boxcar_W5,3,-0.1,3,0.0,Equilibrium
NW,2007,Boxcar_W5,3,0.2,4,0.0,Equilibrium
NW,2007,Boxcar_W5,3,-0.2,2,0.0,Equilibrium
NW,2008,EMA_alpha0.5,2,0.01,2,0.0,Equilibrium
NW,2008,EMA_alpha0.5,2,-0.01,2,0.0,Equilibrium
NW,2008,EMA_alpha0.5,2,0.05,2,0.0,Equilibrium
NW,2008,EMA_alpha0.5,2,-0.05,2,0.0,Equilibrium
NW,2008,EMA_alpha0.5,2,0.1,2,0.0,Equilibrium
NW,2008,EMA_alpha0.5,2,-0.1,2,0.0,Equilibrium
NW,2008,EMA_alpha0.5,2,0.2,2,0.0,Equilibrium
NW,2008,EMA_alpha0.5,2,-0.2,2,0.0,Equilibrium
NW,2008,Boxcar_W5,2,0.01,2,0.0,Equilibrium
NW,2008,Boxcar_W5,2,-0.01,2,0.0,Equilibrium
NW,2008,Boxcar_W5,2,0.05,2,0.0,Equilibrium
NW,2008,Boxcar_W5,2,-0.05,2,0.0,Equilibrium
NW,2008,Boxcar_W5,2,0.1,2,0.0,Equilibrium
NW,2008,Boxcar_W5,2,-0.1,2,0.0,Equilibrium
NW,2008,Boxcar_W5,2,0.2,2,0.0,Equilibrium
NW,2008,Boxcar_W5,2,-0.2,2,0.0,Equilibrium
NW,2009,EMA_alpha0.5,2,0.01,2,0.0,Equilibrium
NW,2009,EMA_alpha0.5,2,-0.01,2,0.0,Equilibrium
NW,2009,EMA_alpha0.5,2,0.05,2,0.0,Equilibrium
NW,2009,EMA_alpha0.5,2,-0.05,2,0.0,Equilibrium
NW,2009,EMA_alpha0.5,2,0.1,2,0.0,Equilibrium
NW,2009,EMA_alpha0.5,2,-0.1,2,0.0,Equilibrium
NW,2009,EMA_alpha0.5,2,0.2,2,0.0,Equilibrium
NW,2009,EMA_alpha0.5,2,-0.2,2,0.0,Equilibrium
NW,2009,Boxcar_W5,2,0.01,2,0.0,Equilibrium
NW,2009,Boxcar_W5,2,-0.01,2,0.0,Equilibrium
NW,2009,Boxcar_W5,2,0.05,2,0.0,Equilibrium
NW,2009,Boxcar_W5,2,-0.05,2,0.0,Equilibrium
NW,2009,Boxcar_W5,2,0.1,2,0.0,Equilibrium
NW,2009,Boxcar_W5,2,-0.1,2,0.0,Equilibrium
NW,2009,Boxcar_W5,2,0.2,2,0.0,Equilibrium
NW,2009,Boxcar_W5,2,-0.2,2,0.0,Equilibrium
NW,2010,EMA_alpha0.5,4,0.01,4,0.0,Equilibrium
NW,2010,EMA_alpha0.5,4,-0.01,4,0.0,Equilibrium
NW,2010,EMA_alpha0.5,4,0.05,4,0.0,Equilibrium
NW,2010,EMA_alpha0.5,4,-0.05,4,0.0,Equilibrium
NW,2010,EMA_alpha0.5,4,0.1,4,0.0,Equilibrium
NW,2010,EMA_alpha0.5,4,-0.1,4,0.0,Equilibrium
NW,2010,EMA_alpha0.5,4,0.2,5,0.0,Equilibrium
NW,2010,EMA_alpha0.5,4,-0.2,3,0.0,Equilibrium
NW,2010,Boxcar_W5,4,0.01,4,0.0,Equilibrium
NW,2010,Boxcar_W5,4,-0.01,4,0.0,Equilibrium
NW,2010,Boxcar_W5,4,0.05,4,0.0,Equilibrium
NW,2010,Boxcar_W5,4,-0.05,4,0.0,Equilibrium
NW,2010,Boxcar_W5,4,0.1,4,0.0,Equilibrium
NW,2010,Boxcar_W5,4,-0.1,4,0.0,Equilibrium
NW,2010,Boxcar_W5,4,0.2,5,0.0,Equilibrium
NW,2010,Boxcar_W5,4,-0.2,3,0.0,Equilibrium
NW,2011,EMA_alpha0.5,2,0.01,2,0.0,Equilibrium
NW,2011,EMA_alpha0.5,2,-0.01,2,0.0,Equilibrium
NW,2011,EMA_alpha0.5,2,0.05,2,0.0,Equilibrium
NW,2011,EMA_alpha0.5,2,-0.05,2,0.0,Equilibrium
NW,2011,EMA_alpha0.5,2,0.1,2,0.0,Equilibrium
NW,2011,EMA_alpha0.5,2,-0.1,2,0.0,Equilibrium
NW,2011,EMA_alpha0.5,2,0.2,2,0.0,Equilibrium
NW,2011,EMA_alpha0.5,2,-0.2,2,0.0,Equilibrium
NW,2011,Boxcar_W5,2,0.01,2,0.0,Equilibrium
NW,2011,Boxcar_W5,2,-0.01,2,0.0,Equilibrium
NW,2011,Boxcar_W5,2,0.05,2,0.0,Equilibrium
NW,2011,Boxcar_W5,2,-0.05,2,0.0,Equilibrium
NW,2011,Boxcar_W5,2,0.1,2,0.0,Equilibrium
NW,2011,Boxcar_W5,2,-0.1,2,0.0,Equilibrium
NW,2011,Boxcar_W5,2,0.2,2,0.0,Equilibrium
NW,2011,Boxcar_W5,2,-0.2,2,0.0,Equilibrium
NW,2012,EMA_alpha0.5,10,0.01,10,0.0,Equilibrium
NW,2012,EMA_alpha0.5,10,-0.01,10,0.0,Equilibrium
NW,2012,EMA_alpha0.5,10,0.05,10,0.0,Equilibrium
NW,2012,EMA_alpha0.5,10,-0.05,10,0.0,Equilibrium
NW,2012,EMA_alpha0.5,10,0.1,11,0.0,Equilibrium
NW,2012,EMA_alpha0.5,10,-0.1,9,0.0,Equilibrium
NW,2012,EMA_alpha0.5,10,0.2,12,0.0,Equilibrium
NW,2012,EMA_alpha0.5,10,-0.2,8,0.0,Equilibrium
NW,2012,Boxcar_W5,10,0.01,10,0.0,Equilibrium
NW,2012,Boxcar_W5,10,-0.01,10,0.0,Equilibrium
NW,2012,Boxcar_W5,10,0.05,10,0.0,Equilibrium
NW,2012,Boxcar_W5,10,-0.05,10,0.0,Equilibrium
NW,2012,Boxcar_W5,10,0.1,11,0.0,Equilibrium
NW,2012,Boxcar_W5,10,-0.1,9,0.0,Equilibrium
NW,2012,Boxcar_W5,10,0.2,12,0.0,Equilibrium
NW,2012,Boxcar_W5,10,-0.2,8,0.0,Equilibrium
NW,2013,EMA_alpha0.5,8,0.01,8,0.0,Equilibrium
NW,2013,EMA_alpha0.5,8,-0.01,8,0.0,Equilibrium
NW,2013,EMA_alpha0.5,8,0.05,8,0.0,Equilibrium
NW,2013,EMA_alpha0.5,8,-0.05,8,0.0,Equilibrium
NW,2013,EMA_alpha0.5,8,0.1,9,0.0,Equilibrium
NW,2013,EMA_alpha0.5,8,-0.1,7,0.0,Equilibrium
NW,2013,EMA_alpha0.5,8,0.2,10,0.0,Equilibrium
NW,2013,EMA_alpha0.5,8,-0.2,6,0.0,Equilibrium
NW,2013,Boxcar_W5,8,0.01,8,0.0,Equilibrium
NW,2013,Boxcar_W5,8,-0.01,8,0.0,Equilibrium
NW,2013,Boxcar_W5,8,0.05,8,0.0,Equilibrium
NW,2013,Boxcar_W5,8,-0.05,8,0.0,Equilibrium
NW,2013,Boxcar_W5,8,0.1,9,0.0,Equilibrium
NW,2013,Boxcar_W5,8,-0.1,7,0.0,Equilibrium
NW,2013,Boxcar_W5,8,0.2,10,0.0,Equilibrium
NW,2013,Boxcar_W5,8,-0.2,6,0.0,Equilibrium
NW,2014,EMA_alpha0.5,9,0.01,9,0.0,Equilibrium
NW,2014,EMA_alpha0.5,9,-0.01,9,0.0,Equilibrium
NW,2014,EMA_alpha0.5,9,0.05,9,0.0,Equilibrium
NW,2014,EMA_alpha0.5,9,-0.05,9,0.0,Equilibrium
NW,2014,EMA_alpha0.5,9,0.1,10,0.0,Equilibrium
NW,2014,EMA_alpha0.5,9,-0.1,8,0.0,Equilibrium
NW,2014,EMA_alpha0.5,9,0.2,11,0.0,Equilibrium
NW,2014,EMA_alpha0.5,9,-0.2,7,0.0,Equilibrium
NW,2014,Boxcar_W5,9,0.01,9,0.0,Equilibrium
NW,2014,Boxcar_W5,9,-0.01,9,0.0,Equilibrium
NW,2014,Boxcar_W5,9,0.05,9,0.0,Equilibrium
NW,2014,Boxcar_W5,9,-0.05,9,0.0,Equilibrium
NW,2014,Boxcar_W5,9,0.1,10,0.0,Equilibrium
NW,2014,Boxcar_W5,9,-0.1,8,0.0,Equilibrium
NW,2014,Boxcar_W5,9,0.2,11,0.0,Equilibrium
NW,2014,Boxcar_W5,9,-0.2,7,0.0,Equilibrium
NW,2015,EMA_alpha0.5,6,0.01,6,0.0,Equilibrium
NW,2015,EMA_alpha0.5,6,-0.01,6,0.0,Equilibrium
NW,2015,EMA_alpha0.5,6,0.05,6,0.0,Equilibrium
NW,2015,EMA_alpha0.5,6,-0.05,6,0.0,Equilibrium
NW,2015,EMA_alpha0.5,6,0.1,7,0.0,Equilibrium
NW,2015,EMA_alpha0.5,6,-0.1,5,0.0,Equilibrium
NW,2015,EMA_alpha0.5,6,0.2,7,0.0,Equilibrium
NW,2015,EMA_alpha0.5,6,-0.2,5,0.0,Equilibrium
NW,2015,Boxcar_W5,6,0.01,6,0.0,Equilibrium
NW,2015,Boxcar_W5,6,-0.01,6,0.0,Equilibrium
NW,2015,Boxcar_W5,6,0.05,6,0.0,Equilibrium
NW,2015,Boxcar_W5,6,-0.05,6,0.0,Equilibrium
NW,2015,Boxcar_W5,6,0.1,7,0.0,Equilibrium
NW,2015,Boxcar_W5,6,-0.1,5,0.0,Equilibrium
NW,2015,Boxcar_W5,6,0.2,7,0.0,Equilibrium
NW,2015,Boxcar_W5,6,-0.2,5,0.0,Equilibrium
NW,2016,EMA_alpha0.5,7,0.01,7,0.0,Equilibrium
NW,2016,EMA_alpha0.5,7,-0.01,7,0.0,Equilibrium
NW,2016,EMA_alpha0.5,7,0.05,7,0.0,Equilibrium
NW,2016,EMA_alpha0.5,7,-0.05,7,0.0,Equilibrium
NW,2016,EMA_alpha0.5,7,0.1,8,0.0,Equilibrium
NW,2016,EMA_alpha0.5,7,-0.1,6,0.0,Equilibrium
NW,2016,EMA_alpha0.5,7,0.2,8,0.0,Equilibrium
NW,2016,EMA_alpha0.5,7,-0.2,6,0.0,Equilibrium
NW,2016,Boxcar_W5,7,0.01,7,0.0,Equilibrium
NW,2016,Boxcar_W5,7,-0.01,7,0.0,Equilibrium
NW,2016,Boxcar_W5,7,0.05,7,0.0,Equilibrium
NW,2016,Boxcar_W5,7,-0.05,7,0.0,Equilibrium
NW,2016,Boxcar_W5,7,0.1,8,0.0,Equilibrium
NW,2016,Boxcar_W5,7,-0.1,6,0.0,Equilibrium
NW,2016,Boxcar_W5,7,0.2,8,0.0,Equilibrium
NW,2016,Boxcar_W5,7,-0.2,6,0.0,Equilibrium
NW,2017,EMA_alpha0.5,5,0.01,5,0.0,Equilibrium
NW,2017,EMA_alpha0.5,5,-0.01,5,0.0,Equilibrium
NW,2017,EMA_alpha0.5,5,0.05,5,0.0,Equilibrium
NW,2017,EMA_alpha0.5,5,-0.05,5,0.0,Equilibrium
NW,2017,EMA_alpha0.5,5,0.1,6,0.0,Equilibrium
NW,2017,EMA_alpha0.5,5,-0.1,4,0.0,Equilibrium
NW,2017,EMA_alpha0.5,5,0.2,6,0.0,Equilibrium
NW,2017,EMA_alpha0.5,5,-0.2,4,0.0,Equilibrium
NW,2017,Boxcar_W5,5,0.01,5,0.0,Equilibrium
NW,2017,Boxcar_W5,5,-0.01,5,0.0,Equilibrium
NW,2017,Boxcar_W5,5,0.05,5,0.0,Equilibrium
NW,2017,Boxcar_W5,5,-0.05,5,0.0,Equilibrium
NW,2017,Boxcar_W5,5,0.1,6,0.0,Equilibrium
NW,2017,Boxcar_W5,5,-0.1,4,0.0,Equilibrium
NW,2017,Boxcar_W5,5,0.2,6,0.0,Equilibrium
NW,2017,Boxcar_W5,5,-0.2,4,0.0,Equilibrium
NW,2018,EMA_alpha0.5,11,0.01,11,0.0,Equilibrium
NW,2018,EMA_alpha0.5,11,-0.01,11,0.0,Equilibrium
NW,2018,EMA_alpha0.5,11,0.05,12,0.0,Equilibrium
NW,2018,EMA_alpha0.5,11,-0.05,10,0.0,Equilibrium
NW,2018,EMA_alpha0.5,11,0.1,12,0.0,Equilibrium
NW,2018,EMA_alpha0.5,11,-0.1,10,0.0,Equilibrium
NW,2018,EMA_alpha0.5,11,0.2,13,0.0,Equilibrium
NW,2018,EMA_alpha0.5,11,-0.2,9,0.0,Equilibrium
NW,2018,Boxcar_W5,11,0.01,11,0.0,Equilibrium
NW,2018,Boxcar_W5,11,-0.01,11,0.0,Equilibrium
NW,2018,Boxcar_W5,11,0.05,12,0.0,Equilibrium
NW,2018,Boxcar_W5,11,-0.05,10,0.0,Equilibrium
NW,2018,Boxcar_W5,11,0.1,12,0.0,Equilibrium
NW,2018,Boxcar_W5,11,-0.1,10,0.0,Equilibrium
