null,n_obs_ds,n_null_ds,med_obs_ds,med_null_ds,diff_med_ds,ks_stat_ds,ks_p_ds,mw_stat_ds,mw_p_ds,n_obs_T,n_null_T,med_obs_T,med_null_T,diff_med_T,ks_stat_T,ks_p_T,mw_stat_T,mw_p_T
phase_randomized,150,80,0.22232619776578572,1.4675751170415405,-1.2452489192757548,1.0,1.0540676326801349e-63,0.0,9.276810037305657e-36,150,80,-30.56521555655284,-20.48988782001893,-10.075327736533911,1.0,1.0540676326801349e-63,0.0,9.276810037305657e-36
temporal_shuffle,150,80,0.22232619776578572,13.486604827544777,-13.264278629778993,0.9875,2.42435555516431e-61,150.0,4.456762168401809e-34,150,80,-30.56521555655284,76.75626235442854,-107.32147791098139,0.9875,2.42435555516431e-61,150.0,4.456762168401809e-34
