b,n_nodes_sub,levina_mle
1,1953,7.857043971850329
2,1953,7.934000908921758
3,1953,7.909685042831706
4,1953,7.854209524996003
5,1953,7.885969596415817
6,1953,7.8978693826725825
7,1953,7.936886581485673
8,1953,7.9115227265961
9,1953,8.001736138992808
10,1953,7.905897087766707
11,1953,7.905676779529381
12,1953,7.877492808755293
13,1953,7.958388791426202
14,1953,7.9412294499297165
15,1953,7.957421497724733
16,1953,7.9801778516651884
17,1953,7.98615991998836
18,1953,7.995052321990249
19,1953,7.922971036731622
20,1953,7.955622156450095
21,1953,7.930485904485899
22,1953,7.95466806370073
23,1953,7.869913047815265
24,1953,7.9765567324574675
25,1953,8.012839157037629
26,1953,8.007720764647399
27,1953,7.912461066226154
28,1953,7.97836414621192
29,1953,7.861878476498112
30,1953,8.064445152894214
31,1953,7.871167544239357
32,1953,7.827397132579647
33,1953,7.927625349783027
34,1953,7.90218330938506
35,1953,7.8615142366724795
36,1953,7.955752151525118
37,1953,7.953332004955717
38,1953,7.977343613546656
39,1953,7.968022614497558
40,1953,7.873850168242122
41,1953,7.9876144182637745
42,1953,7.9378677364298795
43,1953,7.992511455306
44,1953,7.879946387234554
45,1953,7.956613159711417
46,1953,7.920921171603077
47,1953,7.9387102494076744
48,1953,7.954417647928173
49,1953,7.99842146196833
50,1953,7.918341991999484
51,1953,7.877699434195957
52,1953,7.890868725343124
53,1953,7.948769443940886
54,1953,7.960678417037432
55,1953,7.9553183172920505
56,1953,7.923251775769425
57,1953,7.935703574493408
58,1953,7.841810336235854
59,1953,7.934618450736899
60,1953,7.947828299080699
61,1953,7.938693274638643
62,1953,7.788593264355143
63,1953,8.022024970458514
64,1953,8.038525491408322
65,1953,7.940395057128586
66,1953,7.875755386311846
67,1953,7.914944577992495
68,1953,7.981433914725656
69,1953,7.899687007101974
70,1953,7.855492001982073
71,1953,8.025147157701117
72,1953,7.986541747162774
73,1953,7.90805959976335
74,1953,7.886875795083735
75,1953,7.961259392712542
76,1953,7.995780979892477
77,1953,7.923475163896207
78,1953,7.888186443369595
79,1953,7.869538215499785
80,1953,8.010003136907176
81,1953,7.9577686614767345
82,1953,7.9658887086998895
83,1953,7.93562556524655
84,1953,7.8749903955030405
85,1953,7.9214675100079095
86,1953,7.98777711409444
87,1953,7.936243291079245
88,1953,7.8754989526009425
89,1953,7.941234957814359
90,1953,7.892937691023063
91,1953,7.807363772104534
92,1953,8.014652312508215
93,1953,7.950616297035759
94,1953,7.921807645474348
95,1953,7.943807893927961
96,1953,7.988478130007402
97,1953,7.938530740134319
98,1953,7.945635110766038
99,1953,7.907360628680482
100,1953,7.981593354575467
101,1953,7.897929221113626
102,1953,7.9244818005774125
103,1953,7.951888225763228
104,1953,7.984616935622644
105,1953,7.9312558518801595
106,1953,7.967887636937665
107,1953,7.905868630041345
108,1953,7.942738786145612
109,1953,8.003552010032275
110,1953,7.981257069949162
111,1953,7.995093691551481
112,1953,7.8988417054826705
113,1953,7.956053948014691
114,1953,7.9402408913359475
115,1953,8.016001464345683
116,1953,7.971925671272528
117,1953,7.883633622285084
118,1953,8.02495532251313
119,1953,7.908955402945107
120,1953,7.897384849624844
121,1953,7.90021076653581
122,1953,7.968829448651215
123,1953,7.980927790584729
124,1953,7.992109037706336
125,1953,7.996844688860067
126,1953,7.9291298060448305
127,1953,7.909152196207451
128,1953,7.951352536746369
129,1953,8.005614820319174
130,1953,7.901550217369087
131,1953,7.821491194049116
132,1953,7.940085540732096
133,1953,7.969399727522219
134,1953,7.935096551041584
135,1953,7.880084209355111
136,1953,7.8989106985589235
137,1953,7.982308579603174
138,1953,8.017379134038434
139,1953,7.990717237039076
140,1953,8.032576294184048
141,1953,7.959388014819786
142,1953,8.084957078191803
143,1953,7.933230176580849
144,1953,7.926412134993213
145,1953,7.893522154423302
146,1953,7.991439495625553
147,1953,8.049729217555004
148,1953,8.018409694386818
149,1953,7.93076345426158
150,1953,8.019736022282547
