config,emb,k,n_valid,d_s_median,d_s_mean,d_s_std,d_s_2.5%,d_s_97.5%,Tlog_median,Tlog_mean,Tlog_std,Tlog_2.5%,Tlog_97.5%
A_ref_10_10,10,10,120,0.2972882572501562,0.29659273381878226,0.009316080869732839,0.2783687983418836,0.31189118946001204,-29.958696405707197,-29.964323896252306,0.07537655044679997,-30.111774032315054,-29.840543861544173
B_10_8,10,8,120,1.474575070093788,1.4641230519151447,0.11590777708977135,1.4351486824317055,1.5161004571808618,-20.433251094581923,-20.51781853088156,0.9378115678845711,-20.752250590196148,-20.097268563047557
C_8_6,8,6,120,1.6621874390913989,1.6617855103334818,0.025350693060250316,1.6134807185615814,1.7098387821074204,-18.91527659501131,-18.91852860663731,0.20511283886827184,-19.30936340345045,-18.52972886191097
D_6_4,6,4,120,2.2523943675182156,2.248222217732457,0.03332602081355671,2.189303642747615,2.3173350507604855,-14.139903459388162,-14.173660386061005,0.2696413356828456,-14.650371462499512,-13.614467414455996
