d,n,T_log,regime
1,3265,-24.273045125131592,Divergence
2,3265,-16.18203008342106,Divergence
3,3265,-8.09101504171053,Divergence
4,3265,0.0,Équilibre
5,3265,8.09101504171053,Saturation
6,3265,16.18203008342106,Saturation
