d_s,T_log
2.263032542026744,-14.05382982942332
2.2481752110662914,-14.174040717704012
2.2620472965233978,-14.061801465610671
2.262154223795783,-14.060936315441433
2.281162852611203,-13.907137213773575
2.2309053962279997,-14.313771049328187
2.274167398545227,-13.963737537844985
2.2027072414525573,-14.541922743764772
2.2219491744769315,-14.386235974232973
2.287565625199352,-13.85533228445421
2.257052301743402,-14.10221604350888
2.2038009427207292,-14.533073590352855
2.2669243459016264,-14.022341185732257
2.2883374500459897,-13.8490874380105
2.2546088731559353,-14.12198586096342
2.1852459567300437,-14.683202261102219
2.2173987254965035,-14.423053725380152
2.2831261418379447,-13.891252211108782
2.2450964772575466,-14.19895079925999
2.2693460108591523,-14.002747458134932
2.260077299470504,-14.077740741397761
2.1637738376443245,-14.856933499602173
2.2792036981596024,-13.922988761910512
2.216546880827532,-14.429946013410003
2.2346301414168344,-14.283634079978786
2.2383928209879698,-14.253190182971592
2.223872716482822,-14.37067256692995
2.2563075770114267,-14.108241622517228
2.2817918522348335,-13.902047968357552
2.213706189185765,-14.4529300922124
2.220154426179563,-14.400757309703065
2.2122403467333083,-14.464790245544005
2.242043442467348,-14.223652949670353
2.2810057956335856,-13.908407964141885
2.2047988725687238,-14.52499932494216
2.232768369201383,-14.298697706978242
2.2688750388769408,-14.00655809952723
2.3358280119649635,-13.464840587184797
2.2138962474002786,-14.45139232833997
2.2806573652154274,-13.911227119896193
2.222944134476943,-14.37818573790698
2.241263446516114,-14.22996390864426
2.220612682758745,-14.39704954882794
2.2051710245994434,-14.521988237263804
2.278114925062628,-13.931798041415142
2.1928008746307452,-14.622075306728755
2.2868946828294012,-13.860760889261604
2.300706051720704,-13.74901289581546
2.1978324022646545,-14.581365140960013
2.2553277790301007,-14.116169182721974
2.237997199005619,-14.256391166381622
2.230997971405437,-14.313022022175053
2.231143488068899,-14.31184464466216
2.2734475413356297,-13.96956191335572
2.2393546134801143,-14.245408305450646
2.280152834466743,-13.915309285772803
2.198574684876304,-14.575359321183958
2.272496134509855,-13.977259760293848
2.256186430013011,-14.109221824703667
2.2659052507124993,-14.03058670023642
2.2874513605004125,-13.856256801852068
2.1839228865372307,-14.693907241933509
2.277496363435259,-13.936802832846409
2.283188876295003,-13.890744625673092
2.2580561739027876,-14.094093698767338
2.2536366437427877,-14.129852183769191
2.200082022924748,-14.563163426361054
2.214960716413158,-14.442779693545328
2.2519224313360544,-14.143721902136758
2.3023872049477165,-13.735410659768283
2.2688904551537825,-14.006433366199417
2.2316603446850927,-14.30766275000613
2.2475896257017713,-14.178778697696549
2.2746556589497096,-13.959787015568043
2.2746541091532513,-13.959799554994499
2.2427466308691053,-14.217963441734577
2.233297176667839,-14.294419117812978
2.219066407860456,-14.409560482288619
2.309084196715313,-13.681225198642448
2.2391146284289896,-14.247350028109082
2.2604936319627784,-14.074372188940414
2.230947274334546,-14.3134322129382
2.229407279383097,-14.325892335254535
2.191121999074556,-14.635659114107044
2.269754561016075,-13.999441872669976
2.2558347744089264,-14.112067075485816
2.274825611447205,-13.95841192735443
2.198009559959206,-14.579931755388643
2.256543994165491,-14.106328767767575
2.2847322433284574,-13.87825721979053
2.3233257943765357,-13.565996217747504
2.2524622656021482,-14.139354094969761
2.242433746277928,-14.220494995668112
2.241546923152462,-14.227670294915592
2.2582921063637107,-14.092184765677182
2.241398406462505,-14.22887194568798
2.261155694673942,-14.069015429585834
2.2345955994250004,-14.283913559754284
2.2677162823437387,-14.015933616067048
2.264992219883444,-14.037974046407854
2.274373832040769,-13.96206728132744
2.2455876727127833,-14.194976529443249
2.244909514591463,-14.20046351700351
2.2277206343738247,-14.339539005394581
2.2714851402083625,-13.985439730394308
2.2119123809428283,-14.467443821687946
2.317181441949818,-13.61571026565365
2.2032737871777677,-14.537338813780277
2.267756862581672,-14.015605280751531
2.254540517224599,-14.122538929832052
2.1929813933897457,-14.620614726734372
2.231813255203957,-14.306425548697964
2.265113258991095,-14.036994717167211
2.270038868605551,-13.997141535687055
2.327115863806619,-13.535330708979572
2.1894076859788347,-14.649529647150725
2.210470928029306,-14.479106638893173
2.2833393807223246,-13.889526892087787
2.1985640889659606,-14.575445052853926
2.252326469434283,-14.140452823806564
