d_s,T_log
0.2152025239687288,-30.622853308397065
0.2274435384178846,-30.523811076363152
0.2114981099501858,-30.652825777941825
0.2224507032960904,-30.564208180434367
0.227285624881068,-30.525088757164824
0.2389070504929849,-30.431059627732683
0.2262890944968165,-30.533151699493324
0.226447298762051,-30.53187166640365
0.2376424333193925,-30.441291664306227
0.2216759159208822,-30.570476996741306
0.200766697759061,-30.739653795399008
0.2285938934254708,-30.514503536693464
0.2249041590568259,-30.544357232970086
0.1975654094145963,-30.765555467546925
0.2252049171045265,-30.541923795082226
0.2287266677034629,-30.51342925801308
0.2278746280156794,-30.52032312394307
0.2312285609209655,-30.493186402357512
0.2204082417455392,-30.580733767561995
0.2168847892327548,-30.609242074841685
0.2259351745124769,-30.536015271410175
0.2300476269527364,-30.50274135685772
0.2250591586761078,-30.543103128719018
0.2237000371918349,-30.55409980109178
0.2096245742889018,-30.667984583158454
0.2280091213514733,-30.519234936340148
0.2098378002270415,-30.666259368885683
0.2214768475639401,-30.572087661811654
0.2238529240220708,-30.552862791448664
0.2223202111896197,-30.565263994030648
0.2047932829492135,-30.707074634058756
0.227090151234287,-30.526670337381187
0.2203695999739456,-30.581046418717197
0.2154261446481168,-30.6210439901165
0.2296591897361039,-30.50588420822025
0.2136762223621447,-30.635202637654125
0.2269494145273616,-30.52780904019384
0.2207841575107351,-30.577692227451376
0.2091224109868575,-30.672047593988687
0.2184605483406712,-30.596492584197424
0.2005968879902694,-30.74102772879253
0.2255239959652953,-30.53934212322025
0.2159700076239225,-30.616643586598627
0.2307104860770472,-30.497378153712386
0.2160864928651502,-30.615701102759715
0.2252723094413354,-30.54137852267141
0.2290202819787902,-30.511053620494945
0.2301796625817911,-30.501673054597
0.2223321843419517,-30.56516711907503
0.1992309867223084,-30.752079256497094
0.2245715252938089,-30.547048577750036
0.210090063177324,-30.66421830556048
0.202225842434568,-30.727847833881448
0.2260255583794828,-30.535283974182704
0.2040538205947143,-30.713057635091786
0.2226960471773849,-30.562223099400427
0.2116827247320142,-30.651332056965128
0.2289741353456101,-30.51142699359813
0.2102667338889241,-30.662788860175493
0.2294049860791747,-30.507940973832127
0.2334052743781884,-30.475574581033626
0.2272743978557905,-30.52517959519522
0.2076861624063653,-30.683668302857082
0.2262743272146201,-30.5332711817957
0.2222585301478041,-30.565763056267766
0.2046464989131795,-30.70826226590219
0.2289844290286485,-30.51134370725383
0.2213350488332471,-30.573234957474586
0.2227934172415334,-30.561435276746785
0.2241193048246691,-30.550707500368016
0.2258196019477248,-30.536950370769993
0.2225338574454973,-30.56353537896074
0.2163008571970499,-30.613966677725912
0.2059350248933437,-30.697836782815045
0.2211570635288357,-30.57467503924978
0.2190933365262743,-30.59137268546949
0.2202873833888982,-30.581711634343492
0.2072031720250841,-30.687576185297033
0.2239406094297209,-30.55215332749643
0.2120525322839504,-30.64833993849987
0.2302132920833318,-30.501400957794186
0.2233267962847107,-30.557119698885504
0.2232342997109565,-30.557868090055056
0.2123568056082769,-30.645878058455956
0.2298550626999788,-30.50429939712328
0.2120826952498914,-30.64809588948874
0.2179087476005054,-30.60095721228613
0.211331086524789,-30.654177166989026
0.209412041545275,-30.669704188783992
0.2203054976763196,-30.581565071371497
0.2213150938261293,-30.573396413737335
0.212821635430406,-30.642117113373274
0.2271057887059582,-30.526543814362682
0.2266861214423136,-30.529939348505344
0.2298392585938385,-30.50442726838378
0.2135215642528452,-30.63645397874279
0.2320942384568241,-30.48618219239361
0.2281315178234159,-30.51824462464461
0.2278722928796324,-30.52034201756395
0.2276507629282462,-30.522134419732804
0.215669763696076,-30.619072864735017
0.2296943661767511,-30.505599595109864
0.2215998528134362,-30.57109242448777
0.2256072747290382,-30.538668313490152
0.2192441073474582,-30.59015279648744
0.2143257523172984,-30.629947281016936
0.217379134293654,-30.605242321518155
0.2229165784857845,-30.560438777266995
0.2255585938130342,-30.539062191513786
0.2151252082132961,-30.623478871337234
0.2278871726145004,-30.520221625405316
0.2149476206011176,-30.624915735378593
0.2045658841849144,-30.708914520881166
0.2173294262439762,-30.605644510095793
0.2224353481730108,-30.564332418966174
0.2190891024739218,-30.591406943250764
0.2194826388737133,-30.58822283432059
0.2210285781613352,-30.575714616290867
0.2300388372169429,-30.50281247474224
0.2109123011053287,-30.65756556611713
0.2251294543326942,-30.54253436550421
0.2166309192676783,-30.611296140547758
0.215555605113118,-30.61999652354687
0.2293295253529511,-30.50855152770306
0.2221197384102662,-30.56688602230385
0.2274072387967582,-30.52410477714369
0.2274696427148687,-30.523599866103602
0.2080718858042979,-30.68054740904247
0.2138002915385368,-30.634198792081722
0.2250550077463132,-30.54313671395442
0.2282047507107684,-30.517652096251492
0.2220783798074815,-30.567220655381085
0.2176548689252745,-30.603011348466193
0.2307568098770506,-30.497003347149768
0.2314621237795127,-30.491296641755824
0.2219280486840511,-30.568436986762
0.2247919700114792,-30.5452649562235
0.2191617467492035,-30.590819177326765
0.2091143416310515,-30.67211288326789
0.2235754362557986,-30.55510794913946
0.2319469486018,-30.4873739168261
0.2372993480959888,-30.444067572009377
0.2286187847642959,-30.514302140496625
0.2135444725746843,-30.63626862716621
0.2217497361253943,-30.569879716356215
0.2169634342563141,-30.60860575677311
0.214674776275783,-30.62712332291892
0.2285697278738427,-30.51469906053518
0.1865978726844877,-30.854293972200747
0.2233859268841324,-30.556641272316156
