d_s,T_log
1.6586024176857184,-18.944283057129525
1.6595719767227899,-18.93643834037675
1.680635948439717,-18.76600942837693
1.6642208078060623,-18.898824578155622
1.6623693303183853,-18.913804910357808
1.6784392039683644,-18.783783320937438
1.6644888121022923,-18.89665615136358
1.6068868122189823,-19.362714798852053
1.6528171414612807,-18.991091814081898
1.6625140805250853,-18.912633734258108
1.6897344499041944,-18.692393316170815
1.6278061060867597,-19.193456477505904
1.6468292043959847,-19.039540302946023
1.6882648611516933,-18.70428378087243
1.6807483169303532,-18.765100253228976
1.6473658252694632,-19.035198495387014
1.6731634128371107,-18.82646982633733
1.670109286173949,-18.851180811108264
1.5838746308214349,-19.548906704682178
1.610314020032831,-19.334985208879132
1.6541597352086927,-18.98022886787668
1.6565023542923838,-18.961274701633542
1.624392401313801,-19.22107681417187
1.6428951765246034,-19.071370581627882
1.6417421055034525,-19.080700096604172
1.6203909358282083,-19.253452731604686
1.6660598838960694,-18.883944585848525
1.7355242624925042,-18.321907253761697
1.6608282279387663,-18.92627399289212
1.702531766877453,-18.588850032046647
1.652724942276467,-18.99183779907306
1.6805695513502006,-18.766546648226935
1.7052318857465456,-18.567003329662406
1.672581879177441,-18.83117502392498
1.6542194566926804,-18.979745660451425
1.663117916432572,-18.907748088847903
1.7097305402720748,-18.530604648228895
1.623078999438208,-19.231703568503104
1.6428792502127816,-19.071499441656385
1.62443818789041,-19.220706354291817
1.6457752828620402,-19.048067597929954
1.6520511539816114,-18.997289430301663
1.7347551472841156,-18.32813017648158
1.6696079595967834,-18.85523705198492
1.6867215490732106,-18.71677074211349
1.6329048096719208,-19.152202790105143
1.6530348955975736,-18.989329962089755
1.6698792962053206,-18.85304166340388
1.6528742104324698,-18.99063006817759
1.6449866871736671,-19.054448137506405
1.6350235683932346,-19.135059881421235
1.6618939895772908,-18.917650899443938
1.6766450141908522,-18.798300137414973
1.6887677870015656,-18.70021460025625
1.6729990094237444,-18.82780001682779
1.6626168232408707,-18.911802441399256
1.6541176567720774,-18.980569325140266
1.6561763969085086,-18.963912027729428
1.6663939370645167,-18.881241756637884
1.6752843110208222,-18.80930960723099
1.6606230616274744,-18.927933996602835
1.647305348797057,-19.03568781143492
1.6628074728484705,-18.91025989255647
1.6629316556166451,-18.90925512791125
1.6702768541078878,-18.849825016434256
1.6511129407623812,-19.004880527570787
1.6814208883838397,-18.759658467482193
1.6438675683883812,-19.06350294443162
1.635787994475251,-19.128874898493365
1.6382426859567358,-19.109013952793912
1.6973820100532293,-18.63051679197259
1.6680385233423096,-18.867935384326874
1.6789478533063686,-18.779667831492688
1.6658971832561869,-18.88526099917311
1.652788769574261,-18.99132137144654
1.6237275180781638,-19.22645639443239
1.7140602136858953,-18.495573195511977
1.6511498645333933,-19.004581776784132
1.6557701779699214,-18.967198751271766
1.6253856044297743,-19.213040792821054
1.6760950085898716,-18.80275024100553
1.659311430562957,-18.938546423275017
1.664942306763522,-18.892986919238236
1.661167149400849,-18.92353177424445
1.6135619159597545,-19.308706434080484
1.6858851341819099,-18.723538187580115
1.6310135439736406,-19.167505049317796
1.6777030578560501,-18.78973949020507
1.6699798772790952,-18.852227860423056
1.6459543973986344,-19.04661837952018
1.6739318844486277,-18.82025211096942
1.7008994639560655,-18.60205701953622
1.689704371431873,-18.692636681542805
1.653538711542318,-18.98525357970258
1.6525091876107592,-18.993583473318623
1.6957876913381245,-18.64341644867778
1.644376176927495,-19.059387785091303
1.6644440616917777,-18.897018227608182
1.6761309149044017,-18.802459722474573
1.663551985540378,-18.904236029167503
1.684314387300806,-18.736247124221844
1.6804563672040995,-18.76746242285552
1.6694185487888304,-18.856769577681128
1.7005499645492528,-18.604884824493812
1.6596579323321117,-18.93574287224881
1.6458006888753924,-19.04786203749377
1.688129177583299,-18.705381598665223
1.6875166029827962,-18.71033794897206
1.6620055478644125,-18.916748279664812
1.6521043072697754,-18.996859366247612
1.6511788705695005,-19.004347088509686
1.6547492929496874,-18.975458747326336
1.6274884788527275,-19.19602640423411
1.6499284943602073,-19.01446390122688
1.6960327103441633,-18.641433996214417
1.6789296576718022,-18.779815052645656
1.6908834711963825,-18.683096567612477
1.6832153839207629,-18.745139177100665
1.6154172118571355,-19.293695207067955
1.6136060933030048,-19.308348994531745
