city,T_loo,delta,d_part_loo,d_pca90_loo,d_est_loo,delta_abs
Delhi_India_28.7041_77.1025,-0.23457777604738667,-0.30356444300678254,3.8406638563698166,4,3.9203319281849085,0.30356444300678254
Chicago_USA_41.8781_-87.6298,-0.13616021390186134,-0.20514688086125718,3.907513645305424,4,3.953756822652712,0.20514688086125718
San Jose_USA_37.3382_-121.8863,-0.11952695203652411,-0.18851361899591995,3.918811730939412,4,3.959405865469706,0.18851361899591995
Mumbai_India_19.076_72.8777,-0.08938797487523306,-0.1583746418346289,3.9392835270095916,4,3.9696417635047956,0.1583746418346289
Beijing_China_39.9042_116.4074,-0.07784564311179956,-0.1468323100711954,3.9471236159671834,4,3.9735618079835917,0.1468323100711954
Berlin_Germany_52.52_13.405,-0.042809661401159146,-0.11179632836055499,3.9709216854524336,4,3.9854608427262166,0.11179632836055499
San Diego_USA_32.7157_-117.1611,-0.03593862795797901,-0.10492529491737485,3.9755888111709803,4,3.98779440558549,0.10492529491737485
Lagos_Nigeria_6.5244_3.3792,-0.027186398050236947,-0.0961730650096328,3.981533733086271,4,3.9907668665431357,0.0961730650096328
Mexico City_Mexico_19.4326_-99.1332,0.16466157786058883,0.09567491090119298,4.111845807656849,4,4.055922903828424,0.09567491090119298
São Paulo_Brazil_-23.5505_-46.6333,0.1581773227985212,0.08919065583912536,4.107441399816884,4,4.0537206999084425,0.08919065583912536
Dallas_USA_32.7767_-96.797,-0.018774328333709133,-0.08776099529310498,3.987247602367345,4,3.9936238011836727,0.08776099529310498
Tokyo_Japan_35.6762_139.6503,-0.018352637422272736,-0.08733930438166858,3.987534034461486,4,3.993767017230743,0.08733930438166858
Los Angeles_USA_34.0522_-118.2437,-0.012924669745357172,-0.08191133670475301,3.991220962745836,4,3.995610481372918,0.08191133670475301
San Antonio_USA_29.4241_-98.4936,-0.006482737828037284,-0.07546940478743312,3.9955966227360076,4,3.997798311368004,0.07546940478743312
Phoenix_USA_33.4484_-112.074,0.016745128411994964,-0.05224153854740088,4.01137407059917,4,4.0056870352995855,0.05224153854740088
New York_USA_40.7128_-74.006,0.035345427739342024,-0.03364123922005382,4.024008259630735,4,4.0120041298153675,0.03364123922005382
Houston_USA_29.7604_-95.3698,0.1025217527901502,0.03353508583075436,4.069637546246025,4,4.034818773123012,0.03353508583075436
Philadelphia_USA_39.9526_-75.1652,0.04078155340130129,-0.028205113558094554,4.027700729198229,4,4.013850364599115,0.028205113558094554
Paris_France_48.8566_2.3522,0.09628301062952989,0.027296343670134046,4.065399902195824,4,4.0326999510979125,0.027296343670134046
London_UK_51.5074_-0.1278,0.0572850210623926,-0.01170164589700324,4.038910652567581,4,4.01945532628379,0.01170164589700324
