feature,n,n_nan,frac_nan,mean,median,std,skew,top3_idx_val,bottom3_idx_val
temperature_celsius,260,0,0.0,13.750884615384615,13.285,13.743920396418297,0.0833321011632157,250:53.65;251:51.88;252:44.95,139:-16.5;140:-14.44;164:-14.25
humidity_percent,260,0,0.0,48.58884615384615,47.849999999999994,12.645062163512566,0.0511819780206651,256:81.5;166:80.7;259:79.8,93:20.0;31:20.0;28:20.0
precipitation_mm,260,0,0.0,66.31153846153846,59.3,32.44754039881725,0.8964591696870992,47:169.5;217:162.7;230:157.7,93:17.9;185:19.6;184:20.8
wind_speed_ms,260,0,0.0,7.816538461538462,7.6,2.864062296171791,0.11715633547147816,42:14.3;105:1.0;252:14.1,105:1.0;142:1.8;195:1.8
urban_heat_island_intensity,260,0,0.0,1.25,1.0,0.4338478284190647,1.1547005383792515,0:2.0;220:2.0;188:2.0,129:1.0;140:1.0;141:1.0
