W,G,total_tests,sig_tests,mean_cliff_delta,min_q,frac_sig
60,1,16,0,-0.10229166666666664,0.1834082958520739,0.0
60,6,16,8,-0.22229166666666664,0.046745857840310524,0.5
60,12,16,16,-0.500625,0.0008884446665555555,1.0
132,1,16,0,-0.14196675900277006,0.41143064831220744,0.0
132,6,16,0,0.07638888888888887,0.367816091954023,0.0
132,12,16,0,0.09436274509803921,0.1759120439780096,0.0
264,1,16,0,0.19875,0.5787106446776612,0.0
264,6,16,0,-0.08499999999999999,0.559720139930035,0.0
264,12,16,0,-0.1875,0.26386806596701645,0.0
