ym,mahalanobis_sq
1980-01,5.606856710319702
1980-02,2.994769148715085
1980-03,5.619839915714596
1980-04,3.907182073348411
1980-05,4.242486796475874
1980-06,2.7298254743096004
1980-07,1.171060560011122
1980-08,3.268823559418711
1980-09,9.768609084566037
1980-10,3.1773788098218017
1980-11,4.143057327307797
1980-12,1.376963727652714
1981-01,2.079365782429408
1981-02,1.466996311151712
1981-03,4.345984251165663
1981-04,3.155459659650871
1981-05,8.368038467834406
1981-06,5.85242174763136
1981-07,1.3298592798467912
1981-08,5.197405068970535
1981-09,1.778329916284608
1981-10,5.204116302266792
1981-11,7.384310895245973
1981-12,3.722858639394947
1982-01,5.836938060728402
1982-02,3.134326561268927
1982-03,2.321383905274688
1982-04,5.839883067910382
1982-05,4.538294131497484
1982-06,6.71380933818517
1982-07,3.902633521255485
1982-08,2.484158636830989
1982-09,1.6880552476284996
1982-10,7.653513024434778
1982-11,1.4990843613179288
1982-12,3.8305563067283552
1983-01,3.9671615373902616
1983-02,3.6426560185194576
1983-03,3.601730343279866
1983-04,4.939982327359563
1983-05,2.9661567094530885
1983-06,4.921461948406558
1983-07,1.0560228961764406
1983-08,3.747918183263066
1983-09,5.345352748735309
1983-10,6.471838720602514
1983-11,3.8962572871956094
1983-12,0.9380588889236618
1984-01,6.906264513491995
1984-02,1.05321532022174
1984-03,7.112392892866649
1984-04,2.8958642490911415
1984-05,5.848481641362985
1984-06,1.1584136713539361
1984-07,7.31609398695507
1984-08,1.4449550432164737
1984-09,2.216237087896056
1984-10,4.441514658945653
1984-11,4.45934684842685
1984-12,7.00760394845774
1985-01,2.973409811479633
1985-02,3.9596533041709505
1985-03,1.6544866741980593
1985-04,3.3885441851208826
1985-05,3.0499343439756825
1985-06,3.814666502367029
1985-07,4.104007107751329
1985-08,2.59427359481523
1985-09,5.566192710012808
1985-10,5.664416662410644
1985-11,7.892517077815577
1985-12,10.328063180172538
1986-01,3.1028738238674793
1986-02,1.777717385703461
1986-03,1.9598166624273232
1986-04,11.78546523923548
1986-05,6.116592425475143
1986-06,2.4218302896598325
1986-07,5.1026975702653
1986-08,2.736723947619032
1986-09,5.032232762664038
1986-10,4.572954872104236
1986-11,7.850991158059251
1986-12,4.483380007111411
1987-01,5.1370693345063465
1987-02,3.7916187838350903
1987-03,3.4538394773859036
1987-04,4.313241347567254
1987-05,3.658487751399956
1987-06,2.127663242460849
1987-07,2.508610413124295
1987-08,3.4755558835537745
1987-09,6.989814763344108
1987-10,3.8567465050936103
1987-11,3.161781952027315
1987-12,6.634663490266676
1988-01,1.3844195023953
1988-02,4.235746027283162
1988-03,7.347033819933897
1988-04,2.436041260254501
1988-05,2.0967803877726774
1988-06,2.7653915464403873
1988-07,5.368948174886696
1988-08,4.142233300535804
1988-09,2.296823340543871
1988-10,4.522365755071977
1988-11,3.511588606713912
1988-12,7.2653932034085535
1989-01,1.4511543989663875
1989-02,2.36117674963351
1989-03,2.645955881544858
1989-04,10.24953297979671
1989-05,3.2498038187483913
1989-06,0.32305888438959157
1989-07,4.218081249145129
1989-08,3.5542266958102293
1989-09,6.904922263722019
1989-10,8.578937663671402
1989-11,5.42923158632432
1989-12,4.22643170590411
1990-01,4.614861235638158
1990-02,2.1260777163128743
1990-03,3.292034890167493
1990-04,7.6260171580427345
1990-05,5.325056671432556
1990-06,1.8984022155213685
1990-07,8.113974352654772
1990-08,4.048749465000806
1990-09,7.167177297936741
1990-10,5.507715874477
1990-11,3.0137418363135176
1990-12,3.3045469513446726
1991-01,1.3448047601395097
1991-02,2.2593779794190554
1991-03,4.868379875517427
1991-04,3.119636197541896
1991-05,7.068779453905621
1991-06,7.207015642954402
1991-07,13.456401623669766
1991-08,1.5687051275911315
1991-09,2.4655517258599473
1991-10,6.467862729749622
1991-11,7.915682866249364
1991-12,0.5984505605150863
1992-01,1.959872647161435
1992-02,0.7457767256987647
1992-03,4.27389216443578
1992-04,2.9697592633965884
1992-05,2.8303157148288465
1992-06,6.124936393468237
1992-07,1.5599591290506187
1992-08,5.058074668298339
1992-09,2.145382157655371
1992-10,5.541696349417056
1992-11,5.977355580392646
1992-12,3.5166870146691447
1993-01,3.5980431998101756
1993-02,2.239876442329817
1993-03,3.030862089182048
1993-04,5.467276663807322
1993-05,3.6454815950032873
1993-06,7.070205257356424
1993-07,8.430504260604808
1993-08,9.954762378759206
1993-09,2.4755826624430717
1993-10,13.197653367291062
1993-11,3.505036151385223
1993-12,4.930819326163141
1994-01,1.3640443248462326
1994-02,2.435648419862689
1994-03,2.5620650530450426
1994-04,2.3678018584712217
1994-05,2.791905938139343
1994-06,4.114785997918827
1994-07,0.2855650338168369
1994-08,3.3669683595164828
1994-09,7.262107637651529
1994-10,5.437878819050389
1994-11,4.416820945842736
1994-12,1.992235739062797
1995-01,0.6251884425776887
1995-02,0.9338346190171788
1995-03,2.205813271799013
1995-04,2.519791107019317
1995-05,3.0497166560281306
1995-06,1.2033463101286996
1995-07,4.50354315354144
1995-08,2.959067680658107
1995-09,6.648037522624334
1995-10,3.885796489879204
1995-11,8.931142317289009
1995-12,2.6088169572473356
1996-01,1.216129528125992
1996-02,3.477808381304373
1996-03,5.3576177467011075
1996-04,2.9805939981810243
1996-05,2.3682055050889868
1996-06,6.081544993351259
1996-07,2.7335332978706695
1996-08,6.18346053851816
1996-09,11.685288560055575
1996-10,4.906728307415534
1996-11,3.1802639986641688
1996-12,4.805800783536874
1997-01,3.29332481414657
1997-02,2.9588121101935365
1997-03,5.907676412181207
1997-04,4.126611810023061
1997-05,3.0348201760742013
