diag,n_points_fit,fit_ok,slope_orig,stderr_orig,r2_orig,n_influential,slope_noinfl,stderr_noinfl,r2_noinfl,slope_theilsen,slope_ransac,cook_thresh,max_cook
01,17,True,0.15422940837788218,0.02913230325079328,0.6513859403231484,1,0.5558200020115748,0.03989854898096125,0.9327143351944224,0.8124867845276343,0.5558200020115748,0.23529411764705882,101.36746510727778
02,17,True,0.14587068552169638,0.028121394409131875,0.6420630189953364,1,0.5501239674590471,0.03994917530420475,0.9312476231593595,0.7780422162510513,0.5501239674590471,0.23529411764705882,110.19769564172114
03,16,True,0.14777847164518862,0.02863820483802075,0.6554060114142473,1,0.5445538208615842,0.039913525533063515,0.9347195358670666,0.7754271114831698,0.5445538208615842,0.25,102.7909688011122
04,17,True,0.1510167938368254,0.028812433624968044,0.6468263174195794,1,0.5600481045839928,0.03867967649155202,0.9374008574151633,0.7772332176999485,0.5600481045839928,0.23529411764705882,107.48565519550654
05,17,True,0.15175046974351317,0.02901984697563668,0.645762661051615,1,0.5635590512413864,0.03999511344836277,0.9341324511015223,0.7974221310974723,0.5635590512413864,0.23529411764705882,107.39633071609003
06,17,True,0.1544016342864426,0.029217594645267336,0.6505646416094275,1,0.5603363702308544,0.03946601106961533,0.9350594306185116,0.7650571723469314,0.5603363702308544,0.23529411764705882,102.96400273573727
07,17,True,0.14962520928975387,0.0287280473619792,0.6439314741246522,1,0.5629016353983456,0.038978685703993585,0.9370928483996616,0.8255639538183629,0.5629016353983456,0.23529411764705882,110.36277385998186
08,18,True,0.15407767726791213,0.028879775656520557,0.6401561473716715,1,0.5625108274735131,0.04058526290583017,0.9275708628411401,0.8495237524121485,0.9399497225946454,0.2222222222222222,106.30166971354296
09,16,True,0.14611038448529104,0.028457253060561714,0.6531379747095465,1,0.5495966987448235,0.03782088354381204,0.9420073752802804,0.7270233497069937,0.5495966987448235,0.25,107.64004751964575
10,16,True,0.14034604777312576,0.027765310127587504,0.6460200224572639,1,0.5428415309250484,0.039947302974479064,0.9342302669315372,0.7447275973780283,0.5428415309250484,0.25,112.49313523535562
