ym,mahalanobis_sq
1980-01,0.07443272537753363
1980-02,3.685303069029536
1980-03,2.6168516780874937
1980-04,1.443594220761695
1980-05,3.643048071700114
1980-06,2.9934049672587184
1980-07,6.099137244676266
1980-08,1.4568277355298394
1980-09,3.337002935692747
1980-10,8.552477572740953
1980-11,5.7644340657236235
1980-12,3.931961363393042
1981-01,5.142814705673611
1981-02,2.2512283984092054
1981-03,2.1330639497117847
1981-04,2.3439612413560638
1981-05,3.1695847325867987
1981-06,5.1374447454059915
1981-07,2.7566402655332034
1981-08,6.591744296158135
1981-09,6.270663090512136
1981-10,4.461893171053922
1981-11,2.7062252223290884
1981-12,2.154860477574659
1982-01,3.169610384618926
1982-02,5.444442648083974
1982-03,4.489954630188252
1982-04,3.3288996701173996
1982-05,4.677818903916793
1982-06,8.369167664188803
1982-07,2.9596417454647517
1982-08,4.642738642363052
1982-09,2.5712061912510977
1982-10,3.025269546283637
1982-11,5.836780306539513
1982-12,5.482654187997222
1983-01,5.124686948355918
1983-02,1.1957818966924634
1983-03,2.100752373317932
1983-04,2.621552523268982
1983-05,1.8646740424813966
1983-06,2.9769236833039896
1983-07,2.956337911489112
1983-08,12.742092057229682
1983-09,7.782074848906002
1983-10,4.621245729705374
1983-11,8.35721908338587
1983-12,0.8399214568552992
1984-01,0.9156975185688241
1984-02,4.707154050984927
1984-03,4.858198421571997
1984-04,2.5236406902587905
1984-05,4.416105928600348
1984-06,4.427438431951272
1984-07,2.2586793102899483
1984-08,1.439056287020253
1984-09,5.147292078579259
1984-10,4.573623856308083
1984-11,4.5896955886882935
1984-12,1.4580711126600792
1985-01,4.209377618332279
1985-02,3.8488677261495328
1985-03,4.498292306894012
1985-04,2.8282245505223305
1985-05,2.216716702190402
1985-06,5.202189491574699
1985-07,5.6743907111090905
1985-08,1.8824988434503012
1985-09,2.7694784282965594
1985-10,3.129892336436937
1985-11,4.646912755076297
1985-12,4.6440776174249585
1986-01,3.7621653163808486
1986-02,2.588091734439281
1986-03,2.734883589689964
1986-04,2.9659745938448854
1986-05,1.8693725785116988
1986-06,1.2536099366965463
1986-07,5.10659139020015
