feature,n,n_nan,frac_nan,mean,median,std,skew,top3_idx_val,bottom3_idx_val
temperature_celsius,260,0,0.0,13.725846153846154,13.530000000000001,13.420968368391007,0.09843556949194361,250:49.74;249:49.39;251:46.19,165:-18.34;166:-14.7;153:-14.37
humidity_percent,260,0,0.0,48.18961538461538,48.2,12.944649311489503,0.16523191091648368,255:82.3;111:80.7;163:80.0,121:20.0;195:20.0;197:20.0
precipitation_mm,260,0,0.0,66.98384615384614,61.150000000000006,31.80102546571762,0.7418150204190306,204:159.2;241:158.4;255:155.5,15:16.6;29:18.7;54:18.7
wind_speed_ms,260,0,0.0,7.895384615384616,8.1,3.099454716981607,0.08592969240402894,83:15.8;18:15.6;25:1.0,25:1.0;259:1.1;166:1.5
urban_heat_island_intensity,260,0,0.0,1.25,1.0,0.4338478284190647,1.1547005383792515,0:2.0;220:2.0;188:2.0,129:1.0;140:1.0;141:1.0
