diag,n_points_fit,n_influential,max_cook,slope_orig,slope_noinfl,slope_theilsen,slope_ransac,d_s_orig,d_s_noinfl,d_s_theilsen,d_s_ransac
1,17,1,101.36746510727778,0.1542294083778821,0.5558200020115748,0.8124867845276343,0.5558200020115748,0.3084588167557642,1.1116400040231496,1.6249735690552687,1.1116400040231496
2,17,1,110.19769564172114,0.1458706855216963,0.5501239674590471,0.7780422162510513,0.5501239674590471,0.2917413710433926,1.1002479349180943,1.5560844325021026,1.1002479349180943
3,16,1,102.7909688011122,0.1477784716451886,0.5445538208615842,0.7754271114831698,0.5445538208615842,0.2955569432903772,1.0891076417231684,1.5508542229663396,1.0891076417231684
4,17,1,107.48565519550654,0.1510167938368254,0.5600481045839928,0.7772332176999485,0.5600481045839928,0.3020335876736508,1.1200962091679856,1.554466435399897,1.1200962091679856
5,17,1,107.39633071609003,0.1517504697435131,0.5635590512413864,0.7974221310974723,0.5635590512413864,0.3035009394870262,1.1271181024827728,1.5948442621949446,1.1271181024827728
6,17,1,102.96400273573728,0.1544016342864426,0.5603363702308544,0.7650571723469314,0.5603363702308544,0.3088032685728852,1.1206727404617087,1.5301143446938628,1.1206727404617087
7,17,1,110.36277385998186,0.1496252092897538,0.5629016353983456,0.8255639538183629,0.5629016353983456,0.2992504185795076,1.1258032707966912,1.6511279076367258,1.1258032707966912
8,18,1,106.30166971354296,0.1540776772679121,0.5625108274735131,0.8495237524121485,0.9399497225946454,0.3081553545358242,1.1250216549470262,1.699047504824297,1.8798994451892908
9,16,1,107.64004751964576,0.146110384485291,0.5495966987448235,0.7270233497069937,0.5495966987448235,0.292220768970582,1.099193397489647,1.4540466994139873,1.099193397489647
10,16,1,112.49313523535562,0.1403460477731257,0.5428415309250484,0.7447275973780283,0.5428415309250484,0.2806920955462514,1.0856830618500968,1.4894551947560566,1.0856830618500968
