method,n,median,iqr_lower,iqr_upper
d_s_orig,10,0.3006420031265792,0.2930548125505308,0.3069917507736247
d_s_noinfl,10,1.1158681065955676,1.099457031846759,1.1239344263256967
d_s_theilsen,10,1.5552754339509998,1.535299314261982,1.6174412423401876
d_s_ransac,10,1.1158681065955676,1.099457031846759,1.1245206382129456
