b,n_points_fit,lambda_max_used,slope_used,d_s_robust,fit_ok,Tlog_npoints_median,abs_Tlog
69,17,0.2,0.873640209720132,1.747280419440264,True,-6.10047771316168,6.10047771316168
11,18,0.2,0.8597022699174672,1.7194045398349345,True,-6.175966994532793,6.175966994532793
89,17,0.2,0.8578205273439599,1.7156410546879195,True,-6.186158701242012,6.186158701242012
52,18,0.2,0.8569295810726669,1.7138591621453338,True,-6.190984155700304,6.190984155700304
8,18,0.2,0.849523752412263,1.699047504824526,True,-6.231094867286575,6.231094867286575
113,17,0.2,0.847055417342105,1.69411083468421,True,-6.2444636178528325,6.2444636178528325
19,18,0.2,0.8434904922128825,1.686980984425765,True,-6.263771610279043,6.263771610279043
72,17,0.2,0.8418855382022591,1.6837710764045182,True,-6.272464202341499,6.272464202341499
108,17,0.2,0.8383353416939636,1.6766706833879272,True,-6.291692423077984,6.291692423077984
57,17,0.2,0.8361622914153173,1.6723245828306346,True,-6.303461881566171,6.303461881566171
66,17,0.2,0.8356545226836665,1.671309045367333,True,-6.306212007997892,6.306212007997892
49,17,0.2,0.8292098120778584,1.6584196241557168,True,-6.3411172077021,6.3411172077021
83,17,0.2,0.8276402328439043,1.6552804656878086,True,-6.34961820642241,6.34961820642241
31,17,0.2,0.827112930265444,1.654225860530888,True,-6.352474130129694,6.352474130129694
145,17,0.2,0.8261987226475295,1.652397445295059,True,-6.357425570376777,6.357425570376777
