b,d_s_k0,d_s_k1,d_s_k2,d_s_k3,levina_mle,delta_k0_k1,abs_delta_k0_k1,sensitive_k0_k1
80,1.5352078364120465,1.6539489610482894,1.7440401807602353,1.827399269754953,8.010003136907176,0.11874112463624287,0.11874112463624287,False
81,1.4999753229916875,1.6479136301942001,1.765159409966517,1.9104792785041265,7.9577686614767345,0.14793830720251266,0.14793830720251266,False
82,1.5017670859150707,1.6459348971673564,1.7205858154742362,1.8661423282058562,7.9658887086998895,0.14416781125228573,0.14416781125228573,False
83,1.6552804656916746,1.747349914349018,1.8276334749729701,1.8825633043156584,7.93562556524655,0.09206944865734346,0.09206944865734346,False
84,1.6041180211952601,1.7209435957692953,1.7932867213000978,1.856914433765709,7.87499039550304,0.1168255745740352,0.1168255745740352,False
85,1.5758042172672597,1.7068616916201034,1.8111368099798255,1.9393552857381129,7.921467510007909,0.13105747435284365,0.13105747435284365,False
86,1.521842337067546,1.6028135792971663,1.7160328705614125,1.7984891326501724,7.98777711409444,0.08097124222962027,0.08097124222962027,False
87,1.6130593834671392,1.731935408457694,1.8504193689850195,1.952202568066718,7.936243291079245,0.11887602499055472,0.11887602499055472,False
88,1.5678299801627935,1.6927161522814718,1.782888387496487,1.8764232371886829,7.8754989526009425,0.12488617211867825,0.12488617211867825,False
89,1.7156410546899863,1.8061670412418267,1.8829313422007907,1.933152474309793,7.941234957814359,0.09052598655184041,0.09052598655184041,False
90,1.621942644393291,1.74360512975062,1.8279343907031937,1.8793329007457336,7.892937691023063,0.12166248535732915,0.12166248535732915,False
91,1.640955976568786,1.7639684053395206,1.8428198003000513,1.8928759337285725,7.807363772104534,0.1230124287707346,0.1230124287707346,False
92,1.595280041658576,1.7028954187385743,1.786716828157853,1.8247405431924812,8.014652312508215,0.10761537707999835,0.10761537707999835,False
93,1.4870300489736044,1.6489998284241982,1.7185221681452658,1.8244333623944067,7.950616297035759,0.16196977945059388,0.16196977945059388,False
94,1.4767276995768657,1.6474366452952791,1.7288362759801028,1.809936139807646,7.921807645474348,0.17070894571841344,0.17070894571841344,False
95,1.6027027610680753,1.7148222840391119,1.8021685663314577,1.869463650014944,7.943807893927961,0.11211952297103656,0.11211952297103656,False
96,1.5606475424787702,1.7188714424649802,1.845128486637075,1.9432822093646231,7.988478130007402,0.15822389998621,0.15822389998621,False
97,1.6015154782664702,1.7458167136148264,1.8116533935061054,1.8636103387460508,7.938530740134319,0.14430123534835615,0.14430123534835615,False
98,1.5119712227459838,1.703780588420226,1.7822347744822995,1.8889867526950392,7.945635110766038,0.19180936567424212,0.19180936567424212,False
99,1.5663531561026331,1.671419528178089,1.766811244712432,1.8438382535054127,7.907360628680482,0.10506637207545588,0.10506637207545588,False
100,1.5457383003391882,1.7344027101353081,1.7937000907255252,1.8757307569264003,7.981593354575467,0.18866440979611987,0.18866440979611987,False
101,1.5297912101531093,1.6534848088107543,1.7633045735029118,1.933039235929696,7.897929221113626,0.12369359865764507,0.12369359865764507,False
102,1.5788429428103403,1.7039411867098078,1.7839053515645593,1.8931003850908776,7.924481800577412,0.12509824389946744,0.12509824389946744,False
103,1.4953585952669701,1.6378045740302527,1.745803681993293,1.8296064305655815,7.951888225763228,0.14244597876328258,0.14244597876328258,False
104,1.6307684313268225,1.7243164964332787,1.811323697608458,1.8641975955038756,7.984616935622644,0.09354806510645619,0.09354806510645619,False
105,1.4269089077416353,1.5332951437783213,1.635609131557077,1.7388921439847862,7.931255851880159,0.10638623603668607,0.10638623603668607,False
106,1.5626737760134037,1.669217929958476,1.7191047521545129,1.791048129549223,7.967887636937665,0.10654415394507222,0.10654415394507222,False
107,1.5761673157565115,1.7142412781585745,1.79293153160179,1.8583073243294201,7.905868630041345,0.13807396240206304,0.13807396240206304,False
108,1.676670683387121,1.773449220002391,1.8614663710573092,1.9400031608727497,7.942738786145612,0.09677853661527003,0.09677853661527003,False
109,1.5480701318925165,1.6865693943195668,1.8149193812438738,1.8939717682575807,8.003552010032275,0.13849926242705024,0.13849926242705024,False
110,1.4919812598631808,1.6095667754938305,1.7573787478607905,1.8342866674807052,7.981257069949162,0.11758551563064978,0.11758551563064978,False
111,1.5731535141226989,1.6890641164528248,1.8222915468481409,1.937813585952363,7.995093691551481,0.11591060233012596,0.11591060233012596,False
112,1.4460412529963473,1.5640672488703544,1.6679253306541493,1.764615380877049,7.8988417054826705,0.11802599587400708,0.11802599587400708,False
113,1.6941108346836935,1.8121897627982235,1.9366058220658942,1.9993649059710983,7.956053948014691,0.11807892811453002,0.11807892811453002,False
114,1.6010074291804137,1.720181789263996,1.8301861585488575,1.9024212485166527,7.9402408913359475,0.11917436008358218,0.11917436008358218,False
115,1.5486150789177828,1.7117563177378925,1.856504530372716,1.9348083968050134,8.016001464345683,0.16314123882010967,0.16314123882010967,False
116,1.4668255444377165,1.6239634476208848,1.7427209121276843,1.7949560701956082,7.971925671272528,0.15713790318316834,0.15713790318316834,False
117,1.5316104594595186,1.7041098360613571,1.7799947178781146,1.8601785527162877,7.883633622285084,0.17249937660183856,0.17249937660183856,False
118,1.5561296223112282,1.6389782259894716,1.7422574983187185,1.8049729529321275,8.02495532251313,0.08284860367824343,0.08284860367824343,False
119,1.4743684474729717,1.5886877604874452,1.6750827285022454,1.744261807527596,7.908955402945107,0.11431931301447351,0.11431931301447351,False
120,1.5978759189911595,1.7464445964837867,1.8377279350164593,1.9035518085643597,7.897384849624844,0.14856867749262714,0.14856867749262714,False
121,1.5476786835465959,1.7049453715147307,1.7986747947535855,1.8529760509249023,7.90021076653581,0.1572666879681348,0.1572666879681348,False
122,1.5817563551461955,1.6863810941974395,1.771323325013439,1.8548570490091278,7.968829448651215,0.10462473905124403,0.10462473905124403,False
123,1.5620828528021409,1.6862401477701,1.7451361801568006,1.8202843342255932,7.980927790584729,0.12415729496795902,0.12415729496795902,False
124,1.474476348067748,1.6330906199229387,1.7433572864735565,1.8210865952172097,7.992109037706336,0.15861427185519061,0.15861427185519061,False
125,1.4871241065705874,1.601945014877757,1.7012101286005878,1.7947907004158088,7.996844688860067,0.11482090830716962,0.11482090830716962,False
126,1.6249331875137654,1.7346353104747954,1.8205996654139374,1.8699440338108109,7.9291298060448305,0.10970212296102999,0.10970212296102999,False
127,1.6411090978840663,1.7367216308276632,1.7937706329757066,1.8715827710556143,7.909152196207451,0.09561253294359684,0.09561253294359684,False
128,1.500059250142933,1.6341094408069983,1.7309514279124807,1.7804537826340006,7.951352536746369,0.1340501906640652,0.1340501906640652,False
129,1.4444112610084145,1.5824793289878265,1.6771159733930092,1.7786901355412887,8.005614820319174,0.13806806797941196,0.13806806797941196,False
130,1.5428816187337497,1.6384584327948586,1.7653300612190943,1.8213959841039764,7.901550217369087,0.09557681406110885,0.09557681406110885,False
131,1.5047761733220426,1.6162203932085575,1.7508222175049502,1.8697447388923543,7.821491194049116,0.11144421988651487,0.11144421988651487,False
132,1.518853091394476,1.6105277450577271,1.6968431744060097,1.7673751270606224,7.940085540732096,0.09167465366325112,0.09167465366325112,False
133,1.5114445805179406,1.6278703965202115,1.7627232440999245,1.8234563016240781,7.969399727522219,0.11642581600227087,0.11642581600227087,False
134,1.5168731584790056,1.6586681103700673,1.7460479654686818,1.8071646782400754,7.935096551041584,0.14179495189106173,0.14179495189106173,False
135,1.6470022848344537,1.762094939082457,1.869681738935353,1.9521190677297882,7.880084209355111,0.1150926542480033,0.1150926542480033,False
136,1.6094027494988903,1.7433892112527924,1.8333675012558852,1.902579570079899,7.8989106985589235,0.13398646175390216,0.13398646175390216,False
137,1.4452680371203848,1.5869746998449314,1.6983786334396866,1.782669848613975,7.982308579603174,0.14170666272454668,0.14170666272454668,False
138,1.5334736932373543,1.6914431587083092,1.7339833367789568,1.8170453443739985,8.017379134038434,0.15796946547095492,0.15796946547095492,False
139,1.5298580196686726,1.6349373065263817,1.7402356242069554,1.8069234082897723,7.990717237039076,0.10507928685770906,0.10507928685770906,False
140,1.3810403118343488,1.5464713847716929,1.6708514362440952,1.8171147432116692,8.032576294184048,0.16543107293734405,0.16543107293734405,False
141,1.626200485766382,1.7454040753821063,1.805931368816738,1.879354614138983,7.959388014819786,0.11920358961572419,0.11920358961572419,False
142,1.6147886819840405,1.694870181209751,1.7717456888104253,1.8382818308111393,8.084957078191803,0.08008149922571062,0.08008149922571062,False
143,1.6289508676041211,1.740394185685234,1.8359071716823379,1.9587774589692317,7.933230176580849,0.11144331808111296,0.11144331808111296,False
144,1.5909871515576315,1.7318768228987278,1.824104354953872,1.893965743547727,7.926412134993213,0.1408896713410963,0.1408896713410963,False
145,1.652397445292441,1.798123326882521,1.8602375029615406,1.9544891312655466,7.893522154423302,0.14572588159007993,0.14572588159007993,False
146,1.5759688855922611,1.7159540330928804,1.8084063070472685,1.8763562962736213,7.991439495625553,0.1399851475006193,0.1399851475006193,False
147,1.612467728133063,1.766762155250603,1.8194197972979995,1.8848688991124116,8.049729217555004,0.15429442711753993,0.15429442711753993,False
148,1.6195724389917359,1.748726211722324,1.8514452748938237,1.9079895072001205,8.018409694386818,0.12915377273058803,0.12915377273058803,False
149,1.5509726662121437,1.6858462280530713,1.765237509123911,1.8395768375168906,7.93076345426158,0.13487356184092758,0.13487356184092758,False
150,1.4917080101879825,1.5875892512298686,1.6943623901034175,1.7545361897265304,8.019736022282547,0.09588124104188611,0.09588124104188611,False
