b,d_s_robust,d_s_zscore,Tlog_npoints_median,abs_Tlog,fit_ok_flag,has_png,png_path,lambda_max_used,slope_used,reason,score
69,1.747280419440264,2.6468380143047634,-6.10047771316168,6.10047771316168,True,True,diagnostics_theilsen_per_b_top15\b_069_diagnostic_rebuilt.png,0.2,0.873640209720132,,-1.0782249444427967
11,1.7194045398349345,2.2543538707939077,-6.175966994532793,6.175966994532793,True,True,diagnostics_theilsen_per_b_top15\b_011_diagnostic_rebuilt.png,0.2,0.8597022699174672,,-1.0668186022182027
89,1.7156410546879195,2.2013651125751506,-6.186158701242012,6.186158701242012,True,True,diagnostics_theilsen_per_b_top15\b_089_diagnostic_rebuilt.png,0.2,0.8578205273439599,,-1.0652786472409317
52,1.7138591621453338,2.1762765923811043,-6.190984155700304,6.190984155700304,True,True,diagnostics_theilsen_per_b_top15\b_052_diagnostic_rebuilt.png,0.2,0.8569295810726669,,-1.0645495267096357
67,1.4077252292699576,-2.1339986758916867,-7.020010214187677,7.020010214187677,True,False,,0.2,0.7038626146349788,,0.060715342215607926
