b,d_s_k0,d_s_k1,d_s_k2,d_s_k3,levina_mle,d_s_robust
63,1.5602284123527337,1.6833985425793336,1.7983141776386886,1.8667837272620051,8.022024970458514,1.5602284123536885
64,1.5204353232715777,1.682554298060222,1.7543904350993784,1.795352101031285,8.038525491408322,1.52043532326542
65,1.590383514132794,1.6980216838653834,1.783781815324641,1.848364253820402,7.940395057128586,1.590383513980217
66,1.6713090453601989,1.7723194963605238,1.9144709212968585,1.97914629236756,7.875755386311846,1.671309045367333
67,1.407725229275386,1.5209742948238876,1.6587883537864387,1.7453544288244565,7.914944577992495,1.4077252292699576
68,1.526758408810007,1.687837426261943,1.7573187312381902,1.8167794377997344,7.981433914725656,1.5267584088141704
69,1.7472804194401093,1.8246552063598076,1.9229944671129224,2.0079877026895763,7.899687007101974,1.747280419440264
70,1.6193347928513244,1.7302371341058496,1.824019998140324,1.875945521437843,7.855492001982073,1.6193347928511117
71,1.6351785389625957,1.7756633864852485,1.889812338709476,1.996662783179376,8.025147157701117,1.6351785389600817
72,1.6837710764045637,1.754804920015795,1.851563274361951,1.9166009931856844,7.986541747162774,1.6837710764045182
73,1.4918320236983529,1.6169951862059844,1.6717478269188863,1.7464903083700278,7.90805959976335,1.4918320237227078
74,1.5709796516617984,1.6627075289040163,1.7655718378792866,1.811264664243705,7.886875795083735,1.570979651680802
75,1.6364169977950198,1.7148379562247815,1.7970834572665926,1.870539314090941,7.961259392712542,1.636416997779928
76,1.6094582714931602,1.6949980939164906,1.7729424322265284,1.8371508475009448,7.995780979892477,1.6094582715864252
77,1.4997447996384967,1.6090162802086792,1.7165198245450222,1.7607458679657544,7.923475163896207,1.499744799638774
78,1.4827713980147934,1.5956615741221067,1.658728975532822,1.7838172993002666,7.888186443369595,1.4827713980067452
79,1.4675471222975545,1.5863876754005053,1.6602263098251573,1.7232758887259088,7.869538215499785,1.4675471222966243
80,1.5352078364120465,1.6539489610482894,1.7440401807602353,1.827399269754953,8.010003136907176,1.5352078364127393
81,1.4999753229916877,1.6479136301942,1.765159409966517,1.9104792785041265,7.9577686614767345,1.4999753229927717
82,1.501767085915071,1.6459348971673564,1.7205858154742362,1.866142328205856,7.9658887086998895,1.5017670859164958
83,1.6552804656916746,1.747349914349018,1.82763347497297,1.8825633043156584,7.93562556524655,1.6552804656878086
84,1.60411802119526,1.7209435957692951,1.7932867213000978,1.856914433765709,7.87499039550304,1.604118021194714
85,1.5758042172672595,1.7068616916201034,1.8111368099798253,1.9393552857381129,7.921467510007909,1.5758042172682754
86,1.521842337067546,1.6028135792971665,1.7160328705614123,1.7984891326501724,7.98777711409444,1.5218423370634273
87,1.6130593834671392,1.731935408457694,1.8504193689850197,1.952202568066718,7.936243291079245,1.6130593834668403
88,1.5678299801627935,1.6927161522814718,1.782888387496487,1.8764232371886829,7.8754989526009425,1.5678299801616131
89,1.7156410546899863,1.8061670412418267,1.8829313422007907,1.933152474309793,7.941234957814359,1.7156410546879195
90,1.621942644393291,1.74360512975062,1.8279343907031935,1.8793329007457336,7.892937691023063,1.621942644399919
91,1.640955976568786,1.7639684053395206,1.8428198003000515,1.8928759337285723,7.807363772104534,1.640955976569198
92,1.595280041658576,1.7028954187385743,1.786716828157853,1.8247405431924808,8.014652312508215,1.595280041657988
93,1.4870300489736044,1.6489998284241982,1.7185221681452658,1.824433362394407,7.950616297035759,1.4870300489739097
94,1.4767276995768657,1.6474366452952791,1.7288362759801028,1.809936139807646,7.921807645474348,1.4767276995648415
95,1.6027027610680753,1.714822284039112,1.8021685663314575,1.869463650014944,7.943807893927961,1.6027027610674816
96,1.5606475424787702,1.7188714424649802,1.845128486637075,1.9432822093646231,7.988478130007402,1.5606475425218942
97,1.6015154782664702,1.7458167136148264,1.8116533935061052,1.8636103387460508,7.938530740134319,1.6015154782473038
98,1.5119712227459838,1.703780588420226,1.7822347744822995,1.8889867526950392,7.945635110766038,1.511971222776048
99,1.5663531561026331,1.671419528178089,1.766811244712432,1.8438382535054127,7.907360628680482,1.566353156100602
100,1.5457383003391882,1.734402710135308,1.7937000907255252,1.8757307569264003,7.981593354575467,1.5457383003401366
101,1.5297912101531093,1.6534848088107543,1.7633045735029118,1.933039235929696,7.897929221113626,1.5297912102725242
102,1.5788429428103403,1.7039411867098078,1.783905351564559,1.8931003850908776,7.924481800577412,1.5788429428095132
103,1.49535859526697,1.6378045740302527,1.745803681993293,1.8296064305655813,7.951888225763228,1.4953585952756854
104,1.6307684313268225,1.724316496433279,1.811323697608458,1.864197595503876,7.984616935622644,1.6307684313091064
105,1.4269089077416353,1.533295143778321,1.635609131557077,1.7388921439847862,7.931255851880159,1.4269089077534771
106,1.5626737760134035,1.669217929958476,1.7191047521545129,1.791048129549223,7.967887636937665,1.5626737760058464
107,1.5761673157565117,1.7142412781585743,1.79293153160179,1.85830732432942,7.905868630041345,1.5761673157582716
108,1.676670683387121,1.773449220002391,1.8614663710573087,1.9400031608727497,7.942738786145612,1.6766706833879272
109,1.5480701318925163,1.6865693943195668,1.8149193812438735,1.8939717682575807,8.003552010032275,1.5480701318921082
110,1.4919812598631808,1.6095667754938303,1.7573787478607903,1.8342866674807048,7.981257069949162,1.49198125987371
111,1.5731535141226989,1.6890641164528248,1.8222915468481409,1.937813585952363,7.995093691551481,1.5731535141192443
112,1.4460412529963471,1.5640672488703544,1.6679253306541493,1.764615380877049,7.8988417054826705,1.4460412529962117
113,1.6941108346836935,1.8121897627982235,1.9366058220658944,1.9993649059710985,7.956053948014691,1.69411083468421
114,1.6010074291804135,1.720181789263996,1.8301861585488572,1.9024212485166527,7.9402408913359475,1.601007429192341
115,1.5486150789177828,1.7117563177378925,1.856504530372716,1.9348083968050132,8.016001464345683,1.5486150788993935
116,1.4668255444377165,1.6239634476208848,1.7427209121276843,1.7949560701956082,7.971925671272528,1.4668255444354057
117,1.5316104594595186,1.7041098360613571,1.7799947178781146,1.860178552716288,7.883633622285084,1.5316104594721909
118,1.5561296223112282,1.6389782259894716,1.7422574983187185,1.8049729529321277,8.02495532251313,1.5561296223089631
119,1.4743684474729717,1.5886877604874452,1.6750827285022454,1.744261807527596,7.908955402945107,1.474368447471525
120,1.5978759189911595,1.7464445964837867,1.8377279350164597,1.90355180856436,7.897384849624844,1.597875919001991
121,1.547678683546596,1.7049453715147307,1.7986747947535855,1.8529760509249025,7.90021076653581,1.5476786835359435
122,1.5817563551461955,1.6863810941974395,1.771323325013439,1.854857049009128,7.968829448651215,1.581756355145024
123,1.5620828528021409,1.6862401477701,1.7451361801568006,1.8202843342255928,7.980927790584729,1.5620828528013515
124,1.474476348067748,1.6330906199229387,1.7433572864735565,1.8210865952172095,7.992109037706336,1.474476348067739
125,1.4871241065705874,1.601945014877757,1.7012101286005878,1.7947907004158088,7.996844688860067,1.4871241065777905
126,1.6249331875137654,1.7346353104747954,1.8205996654139371,1.8699440338108109,7.9291298060448305,1.6249331875130255
127,1.6411090978840663,1.7367216308276632,1.7937706329757066,1.8715827710556143,7.909152196207451,1.6411090978883716
128,1.500059250142933,1.6341094408069985,1.7309514279124807,1.7804537826340006,7.951352536746369,1.500059250135756
129,1.4444112610084143,1.5824793289878265,1.6771159733930092,1.7786901355412887,8.005614820319174,1.4444112609834163
130,1.5428816187337495,1.6384584327948586,1.7653300612190943,1.8213959841039764,7.901550217369087,1.5428816187380363
131,1.5047761733220426,1.6162203932085577,1.7508222175049502,1.8697447388923545,7.821491194049116,1.5047761733206042
132,1.518853091394476,1.6105277450577271,1.6968431744060095,1.7673751270606224,7.940085540732096,1.5188530913927885
133,1.5114445805179406,1.6278703965202117,1.7627232440999243,1.823456301624078,7.969399727522219,1.511444580512429
134,1.5168731584790056,1.6586681103700671,1.7460479654686818,1.8071646782400757,7.935096551041584,1.5168731585229476
135,1.6470022848344537,1.762094939082457,1.869681738935353,1.952119067729788,7.880084209355111,1.6470022848276895
136,1.6094027494988905,1.7433892112527924,1.8333675012558848,1.902579570079899,7.8989106985589235,1.6094027494821617
137,1.4452680371203848,1.5869746998449314,1.6983786334396866,1.782669848613975,7.982308579603174,1.4452680371138265
138,1.5334736932373545,1.6914431587083092,1.7339833367789568,1.8170453443739985,8.017379134038434,1.5334736932457045
139,1.5298580196686726,1.6349373065263817,1.7402356242069554,1.8069234082897725,7.990717237039076,1.529858019660328
140,1.3810403118343488,1.5464713847716929,1.6708514362440952,1.8171147432116688,8.032576294184048,1.3810403118386123
141,1.626200485766382,1.7454040753821063,1.805931368816738,1.879354614138983,7.959388014819786,1.6262004857734482
142,1.6147886819840405,1.694870181209751,1.7717456888104253,1.8382818308111395,8.084957078191803,1.61478868198389
143,1.6289508676041211,1.740394185685234,1.8359071716823376,1.958777458969232,7.933230176580849,1.628950867604127
144,1.5909871515576317,1.7318768228987278,1.824104354953872,1.893965743547727,7.926412134993213,1.590987151560649
145,1.652397445292441,1.798123326882521,1.8602375029615408,1.9544891312655464,7.893522154423302,1.652397445295059
146,1.5759688855922611,1.7159540330928804,1.8084063070472685,1.876356296273621,7.991439495625553,1.5759688855904326
147,1.612467728133063,1.766762155250603,1.8194197972979995,1.884868899112412,8.049729217555004,1.612467728149077
148,1.619572438991736,1.748726211722324,1.851445274893824,1.9079895072001205,8.018409694386818,1.6195724390213695
149,1.5509726662121437,1.6858462280530713,1.765237509123911,1.8395768375168904,7.93076345426158,1.5509726662069725
150,1.4917080101879825,1.5875892512298686,1.6943623901034175,1.7545361897265304,8.019736022282547,1.4917080101881794
