b,d_s_robust,Tlog_npoints_median,fit_ok,lambda_max_used
109,1.5480701318921082,-6.639949172418093,True,0.2
110,1.49198125987371,-6.791840653567111,True,0.2
111,1.5731535141192443,-6.572022114133572,True,0.2
112,1.4460412529962117,-6.916248498430358,True,0.2
113,1.69411083468421,-6.2444636178528325,True,0.2
114,1.601007429192341,-6.496592313818388,True,0.2
115,1.5486150788993935,-6.638473428565423,True,0.2
116,1.4668255444354057,-6.859963593818681,True,0.2
117,1.5316104594721909,-6.684522791624926,True,0.2
118,1.5561296223089631,-6.618123667773947,True,0.2
119,1.474368447471525,-6.839537033734824,True,0.2
120,1.597875919001991,-6.50507260061912,True,0.2
121,1.5476786835359435,-6.641009234217724,True,0.2
122,1.581756355145024,-6.548725188763659,True,0.2
123,1.5620828528013515,-6.602002020741827,True,0.2
124,1.474476348067739,-6.839244833503547,True,0.2
125,1.4871241065777905,-6.804994068526909,True,0.2
126,1.6249331875130255,-6.431800159186536,True,0.2
127,1.6411090978883716,-6.38799498184157,True,0.2
128,1.500059250135756,-6.769965050413476,True,0.2
129,1.4444112609834163,-6.920662598628403,True,0.2
130,1.5428816187380363,-6.653999926508398,True,0.2
131,1.5047761733206042,-6.757191385634164,True,0.2
132,1.5188530913927885,-6.719070384817886,True,0.2
133,1.511444580512429,-6.739133004197311,True,0.2
134,1.5168731585229476,-6.724432142424227,True,0.2
135,1.6470022848276895,-6.372035935765417,True,0.2
136,1.6094027494821617,-6.473857365019222,True,0.2
137,1.4452680371138265,-6.918342405856147,True,0.2
138,1.5334736932457045,-6.679477061029862,True,0.2
139,1.529858019660328,-6.68926848660986,True,0.2
140,1.3810403118386123,-7.092274310204028,True,0.2
141,1.6262004857734482,-6.428368251877543,True,0.2
142,1.61478868198389,-6.459271989424795,True,0.2
143,1.628950867604127,-6.420920079807865,True,0.2
144,1.590987151560649,-6.523727728673992,True,0.2
145,1.652397445295059,-6.357425570376777,True,0.2
146,1.5759688855904326,-6.564397946854843,True,0.2
147,1.612467728149077,-6.4655572489239095,True,0.2
148,1.6195724390213695,-6.446317335217424,True,0.2
149,1.5509726662069725,-6.632088963783017,True,0.2
150,1.4917080101881794,-6.792580627432964,True,0.2
