series,window_size_months,stride_months,n_windows,W,d_PR,d_PR_80,d_PR_90,n_eigvals_pos
S1,132,12,40,132,4.02199360584999,3,6,86
S1,132,1,40,132,4.0634244055915225,3,6,84
S1,132,6,40,132,4.050841232292777,3,6,87
S1,264,12,40,264,5.006334085341712,5,10,152
S1,264,1,40,264,5.046302367308492,5,10,151
S1,264,6,40,264,5.043250375316385,5,10,151
S1,60,12,40,60,2.826622917863374,2,4,50
S1,60,1,40,60,2.798130503198931,2,4,49
S1,60,6,40,60,2.8395423000366056,2,4,50
