series,window_size_months,stride_months,k,d_hat_k,n_windows
S1,132,12,5,6.611779547036366,40
S1,132,12,6,5.703214170160541,40
S1,132,12,7,5.26562494840014,40
S1,132,12,8,4.916382186955265,40
S1,132,12,9,4.520346542443911,40
S1,132,12,10,4.193232633529691,40
S1,132,12,11,3.8709213164123155,40
S1,132,12,12,3.732274367865615,40
S1,132,12,13,3.624117033726543,40
S1,132,12,14,3.4868303606241873,40
S1,132,12,15,3.3658230376485747,40
S1,132,12,16,3.3319811792554446,40
S1,132,12,17,3.225729181134311,40
S1,132,12,18,3.239943898426163,40
S1,132,12,19,3.1873496382243793,40
S1,132,12,20,3.162547104281847,40
S1,132,1,5,6.440738932667363,40
S1,132,1,6,5.661665556577534,40
S1,132,1,7,4.764381966712397,40
S1,132,1,8,4.692881348944011,40
S1,132,1,9,4.260005907016111,40
S1,132,1,10,3.9549662415770674,40
S1,132,1,11,3.726304675658696,40
S1,132,1,12,3.6664879131781043,40
S1,132,1,13,3.5633663967730356,40
S1,132,1,14,3.4710721947774963,40
S1,132,1,15,3.3536853290962876,40
S1,132,1,16,3.337048253886482,40
S1,132,1,17,3.3341336167829745,40
S1,132,1,18,3.317934229418269,40
S1,132,1,19,3.2225812635493156,40
S1,132,1,20,3.220586325766287,40
S1,132,6,5,6.530389137732127,40
S1,132,6,6,5.50514303164827,40
S1,132,6,7,4.905303669034613,40
S1,132,6,8,4.585618160572023,40
S1,132,6,9,4.345037870579209,40
S1,132,6,10,4.045190881552159,40
S1,132,6,11,3.7870369584394417,40
S1,132,6,12,3.8182481378992237,40
S1,132,6,13,3.6914566330700795,40
S1,132,6,14,3.495330230845691,40
S1,132,6,15,3.4968544059528694,40
S1,132,6,16,3.3946723968402823,40
S1,132,6,17,3.370683041867249,40
S1,132,6,18,3.333394820202792,40
S1,132,6,19,3.280842800294129,40
S1,132,6,20,3.1880299477193375,40
S1,264,12,5,6.6765934573639925,40
S1,264,12,6,6.561238716073021,40
S1,264,12,7,6.048916420496793,40
S1,264,12,8,5.749424667633766,40
S1,264,12,9,5.638534760589536,40
S1,264,12,10,5.379094779829413,40
S1,264,12,11,5.051755444546087,40
S1,264,12,12,4.977782202153945,40
S1,264,12,13,4.7597182299752046,40
S1,264,12,14,4.592600824853063,40
S1,264,12,15,4.5153585999090895,40
S1,264,12,16,4.492446115114222,40
S1,264,12,17,4.350639012324813,40
S1,264,12,18,4.221528628273827,40
S1,264,12,19,4.0444689021854385,40
S1,264,12,20,3.971828396199309,40
S1,264,1,5,6.5051859389164495,40
S1,264,1,6,6.257685423879008,40
S1,264,1,7,6.04188255906571,40
S1,264,1,8,5.605904286410443,40
S1,264,1,9,5.6369155526505414,40
S1,264,1,10,5.256736207490944,40
S1,264,1,11,5.036193504611981,40
S1,264,1,12,5.031494392765913,40
S1,264,1,13,4.652995324400472,40
S1,264,1,14,4.390803807384641,40
S1,264,1,15,4.421498267005342,40
S1,264,1,16,4.384309528823158,40
S1,264,1,17,4.2199705141746335,40
S1,264,1,18,4.111676383463153,40
S1,264,1,19,4.062463025287299,40
S1,264,1,20,3.9167972161084195,40
S1,264,6,5,6.612101199339702,40
S1,264,6,6,6.310184125909803,40
S1,264,6,7,6.0076078757105495,40
S1,264,6,8,5.505079068711871,40
S1,264,6,9,5.404029811660324,40
S1,264,6,10,5.134880387237153,40
S1,264,6,11,4.8879123925326455,40
S1,264,6,12,4.623531205455879,40
S1,264,6,13,4.657054086763631,40
S1,264,6,14,4.5418832216200045,40
S1,264,6,15,4.491129977991106,40
S1,264,6,16,4.365329735819957,40
S1,264,6,17,4.277641180210677,40
S1,264,6,18,4.144299451818067,40
S1,264,6,19,3.987035502941192,40
S1,264,6,20,3.9409336868793,40
S1,60,12,5,6.727401159102851,40
S1,60,12,6,5.703084585213039,40
S1,60,12,7,5.3904016665917895,40
S1,60,12,8,5.0198642491339935,40
S1,60,12,9,4.649454542516089,40
S1,60,12,10,4.204442334318916,40
S1,60,12,11,3.780349456283666,40
S1,60,12,12,3.6311232059172527,40
S1,60,12,13,3.482159955711265,40
S1,60,12,14,3.260862087491197,40
S1,60,12,15,3.1361709345853943,40
S1,60,12,16,3.105514240108504,40
S1,60,12,17,3.0328428482055014,40
S1,60,12,18,2.9205108565259774,40
S1,60,12,19,2.8710715727348215,40
S1,60,12,20,2.8182794359884826,40
S1,60,1,5,5.755123608370872,40
S1,60,1,6,5.231333252379389,40
S1,60,1,7,4.754088060324527,40
S1,60,1,8,4.680315920001227,40
S1,60,1,9,4.274729408627336,40
S1,60,1,10,4.038216407985147,40
S1,60,1,11,3.7353871060257737,40
S1,60,1,12,3.5945437971753975,40
S1,60,1,13,3.4422685439820895,40
S1,60,1,14,3.254019294697909,40
S1,60,1,15,3.0256632596602975,40
S1,60,1,16,2.9281079796381335,40
S1,60,1,17,2.895429717199992,40
S1,60,1,18,2.8010354938757587,40
S1,60,1,19,2.762805773387529,40
S1,60,1,20,2.7208409118530756,40
S1,60,6,5,6.6651543049550686,40
S1,60,6,6,6.062025887144301,40
S1,60,6,7,5.24061434903242,40
S1,60,6,8,5.093135223455375,40
S1,60,6,9,4.6462145601459595,40
S1,60,6,10,4.125656683918552,40
S1,60,6,11,3.9632742737594837,40
S1,60,6,12,3.6436786052113006,40
S1,60,6,13,3.419831602568494,40
S1,60,6,14,3.2664157215636336,40
S1,60,6,15,3.177036657063211,40
S1,60,6,16,3.1120336741707386,40
S1,60,6,17,3.032306438238615,40
S1,60,6,18,2.985436263882119,40
S1,60,6,19,2.8831724836109864,40
S1,60,6,20,2.8104794929079757,40
