series,window_size_months,stride_months,n_windows,W,d_PR,d_PR_80,d_PR_90,n_eigvals_pos
S0,132,12,40,132,4.021993605849989,3,6,84
S0,132,1,40,132,4.0634244055915225,3,6,86
S0,132,6,40,132,4.050841232292776,3,6,85
S0,264,12,40,264,5.006334085341713,5,10,151
S0,264,1,40,264,5.046302367308494,5,10,150
S0,264,6,40,264,5.0432503753163855,5,10,154
S0,60,12,40,60,2.8266229178633755,2,4,49
S0,60,1,40,60,2.7981305031989296,2,4,51
S0,60,6,40,60,2.839542300036603,2,4,50
