diag,n_nodes_sub,lambda_max,n_points_fit,fit_ok,slope,stderr_slope,r_value,d_s_est
1,1953,0.05,5,True,0.08518794556182287,0.022195557986539296,0.9114835113527285,0.17037589112364573
1,1953,0.1,8,True,0.10802335725641497,0.02494358437481105,0.8704165409509808,0.21604671451282995
1,1953,0.2,17,True,0.15422940936063798,0.029132303354424956,0.8070848416378005,0.30845881872127595
1,1953,0.4,59,True,0.2655790280729742,0.03355470742672505,0.7235933298533259,0.5311580561459484
1,1953,0.8,200,True,0.4468522306120879,0.03472101066160117,0.6749020941158453,0.8937044612241758
2,1953,0.05,5,True,0.08044460598428257,0.02141624770839349,0.9081064405443975,0.16088921196856515
2,1953,0.1,8,True,0.10214645353100632,0.024007267431870462,0.8666446120378732,0.20429290706201264
2,1953,0.2,17,True,0.14587068805154793,0.028121394690698975,0.8012883515718445,0.29174137610309586
2,1953,0.4,59,True,0.25102721534966993,0.03265613520739038,0.7134427222623423,0.5020544306993399
2,1953,0.8,200,True,0.4224040981450106,0.033994922313953214,0.6619120944259271,0.8448081962900212
3,1953,0.05,4,True,0.07452492035165396,0.021035699667005744,0.9287385783424842,0.14904984070330793
3,1953,0.1,8,True,0.1063788007695485,0.024789619111926776,0.8684750445157808,0.212757601539097
3,1953,0.2,16,True,0.1477784698758884,0.02863820464282845,0.8095714972038652,0.2955569397517768
3,1953,0.4,58,True,0.25959548831893803,0.03342400649664061,0.7201240330909336,0.5191909766378761
3,1953,0.8,200,True,0.43913002219694514,0.034891347937786206,0.6666647849156573,0.8782600443938903
4,1953,0.05,5,True,0.08322910609293932,0.022056793207274796,0.9088297014720318,0.16645821218587864
4,1953,0.1,8,True,0.10563525571860546,0.024810884764438688,0.8667866576979121,0.21127051143721093
4,1953,0.2,17,True,0.15101679247578662,0.02881243347767183,0.8042551309364554,0.30203358495157323
4,1953,0.4,56,True,0.25499353309395456,0.03291364709045601,0.7255375969256422,0.5099870661879091
4,1953,0.8,200,True,0.43722744178114425,0.03445228213583282,0.6697425492550843,0.8744548835622885
5,1953,0.05,4,True,0.07434249196345744,0.021133026599764702,0.9278314048044257,0.14868498392691487
5,1953,0.1,8,True,0.1062214140878485,0.02487041120732432,0.8674615656694986,0.212442828175697
5,1953,0.2,17,True,0.15175047081309276,0.02901984709215293,0.8035935928311868,0.3035009416261855
5,1953,0.4,57,True,0.2573276747902114,0.03354755496227246,0.7189252123314959,0.5146553495804228
5,1953,0.8,200,True,0.4392725208469202,0.034983908072720074,0.6658033958947936,0.8785450416938404
6,1953,0.05,5,True,0.08520602730313119,0.022347682092799793,0.9104577959868799,0.17041205460626238
6,1953,0.1,8,True,0.10808359100017831,0.02519605250516411,0.868397391578608,0.21616718200035662
6,1953,0.2,17,True,0.15440163366622087,0.029217594579570037,0.806575874177633,0.30880326733244173
6,1953,0.4,59,True,0.26592322610813385,0.03366320462653699,0.7229265890406678,0.5318464522162677
6,1953,0.8,200,True,0.44746049056691106,0.03485078847554092,0.6740305919683209,0.8949209811338221
7,1953,0.05,4,True,0.07321446659945118,0.020844817545197614,0.9276300434818803,0.14642893319890235
