lambda_max,n_samples,med_slope,med_d_s,slope_iqr_lower,slope_iqr_upper,med_n_points
0.05,20,0.07858566577533092,0.15717133155066185,0.07365206130233239,0.08338733181846635,5.0
0.1,20,0.10519220326829741,0.21038440653659482,0.104466587914021,0.10657318792458854,8.0
0.2,20,0.15037660211675352,0.30075320423350704,0.1473614473297482,0.15318263825958806,17.0
0.4,20,0.25700296340232054,0.5140059268046411,0.2525118714603378,0.25969250320980186,58.0
0.8,20,0.4355199003547531,0.8710398007095062,0.43153791145915454,0.44009943569920706,200.0
