tag,window_type,window_center,pipeline,raw_csv,n_cities,feature_list,influencer_rank,city,delta_T_log,delta_abs,T_full,T_without_city,d_est_full,d_est_without_city
3yr_1984.0_C,3yr,1984.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,5,Beijing_China_39.9042_116.4074,-0.1468323100711954,0.1468323100711954,0.06898666695939584,-0.07784564311179956,4.023028315169684,3.9735618079835917
3yr_2014.0_A,3yr,2014.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,1,Delhi_India_28.7041_77.1025,-0.39040345614961297,0.39040345614961297,0.05120779314046549,-0.3391956630091475,4.017093581289798,3.8848012591162027
3yr_2014.0_A,3yr,2014.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,2,Lagos_Nigeria_6.5244_3.3792,-0.21593887321308397,0.21593887321308397,0.05120779314046549,-0.1647310800726185,4.017093581289798,3.944053491602922
3yr_2014.0_A,3yr,2014.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,3,Mexico City_Mexico_19.4326_-99.1332,0.19564276051161988,0.19564276051161988,0.05120779314046549,0.24685055365208539,4.017093581289798,4.08383619270044
3yr_2014.0_A,3yr,2014.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,4,Phoenix_USA_33.4484_-112.074,-0.15458727471943412,0.15458727471943412,0.05120779314046549,-0.10337948157896863,4.017093581289798,3.9648899222193306
3yr_2014.0_A,3yr,2014.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,5,San Diego_USA_32.7157_-117.1611,-0.12832115944130712,0.12832115944130712,0.05120779314046549,-0.07711336630084163,4.017093581289798,3.973810506230062
3yr_2014.0_B,3yr,2014.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,1,Delhi_India_28.7041_77.1025,-0.39040345614961297,0.39040345614961297,0.05120779314046549,-0.3391956630091475,4.017093581289798,3.8848012591162027
3yr_2014.0_B,3yr,2014.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,2,Lagos_Nigeria_6.5244_3.3792,-0.21593887321308397,0.21593887321308397,0.05120779314046549,-0.1647310800726185,4.017093581289798,3.944053491602922
3yr_2014.0_B,3yr,2014.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,3,Mexico City_Mexico_19.4326_-99.1332,0.19564276051161988,0.19564276051161988,0.05120779314046549,0.24685055365208539,4.017093581289798,4.08383619270044
3yr_2014.0_B,3yr,2014.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,4,Phoenix_USA_33.4484_-112.074,-0.15458727471943412,0.15458727471943412,0.05120779314046549,-0.10337948157896863,4.017093581289798,3.9648899222193306
3yr_2014.0_B,3yr,2014.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,5,San Diego_USA_32.7157_-117.1611,-0.12832115944130712,0.12832115944130712,0.05120779314046549,-0.07711336630084163,4.017093581289798,3.973810506230062
