city,T_loo,delta,d_part_loo,d_pca90_loo,d_est_loo,delta_abs
Delhi_India_28.7041_77.1025,-0.3391956630091475,-0.39040345614961297,3.7696025182324058,4,3.8848012591162027,0.39040345614961297
Lagos_Nigeria_6.5244_3.3792,-0.1647310800726185,-0.21593887321308397,3.888106983205844,4,3.944053491602922,0.21593887321308397
Mexico City_Mexico_19.4326_-99.1332,0.24685055365208539,0.19564276051161988,4.167672385400881,4,4.08383619270044,0.19564276051161988
Phoenix_USA_33.4484_-112.074,-0.10337948157896863,-0.15458727471943412,3.929779844438661,4,3.9648899222193306,0.15458727471943412
San Diego_USA_32.7157_-117.1611,-0.07711336630084163,-0.12832115944130712,3.9476210124601243,4,3.973810506230062,0.12832115944130712
Tokyo_Japan_35.6762_139.6503,-0.07453858821637498,-0.12574638135684046,3.949369921575025,4,3.9746849607875125,0.12574638135684046
Dallas_USA_32.7767_-96.797,-0.07291100316346008,-0.12411879630392557,3.9504754530969426,4,3.975237726548471,0.12411879630392557
San Antonio_USA_29.4241_-98.4936,-0.06009437770087006,-0.11130217084133555,3.95918110164546,4,3.97959055082273,0.11130217084133555
New York_USA_40.7128_-74.006,-0.0535561460020481,-0.10476393914251358,3.9636221729293846,4,3.9818110864646923,0.10476393914251358
San Jose_USA_37.3382_-121.8863,-0.04895010919429244,-0.10015790233475794,3.9667508075116227,4,3.9833754037558116,0.10015790233475794
Chicago_USA_41.8781_-87.6298,-0.04831783911374402,-0.09952563225420952,3.967180274778577,4,3.983590137389289,0.09952563225420952
Los Angeles_USA_34.0522_-118.2437,-0.027059529796341415,-0.07826732293680691,3.9816199079092462,4,3.9908099539546233,0.07826732293680691
Mumbai_India_19.076_72.8777,0.11919497682363808,0.0679871836831726,4.08096277604461,4,4.040481388022306,0.0679871836831726
Beijing_China_39.9042_116.4074,-0.01369959628170729,-0.06490738942217278,3.9906945965743286,4,3.9953472982871645,0.06490738942217278
London_UK_51.5074_-0.1278,0.08117581028555833,0.02996801714509284,4.055138388575836,4,4.027569194287918,0.02996801714509284
São Paulo_Brazil_-23.5505_-46.6333,0.02922717729880199,-0.021980615841663498,4.019852459164956,4,4.009926229582478,0.021980615841663498
Paris_France_48.8566_2.3522,0.029745900744549397,-0.02146189239591609,4.020204800272663,4,4.010102400136331,0.02146189239591609
Berlin_Germany_52.52_13.405,0.0716694200162669,0.020461626875801414,4.048681205841499,4,4.024340602920749,0.020461626875801414
Philadelphia_USA_39.9526_-75.1652,0.04256684360891302,-0.00864094953155247,4.028913381401413,4,4.014456690700706,0.00864094953155247
Houston_USA_29.7604_-95.3698,0.05921927987813961,0.008011486737674121,4.040224491182972,4,4.020112245591486,0.008011486737674121
