ym,mahalanobis_sq
1980-01,3.803079674576481
1980-02,2.5377043922304954
1980-03,3.2526090292309853
1980-04,4.923392561909739
1980-05,3.3955381598614824
1980-06,2.1145452751544798
1980-07,2.294268761253734
1980-08,2.9334889260509196
1980-09,5.901004915284276
1980-10,6.357837215084003
1980-11,7.6176519184260725
1980-12,3.110719515752942
1981-01,4.180688592049771
1981-02,0.9881062088992321
1981-03,2.0623739235570757
1981-04,3.5255178080358034
1981-05,2.8456776394187724
1981-06,4.1160913373477985
1981-07,4.219006446653573
1981-08,1.6566450828374089
1981-09,2.914245311848554
1981-10,20.01487513258577
1981-11,12.579958660297159
1981-12,3.388916589511521
1982-01,4.1518473351054
1982-02,2.0918966195681623
1982-03,2.7461835974213664
1982-04,5.298248240671966
1982-05,2.2635083043368858
1982-06,3.4859458160960375
1982-07,7.558366903351569
1982-08,4.539442738668488
1982-09,4.796814558151669
1982-10,3.9917390219511275
1982-11,10.822145354302807
1982-12,7.730323399654951
1983-01,0.7228155527100201
1983-02,1.4074854804855816
1983-03,4.149200052984647
1983-04,2.8946059904769137
1983-05,2.4934798236995213
1983-06,1.3367836680783127
1983-07,1.4411753297640435
1983-08,5.533927221498451
1983-09,8.737238148053372
1983-10,2.683391440688751
1983-11,1.6539152845567933
1983-12,1.4845779355602167
1984-01,3.0375577641212357
1984-02,3.1423917301098863
1984-03,3.437538665225419
1984-04,3.1886001746853796
1984-05,3.8006923493765234
1984-06,2.096485039850986
1984-07,1.8802388688118656
1984-08,5.941791675583829
1984-09,4.841165227282122
1984-10,5.107292174305814
1984-11,7.354350543731872
1984-12,2.20999538992722
1985-01,5.051102161738825
1985-02,1.2718114438693133
1985-03,2.352279685671425
1985-04,6.542278567607768
1985-05,3.0935140123869296
1985-06,4.596932915434508
1985-07,2.47895003278352
1985-08,0.5990743390489978
1985-09,3.912257735211571
1985-10,5.8024235194159495
1985-11,4.823455046638431
1985-12,5.718648387236502
1986-01,5.877993357015593
1986-02,4.113257082298804
1986-03,3.508497972056726
1986-04,3.432925762153034
1986-05,6.333051981873669
1986-06,4.0437798949384876
1986-07,6.84815911603179
1986-08,4.831009796542207
1986-09,3.8494296039820517
1986-10,5.596127223126657
1986-11,2.4156682139889423
1986-12,2.9040462189643255
1987-01,3.021072052345245
1987-02,1.1095873799381017
1987-03,3.817701940390441
1987-04,1.9124852765864435
1987-05,2.3875189133872508
1987-06,1.9730128030372818
1987-07,6.845802699028231
1987-08,2.1724591739373125
1987-09,15.305696757200836
1987-10,3.9983437178786607
1987-11,5.748703289564803
1987-12,10.687071071393254
1988-01,4.086107071886752
1988-02,4.262395338942055
1988-03,9.517412602344242
1988-04,2.4902904902324403
1988-05,2.6883639954082112
1988-06,3.843563660164579
1988-07,1.2609651809274975
1988-08,6.191643832294122
1988-09,3.529211891550958
1988-10,2.8615328362719947
1988-11,5.509455776514379
1988-12,2.3634687780122747
1989-01,7.447779352852023
1989-02,4.904484261497893
1989-03,1.8576308530964512
1989-04,2.1455954194276425
1989-05,5.703698668156553
1989-06,9.172301304886016
1989-07,3.1517476260857507
1989-08,0.6690477638165486
1989-09,10.329265620044337
1989-10,3.756143029792677
1989-11,2.2930251368310626
1989-12,7.034542795836766
1990-01,7.937522439897972
1990-02,0.9813699507620975
1990-03,1.1016546763805466
1990-04,2.725262389029996
1990-05,2.00662526356588
1990-06,4.9311554091526295
1990-07,3.9078049638279184
1990-08,2.6500438873701913
1990-09,7.1230093798840945
1990-10,11.664551482694954
1990-11,5.972681858154607
1990-12,5.313441654330266
1991-01,2.5369453205768475
1991-02,5.573269578919173
1991-03,6.116101336788183
1991-04,4.112209635023244
1991-05,2.264952367146807
1991-06,7.937255677352873
1991-07,5.069736768773089
1991-08,4.281242369107763
1991-09,13.546701019929737
1991-10,4.609709444565821
1991-11,6.67527221280316
1991-12,2.8802770756727254
1992-01,7.098422953160779
1992-02,2.2067400917345723
1992-03,5.1647117285366875
1992-04,2.6875496443131386
1992-05,1.9646278802022485
1992-06,6.479059443686072
1992-07,7.1275923291546075
1992-08,9.824271876734826
1992-09,7.101727287953884
1992-10,7.658954399027283
1992-11,4.142404243975653
1992-12,5.061344060940809
1993-01,4.916727800153854
1993-02,0.4757224804191286
1993-03,4.710766036447132
1993-04,4.4525477133314535
1993-05,4.872939272170775
1993-06,7.402029926142501
1993-07,2.535364815843007
1993-08,2.9658841863398555
1993-09,4.144450746716099
1993-10,8.014362248761419
1993-11,2.5975524300495523
1993-12,3.6624531049012177
1994-01,2.8377383382202526
1994-02,3.2725146147315423
1994-03,2.1568531958884276
1994-04,4.245758692346316
1994-05,6.960843233878358
1994-06,3.3580568963984945
1994-07,13.538249401380508
1994-08,5.324383263360823
1994-09,3.776793464544653
1994-10,2.9383201839033326
1994-11,3.6189860864444867
1994-12,9.346427481289933
1995-01,3.7002482191878556
1995-02,3.2134670266512746
1995-03,9.136425106002626
1995-04,4.207106598983287
1995-05,3.3699214772814843
1995-06,3.7496462095703786
1995-07,0.7915324452490888
1995-08,5.771596338499198
1995-09,4.644401597583915
1995-10,4.1552493102276395
1995-11,3.199217222691218
1995-12,4.996649625707312
1996-01,2.456163794549886
1996-02,6.396039576213835
1996-03,2.96965115332652
1996-04,15.571392984132357
1996-05,6.760206934275836
1996-06,2.9632484318384784
1996-07,1.953238643983336
1996-08,9.324513657820566
1996-09,2.654461863424248
1996-10,4.654430408424724
1996-11,4.249583809700369
1996-12,6.511494165013631
1997-01,3.34932696609398
1997-02,3.542110617553769
1997-03,2.309926465615492
