window_id,W,phase,d_point,d_std,T_log_point,T_log_mean,T_log_std,T_log_10,T_log_50,T_log_90,n_methods_used
nonoverlap_132_132,132,declining,3.0810736376092276,2.010624558073734,-4.486935408996963,-4.655568221698281,4.5462049494151024,-10.93212627948128,-4.486935408996963,1.9582554614873573,3
nonoverlap_132_264,132,declining,4.580734976628038,3.5667256066110067,2.835613860392533,2.920200268003485,8.182526775851368,-7.460251838521542,2.835613860392533,13.131479559306609,3
nonoverlap_132_396,132,min,2.340481242854099,0.47617669784959493,-8.103101377960149,-8.05213497989554,1.1349082970472544,-9.747178734883017,-8.103101377960149,-6.459024021037281,2
nonoverlap_132_528,132,max,2.450977282489541,0.31991170000863783,-7.563571103190033,-7.545898349875588,0.7997624674247217,-8.668118185342784,-7.563571103190033,-6.459024021037281,2
nonoverlap_132_660,132,declining,2.1341897720370344,0.7163952200859406,-9.110381768278883,-9.114667914260055,1.7283404971759455,-11.31569707022299,-9.11038176827888,-6.905066466334775,3
nonoverlap_132_792,132,declining,2.6770472854548326,0.08043507646824472,-6.459716058072001,-6.461935056223084,0.18691852650691135,-6.721548117238319,-6.459716058072001,-6.1978839989056835,3
nonoverlap_132_924,132,rising,2.3939242112965538,0.40059692706479855,-7.842149948900609,-7.82140305998266,0.977307692468218,-9.225275876763938,-7.842149948900609,-6.459024021037281,2
nonoverlap_132_1056,132,declining,4.2397772027089395,2.9231067270321027,1.1707845863795918,0.9450835772205955,6.715616321153295,-7.2634485644589395,1.1707845863795918,9.605017737218128,3
nonoverlap_132_1188,132,declining,2.456572023141628,0.33238174572639306,-7.536253092777651,-7.515794028877133,0.7610904652480959,-8.517544281195548,-7.536253092777651,-6.554961904359752,3
nonoverlap_132_1320,132,declining,2.7923724884306886,0.3808322450060532,-5.896605935258828,-5.890204633016567,0.8820630724798832,-7.093009873048636,-5.896605935258828,-4.700201997469019,3
nonoverlap_132_1452,132,declining,2.792900994987369,0.6692202086844596,-5.894025342427771,-5.844609318991053,1.5812148108264439,-8.047910491468025,-5.894025342427771,-3.74014019338752,3
nonoverlap_132_1584,132,max,2.3816801486660917,0.4179126464953436,-7.901935281452897,-7.9019352814528965,1.0105432803121959,-9.344846541868513,-7.901935281452897,-6.459024021037281,2
nonoverlap_132_1716,132,declining,2.448085330625616,0.4602845255880315,-7.577691931311233,-7.573959115741473,1.0681348765878695,-8.929660814695394,-7.577691931311233,-6.225723047927078,3
nonoverlap_132_1848,132,max,2.565698467120627,0.1576714448118487,-7.0034102823119815,-6.989800625780114,0.3845054824654511,-7.547796543586682,-7.0034102823119815,-6.459024021037281,2
nonoverlap_132_1980,132,max,2.3543387843704733,0.45657917469599063,-8.035437747601677,-8.06223678095327,1.133734381653833,-9.611851474166073,-8.035437747601677,-6.459024021037281,2
nonoverlap_132_2112,132,max,2.333152514558692,0.4865410847999071,-8.138886106571075,-8.160724313683016,1.2129399401331356,-9.81874819210487,-8.138886106571075,-6.459024021037281,2
nonoverlap_132_2244,132,declining,2.8701422160941568,1.2237182256664132,-5.516871759504627,-5.730140589104549,2.677596504096074,-9.46300700761461,-5.516871759504632,-1.5707365113946494,3
nonoverlap_132_2376,132,declining,2.809878060895182,0.9263188699794981,-5.811129692373224,-5.862271540545272,2.179790344341771,-8.803192465798286,-5.811129692373224,-2.8190669189481596,3
nonoverlap_132_2508,132,declining,3.374191120712878,1.9054018469320644,-3.055700798954781,-3.0680243629493265,4.41279241207419,-8.938703557597584,-3.055700798954781,2.8273019596880227,3
nonoverlap_132_2640,132,declining,5.399627426027609,5.196534863689197,6.834103486712224,7.285448004220668,12.20978742339198,-8.240403420222261,6.834103486712224,21.908610393646715,3
nonoverlap_132_2772,132,declining,3.0270490357063022,0.601025112148911,-4.750726839035531,-4.7406540638484875,1.4125716372079935,-6.449707815512586,-4.750726839035531,-3.0517458625584726,3
nonoverlap_132_2904,132,declining,3.21092574802139,0.9094751639881017,-3.852893274624558,-3.8345656438699898,2.069815289506363,-6.430785511144109,-3.852893274624558,-1.2750010381050076,3
nonoverlap_132_3036,132,declining,3.1906584383617385,1.7561886753396856,-3.951854533196359,-4.10973048348573,4.023055566007012,-9.482306939307046,-3.951854533196359,1.5785978729143253,3
nonoverlap_264_0,264,rising,2.732437508233983,0.9512041408601398,-7.067863939144632,-6.992855948594208,2.620152925179795,-10.818263466665854,-7.067863939144632,-3.317464411623413,2
nonoverlap_264_264,264,declining,2.969671077801422,0.6157052093276858,-5.745061629678871,-5.76691000464137,1.6948147996112555,-8.17265884773433,-5.745061629678871,-3.317464411623413,2
nonoverlap_264_528,264,rising,2.631394020337466,1.094101211832875,-7.631277284859991,-7.7089259165782495,3.0140069512995415,-11.94509015809657,-7.631277284859991,-3.317464411623413,2
nonoverlap_264_792,264,min,2.7976581085099985,0.8589682834036835,-6.704197191528919,-6.839666502725138,2.372867116789582,-10.090929971434422,-6.704197191528919,-3.317464411623413,2
nonoverlap_264_1056,264,rising,2.641456031301104,1.0798713794633514,-7.575172023851445,-7.664583883708236,3.049755489694552,-11.832879636079477,-7.575172023851445,-3.317464411623413,2
nonoverlap_264_1320,264,min,2.8775060550672347,0.7460462344547986,-6.258969105535023,-6.223671049208085,2.0806989901615323,-9.200473799446636,-6.258969105535023,-3.317464411623413,2
nonoverlap_264_1584,264,rising,2.7461233704102224,0.931849408957733,-6.991552268217246,-6.885003720376027,2.57881096843161,-10.665640124811082,-6.991552268217246,-3.317464411623413,2
nonoverlap_264_1848,264,declining,2.7995217108793344,0.856332751658098,-6.6938058395689986,-6.82210681383093,2.4137112002161825,-10.070147267514583,-6.6938058395689986,-3.317464411623413,2
nonoverlap_264_2112,264,min,2.61243770288225,1.1209094930706915,-7.73697674617336,-7.670684061155111,3.0659321847465173,-12.156489080723306,-7.73697674617336,-3.317464411623413,2
nonoverlap_264_2376,264,rising,2.631121631446889,1.0944864278961692,-7.632796111450112,-7.576696799352367,3.079769549258363,-11.948127811276812,-7.632796111450112,-3.317464411623413,2
nonoverlap_264_2640,264,rising,2.9720918019286007,0.6122817884362658,-5.731563795152965,-5.690524105632963,1.681565694924216,-8.145663178682515,-5.731563795152965,-3.317464411623413,2
nonoverlap_264_2904,264,rising,2.9118306741615907,0.6975038926082692,-6.06757677648001,-6.161080596885133,1.9588665466387578,-8.817689141336604,-6.06757677648001,-3.317464411623413,2
