window_id,W,phase,d,d_std,T_log,T_log_lower,T_log_upper
nonoverlap_60_0,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_60,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_120,60,rising,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_180,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_240,60,rising,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_300,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_360,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_420,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_480,60,unknown,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_540,60,unknown,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_600,60,rising,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_660,60,rising,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_720,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_780,60,rising,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_840,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_900,60,rising,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_960,60,rising,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1020,60,min,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1080,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
