phase,mean_d,std_d,mean_T_log,std_T_log,n_windows
declining,2.9103686598459477,1.114459639201562,-4.767651379812439,2.405563249975472,44
rising,2.685953326550431,0.8420577765284937,-6.016776154845116,1.8700791386014868,23
min,2.5129782526309126,0.990624343895428,-6.7139431380839545,2.2134333878722994,11
max,2.4537034832882045,0.6913659767259456,-6.965146688559504,1.4859647763037724,10
unknown,2.5336250857082594,0.9536494695174439,-5.983554659021568,1.9633626985394912,2
