W,mean_d,std_d,mean_T_log,std_T_log,T_log_10,T_log_50,T_log_90,n_windows
60,2.6284149531641057,0.9051980432726722,-5.622163751478168,1.7766379911543144,-8.059743370144332,-5.6157417781376875,-3.1717401861310432,54
132,2.9926056734707664,1.1908927048114197,-4.91812129221824,2.7683891530909204,-8.530670941757295,-4.918906954379543,-1.3071429670017907,24
264,2.7769374744133413,0.8882716851641468,-6.833559116890651,2.4675793680793254,-10.322004373650183,-6.819734392636797,-3.3174644116234133,12
