lambda,N_lambda
3.1684883515276524e-09,1
0.003831946481640954,2
0.013340119363177898,3
0.02814546298332193,4
0.04731484035200366,5
0.06379974489916179,6
0.08842838020362272,7
0.09092874231608651,8
0.10451506188386096,9
0.10718007256127342,10
0.1378394648277564,11
0.14269054647779483,12
0.15532588699701563,13
0.16549532582005488,14
0.1796173059266644,15
0.19435248961250493,16
0.20565033333236704,17
0.21328619079774347,18
0.2189143517423524,19
0.22474768851319563,20
0.22570642881143793,21
0.2554767447949718,22
0.26300127446235805,23
0.27161314887024035,24
0.2754105865565367,25
0.2756867157348752,26
0.2808414113654808,27
0.28702714264034607,28
0.28753753326315284,29
0.29491026903466544,30
0.2993572570385486,31
0.30441157554332077,32
0.3118484110270421,33
0.31306119687691886,34
0.31740566994563507,35
0.3244558898614383,36
0.32584084883551706,37
0.3269293515827755,38
0.335363421662841,39
0.338398255626623,40
0.3425398317358555,41
0.34314764748896925,42
0.34774405440240247,43
0.3513380880396444,44
0.3522643030827101,45
0.35618967924889755,46
0.36319144190299213,47
0.3668467629720668,48
0.37127937197221567,49
0.37536526639053897,50
0.3761955802160012,51
0.38060455475490235,52
0.3817414162399568,53
0.38971040475469987,54
0.392874894653892,55
0.39556089376777415,56
0.3978837914081647,57
0.40096016242298194,58
0.40151762457762913,59
0.403490757372995,60
0.40752804683072696,61
0.40913501509329875,62
0.4118456765396722,63
0.4131477364680967,64
0.41627539535476227,65
0.4194052726463657,66
0.42182678510668714,67
0.4228903925381621,68
0.4256655611296729,69
0.4278933027503835,70
0.4306235934199586,71
0.43278787244386663,72
0.43390700590834874,73
0.43600312011973397,74
0.43673831592043927,75
0.4397141425285198,76
0.43989038329207986,77
0.44761617614008203,78
0.44865028928384615,79
0.4504456555092277,80
0.453178607767588,81
0.454578418048319,82
0.45741339904645206,83
0.4590996147055512,84
0.4631353093268275,85
0.4637835806158211,86
0.4646976206308882,87
0.46770573823837275,88
0.4700932916035975,89
0.4720007903882289,90
0.47707290370897465,91
0.48171936480142696,92
0.48351471454556716,93
0.48396711762335354,94
0.48572307700630407,95
0.4894396857056427,96
0.4921951292753429,97
0.492580354903181,98
0.4944363688691637,99
0.496389363342893,100
0.5008995632812242,101
0.501864301966234,102
0.504445663335895,103
0.5081329309554122,104
0.510315482210136,105
0.5108802914303465,106
0.5131649112760376,107
0.5148499873346616,108
0.5156873214528587,109
0.5166218426365217,110
0.5182956225169638,111
0.5192573114666741,112
0.5229796936104961,113
0.5239473229292834,114
0.526635213973014,115
0.5284222833666065,116
0.5301328442739097,117
0.5314162349281575,118
0.5328533436881008,119
0.5352552360705116,120
0.5355827413133876,121
0.5384464826185615,122
0.5386134032759325,123
0.5419137906964835,124
0.5444646898048671,125
0.5459163553807513,126
0.5470687355117304,127
0.5479195204317203,128
0.5501312248924795,129
0.5512042875044766,130
0.5544191491702046,131
0.5554516242172791,132
0.5565496678922796,133
0.5573237712183532,134
0.5591693092127623,135
0.5598158406480389,136
0.5619805599027858,137
0.5624775703479387,138
0.5642279855348926,139
0.5653153087184245,140
0.5663031779942078,141
0.5680008214877903,142
0.5691374847236397,143
0.570990125305474,144
0.5720305425967109,145
0.5741692838256905,146
0.574833667544095,147
0.5761724154185464,148
0.5778361957667417,149
0.5789700758880828,150
0.5806076012930412,151
0.5814399679576323,152
0.5825628326666611,153
0.5839195186929975,154
0.5844847935769463,155
0.5852888930296276,156
0.5860596075323741,157
0.5881202918817802,158
0.5898134776733128,159
0.5911137816236137,160
0.5923770260847805,161
0.5932318589577406,162
0.5950742741049203,163
0.5955144494269501,164
0.5974548197644535,165
0.5983124745580838,166
0.5996736424608303,167
0.6009510308101573,168
0.6027197244567986,169
0.6042058624424868,170
0.605726314196585,171
0.6069690134537441,172
0.6088841060478122,173
0.610472445539068,174
0.6108860175847408,175
0.6134005005291385,176
0.6135926863879838,177
0.6147454825190133,178
0.6153979073095766,179
0.6166977276068752,180
0.618849281645611,181
0.6205899706454848,182
0.6211130096160734,183
0.6218717349426021,184
0.6245027525028188,185
0.6254975082410694,186
0.6280282892185086,187
0.6289195844787503,188
0.6297054444036266,189
0.6303909800976063,190
0.6315515079469196,191
0.6324303115991354,192
0.6336752151461926,193
0.6351521019480116,194
0.6360983192406932,195
0.636830263114395,196
0.6376803705309572,197
0.6386574406293644,198
0.6404555275853717,199
0.6407207764030507,200
