city,T_loo,delta,d_part_loo,d_pca90_loo,d_est_loo,delta_abs
Chicago_USA_41.8781_-87.6298,-0.4023928316678387,-0.4129402036120923,3.726676059843662,4,3.863338029921831,0.4129402036120923
Phoenix_USA_33.4484_-112.074,-0.31828408862918534,-0.328831460573439,3.7838066328552062,4,3.8919033164276033,0.328831460573439
San Jose_USA_37.3382_-121.8863,-0.19477976030243419,-0.2053271322466878,3.867696521014285,4,3.9338482605071423,0.2053271322466878
Mumbai_India_19.076_72.8777,0.2076399432339328,0.1970925712896792,4.141038713794446,4,4.070519356897223,0.1970925712896792
Dallas_USA_32.7767_-96.797,-0.1779392150240406,-0.1884865869682942,3.8791354031901757,4,3.939567701595088,0.1884865869682942
Delhi_India_28.7041_77.1025,-0.15259094034929555,-0.16313831229354916,3.8963531311540422,4,3.948176565577021,0.16313831229354916
New York_USA_40.7128_-74.006,-0.13235705714540003,-0.14290442908965365,3.910096926387743,4,3.9550484631938714,0.14290442908965365
São Paulo_Brazil_-23.5505_-46.6333,0.1315057091556128,0.12095833721135917,4.0893247984326315,4,4.044662399216316,0.12095833721135917
San Diego_USA_32.7157_-117.1611,-0.10810107548863047,-0.11864844743288411,3.9265727180943424,4,3.963286359047171,0.11864844743288411
Berlin_Germany_52.52_13.405,0.09970732342716593,0.0891599514829123,4.067725854828476,4,4.033862927414238,0.0891599514829123
Los Angeles_USA_34.0522_-118.2437,-0.07262599278895158,-0.08317336473320522,3.9506690454087714,4,3.9753345227043857,0.08317336473320522
Mexico City_Mexico_19.4326_-99.1332,0.06414288930835005,0.053595517364096415,4.043568835871414,4,4.021784417935708,0.053595517364096415
Paris_France_48.8566_2.3522,-0.04065225474927165,-0.051199626693525284,3.9723870964642782,4,3.986193548232139,0.051199626693525284
Beijing_China_39.9042_116.4074,-0.039440703809819594,-0.04998807575407323,3.973210038252526,4,3.986605019126263,0.04998807575407323
London_UK_51.5074_-0.1278,-0.028596419784607644,-0.039143791728861274,3.980575980696531,4,3.9902879903482655,0.039143791728861274
Tokyo_Japan_35.6762_139.6503,-0.018773057112671552,-0.029320429056925182,3.9872484658398415,4,3.9936242329199207,0.029320429056925182
Houston_USA_29.7604_-95.3698,0.0251499415973174,0.014602569653063767,4.0170830109065045,4,4.008541505453252,0.014602569653063767
San Antonio_USA_29.4241_-98.4936,-0.0013137743827292137,-0.011861146326982845,3.9991076232912115,4,3.9995538116456055,0.011861146326982845
Philadelphia_USA_39.9526_-75.1652,0.0025042230031509082,-0.008043148941102723,4.001700984819769,4,4.000850492409885,0.008043148941102723
Lagos_Nigeria_6.5244_3.3792,0.015613638787520015,0.005066266843266384,4.010605510182412,4,4.005302755091206,0.005066266843266384
