n,d,T_log,regime
100,1,-13.815510557964275,Divergence
500,1,-18.643824295266576,Divergence
1000,1,-20.72326583694641,Divergence
2000,1,-22.802707378626245,Divergence
4000,1,-24.882148920306083,Divergence
6480,1,-26.329427368038964,Divergence
