d,n,T_log,regime
1,6480,-26.329427368038964,Divergence
2,6480,-17.552951578692642,Divergence
3,6480,-8.776475789346321,Divergence
4,6480,0.0,Équilibre
5,6480,8.776475789346321,Saturation
6,6480,17.552951578692642,Saturation
