d,n,T_log,regime
1,324,-17.342230547376985,Divergence
2,324,-11.561487031584658,Divergence
3,324,-5.780743515792329,Divergence
4,324,0.0,Équilibre
5,324,5.780743515792329,Saturation
6,324,11.561487031584658,Saturation
