ym,mahalanobis_sq
1980-01,3.933333432840686
1980-02,2.0886580351960964
1980-03,4.937829599362719
1980-04,4.129356145817495
1980-05,8.66736984746737
1980-06,2.4402246217097465
1980-07,2.358854322692271
1980-08,1.333515708957106
1980-09,2.8985770949330347
1980-10,8.931413676986516
1980-11,5.066033474374751
1980-12,5.496385961739995
1981-01,2.3832058673372014
1981-02,3.684003691003419
1981-03,3.8948829136441274
1981-04,3.1262987080829783
1981-05,3.6919949282107516
1981-06,4.357324535670219
1981-07,2.188118409945453
1981-08,13.35725094204551
1981-09,3.245250381107511
1981-10,5.6100589775148455
1981-11,5.373206779928825
1981-12,1.5516071622689325
1982-01,3.4593349751937854
1982-02,4.1014274894206455
1982-03,2.0371268615569127
1982-04,2.0815829256454452
1982-05,5.80607397370595
1982-06,11.770635114792103
1982-07,1.4318796042714461
1982-08,5.62035697127086
1982-09,4.810902432713376
1982-10,4.122486842872293
1982-11,7.108353271082743
1982-12,2.149207348796476
1983-01,3.3280499981094396
1983-02,4.114057983948037
1983-03,10.279911698698223
1983-04,5.419920267889485
1983-05,4.395070292144921
1983-06,5.1765252113248685
1983-07,5.7110908573295935
1983-08,3.4535002306561147
1983-09,2.123864402572834
1983-10,4.823530794904798
1983-11,2.202423899992737
1983-12,4.006036449312304
1984-01,2.4577473284130593
1984-02,1.9638630030501847
1984-03,2.3488126891848955
1984-04,4.551750495393712
1984-05,5.757775629548134
1984-06,2.466939940919821
1984-07,4.159804229274573
1984-08,14.836056831578023
1984-09,6.173225859639062
1984-10,2.6149302316487373
1984-11,2.0569644108648273
1984-12,6.466479005426154
1985-01,3.06218317833865
1985-02,2.110553993094692
1985-03,9.08547941904752
1985-04,3.590515111747022
1985-05,3.9261928871637157
1985-06,4.822049844455555
1985-07,4.844806664641065
1985-08,5.110468502516914
1985-09,10.39773981842866
1985-10,3.655455106283208
1985-11,7.586488924797809
1985-12,2.699173252444207
1986-01,0.7982961549528628
1986-02,7.05272723678044
1986-03,1.9497795950071846
1986-04,2.042942768458919
1986-05,3.4237229609339463
1986-06,3.268036203815334
1986-07,4.29499711288968
1986-08,2.3867413617410187
1986-09,4.617122695735201
1986-10,2.754935159246889
1986-11,4.399327646657742
1986-12,4.106680063550556
1987-01,1.7342725332005187
1987-02,3.4603069703918585
1987-03,3.9565519296451526
1987-04,1.9129998433767343
1987-05,2.066154028497822
1987-06,5.84458382586368
1987-07,5.224689801626947
1987-08,2.6852888972637596
1987-09,2.2673987544555487
1987-10,6.162641578988033
1987-11,4.298001759347161
1987-12,4.199968270251719
1988-01,0.8396879571959042
1988-02,3.1582542632462665
1988-03,3.4015352035400688
1988-04,7.959514411917283
1988-05,1.1678858767966271
1988-06,9.886377416031168
1988-07,4.186364592965713
1988-08,3.2453878790376436
1988-09,5.288647378011335
1988-10,2.6859041663904413
1988-11,5.385930603791964
1988-12,2.785400897148018
1989-01,2.812625932526114
1989-02,2.0375016847759984
1989-03,3.7603626232921004
1989-04,5.785820625704772
1989-05,11.755844155854392
1989-06,6.127890701660624
1989-07,0.1304226725864351
1989-08,0.9791833114147225
1989-09,1.633660028286642
1989-10,3.638419606342687
1989-11,6.2059621865959125
1989-12,2.066533896837806
1990-01,2.4437826670774485
1990-02,6.531362498822504
1990-03,8.040923268865706
1990-04,13.904697928220742
1990-05,8.928056637432382
1990-06,2.067561017268431
1990-07,2.9486581766591584
1990-08,1.8117160284523404
1990-09,6.091015441885866
1990-10,7.590087522462098
1990-11,3.5211552550601137
1990-12,4.664649838770758
1991-01,1.3757284671438983
1991-02,2.992718341683965
1991-03,4.640939183924779
1991-04,3.393354872717292
1991-05,10.582860265498264
1991-06,0.7935575089276603
1991-07,2.9430556589170034
1991-08,2.107205732540832
1991-09,6.820065988960567
1991-10,4.672707205791166
1991-11,3.6180520469622954
1991-12,4.80636980796967
1992-01,2.663477959862407
1992-02,2.927555364488048
1992-03,6.556270521380814
1992-04,6.685113096292961
1992-05,2.99880300425614
1992-06,5.36632550803873
1992-07,1.9770659414942624
1992-08,9.250279367372881
1992-09,4.155060910735274
1992-10,3.9363025286337634
1992-11,4.05869322019017
1992-12,3.717335048939215
1993-01,1.8256410802115797
1993-02,4.776237383486293
1993-03,2.4765765307505605
1993-04,2.5416456777753034
1993-05,2.6096551501170007
1993-06,2.904538588579042
1993-07,7.2139403090092555
1993-08,8.463596210867117
1993-09,1.4149945640734758
1993-10,5.253961551804136
1993-11,3.12767544766436
1993-12,4.9147655036045075
1994-01,3.6115889432976642
1994-02,6.552461083173913
1994-03,1.4696546066245564
1994-04,8.7026705663585
1994-05,2.4546794123010605
1994-06,0.9722027169445107
1994-07,12.279076570280427
1994-08,4.882418963732531
1994-09,2.292291891040031
1994-10,7.313927120588046
1994-11,3.4812672819817556
1994-12,5.1587241598284495
1995-01,2.7564943586393333
1995-02,2.749091249139567
1995-03,3.907820059842897
1995-04,4.389749071892456
1995-05,5.416450625693138
1995-06,3.7323815281888346
1995-07,3.736697466356014
1995-08,2.7773024871995022
1995-09,5.056510006962045
1995-10,5.792588594359759
1995-11,2.964103792658943
1995-12,0.5413662418331837
1996-01,6.179432061289714
1996-02,3.0615450122770103
1996-03,1.9562504380288923
1996-04,3.580421231954363
1996-05,6.740521156992531
1996-06,5.811470526286546
1996-07,16.292903014894847
1996-08,3.3732460677015577
1996-09,1.7323029420623017
1996-10,6.083695026375423
1996-11,3.9178050896778243
1996-12,3.1007526661151226
1997-01,0.4602765454037059
1997-02,2.5458125702137018
1997-03,0.9933319753131236
1997-04,3.98185860330405
