left_out_city,n_used,d_participation,d_pca90,d_estimate,T_log
Beijing_China_39.9042_116.4074,19,3.7282841206943194,4,3.86414206034716,-0.4000254131430656
Berlin_Germany_52.52_13.405,19,3.7761500323056576,4,3.888075016152829,-0.3295562851821844
Chicago_USA_41.8781_-87.6298,19,3.771869921145466,4,3.885934960572733,-0.3358575482498014
Dallas_USA_32.7767_-96.797,19,3.719716151411132,4,3.8598580757055663,-0.412639344507923
Delhi_India_28.7041_77.1025,19,3.681769802238934,4,3.840884901119467,-0.4685046993177638
Houston_USA_29.7604_-95.3698,19,3.6604478178384894,4,3.830223908919245,-0.4998953403086871
Lagos_Nigeria_6.5244_3.3792,19,3.794616363764289,4,3.8973081818821447,-0.3023697921076836
London_UK_51.5074_-0.1278,19,3.794878105884016,4,3.897439052942008,-0.301984450257776
Los Angeles_USA_34.0522_-118.2437,19,3.7508178536909313,4,3.8754089268454655,-0.3668508122523889
Mexico City_Mexico_19.4326_-99.1332,19,3.901551160287529,4,3.950775580143764,-0.1449383005515549
Mumbai_India_19.076_72.8777,19,3.80408465072918,4,3.90204232536459,-0.2884303955050044
New York_USA_40.7128_-74.006,19,3.793373665980293,4,3.8966868329901465,-0.304199316004945
Paris_France_48.8566_2.3522,19,3.819155811473378,4,3.909577905736689,-0.2662423389267555
Philadelphia_USA_39.9526_-75.1652,19,3.792571382673933,4,3.896285691336967,-0.3053804531247353
Phoenix_USA_33.4484_-112.074,19,3.755420884611597,4,3.877710442305799,-0.3600741404198297
San Antonio_USA_29.4241_-98.4936,19,3.727631361283844,4,3.863815680641922,-0.4009864182691752
San Diego_USA_32.7157_-117.1611,19,3.7108749787343336,4,3.855437489367167,-0.4256554912334777
San Jose_USA_37.3382_-121.8863,19,3.695407065118467,4,3.847703532559233,-0.4484276551219462
São Paulo_Brazil_-23.5505_-46.6333,19,3.825730105609008,4,3.912865052804504,-0.2565635349700281
Tokyo_Japan_35.6762_139.6503,19,3.6995446956890192,4,3.849772347844509,-0.4423361547552839
