fraction,rep,n_used,d_est_sub,d_factor,d_pert,T_log,regime
0.5,0,10,3.7720201847970367,0.8,3.0176161478376295,-2.262022413587141,Divergence
0.5,0,10,3.7720201847970367,0.8500000000000001,3.2062171570774813,-1.8277525411878257,Divergence
0.5,0,10,3.7720201847970367,0.9,3.394818166317333,-1.3934826687885107,Divergence
0.5,0,10,3.7720201847970367,0.95,3.583419175557185,-0.9592127963891957,Divergence
0.5,0,10,3.7720201847970367,1.0,3.7720201847970367,-0.5249429239898806,Divergence
0.5,0,10,3.7720201847970367,1.05,3.9606211940368885,-0.09067305159056557,Divergence
0.5,0,10,3.7720201847970367,1.1,4.14922220327674,0.3435968208087495,Saturation
0.5,0,10,3.7720201847970367,1.15,4.337823212516592,0.7778666932080646,Saturation
0.5,0,10,3.7720201847970367,1.2,4.526424221756444,1.2121365656073795,Saturation
0.5,1,10,3.1419864157487067,0.8,2.5135891325989657,-3.422587505341971,Divergence
0.5,1,10,3.1419864157487067,0.8500000000000001,2.670688453386401,-3.0608529511773326,Divergence
0.5,1,10,3.1419864157487067,0.9,2.827787774173836,-2.6991183970126955,Divergence
0.5,1,10,3.1419864157487067,0.95,2.9848870949612714,-2.337383842848057,Divergence
0.5,1,10,3.1419864157487067,1.0,3.1419864157487067,-1.9756492886834187,Divergence
0.5,1,10,3.1419864157487067,1.05,3.299085736536142,-1.6139147345187803,Divergence
0.5,1,10,3.1419864157487067,1.1,3.4561850573235775,-1.2521801803541421,Divergence
0.5,1,10,3.1419864157487067,1.15,3.6132843781110124,-0.8904456261895047,Divergence
0.5,1,10,3.1419864157487067,1.2,3.770383698898448,-0.5287110720248663,Divergence
0.5,2,10,2.953499958950454,0.8,2.3627999671603632,-3.76979238986591,Divergence
0.5,2,10,2.953499958950454,0.8500000000000001,2.5104749651078864,-3.429758140984017,Divergence
0.5,2,10,2.953499958950454,0.9,2.6581499630554086,-3.0897238921021257,Divergence
0.5,2,10,2.953499958950454,0.95,2.8058249610029313,-2.7496896432202336,Divergence
0.5,2,10,2.953499958950454,1.0,2.953499958950454,-2.409655394338342,Divergence
0.5,2,10,2.953499958950454,1.05,3.1011749568979767,-2.0696211454564497,Divergence
0.5,2,10,2.953499958950454,1.1,3.2488499548455,-1.7295868965745564,Divergence
0.5,2,10,2.953499958950454,1.15,3.3965249527930217,-1.3895526476926663,Divergence
0.5,2,10,2.953499958950454,1.2,3.544199950740545,-1.0495183988107732,Divergence
0.5,3,10,2.9240413322780974,0.8,2.339233065822478,-3.8240571855745866,Divergence
0.5,3,10,2.9240413322780974,0.8500000000000001,2.485435132436383,-3.487414486424486,Divergence
0.5,3,10,2.9240413322780974,0.9,2.631637199050288,-3.1507717872743863,Divergence
0.5,3,10,2.9240413322780974,0.95,2.7778392656641926,-2.8141290881242864,Divergence
0.5,3,10,2.9240413322780974,1.0,2.9240413322780974,-2.477486388974187,Divergence
0.5,3,10,2.9240413322780974,1.05,3.070243398892002,-2.1408436898240875,Divergence
0.5,3,10,2.9240413322780974,1.1,3.2164454655059074,-1.8042009906739866,Divergence
0.5,3,10,2.9240413322780974,1.15,3.3626475321198117,-1.467558291523888,Divergence
0.5,3,10,2.9240413322780974,1.2,3.508849598733717,-1.1309155923737872,Divergence
0.5,4,10,3.675092749455778,0.8,2.9400741995646227,-2.4405693477622816,Divergence
