pipeline,n_cities,d_part,d_pca90,d_est,T_log
A_baseline_StandardScaler,20,3.8005003705245297,4,3.900250185262265,-0.2988237392908647
B_winsor1-99_StandardScaler,20,3.787723468941634,4,3.893861734470817,-0.317961827504817
C_MinCovDet_proj,20,3.800500370524528,4,3.900250185262264,-0.29882373929086736
