left_out_city,n_used,d_participation,d_pca90,d_estimate,T_log
Beijing_China_39.9042_116.4074,19,3.7282841206943185,4,3.8641420603471595,-0.40002541314306567
Berlin_Germany_52.52_13.405,19,3.7761500323056576,4,3.888075016152829,-0.32955628518218444
Chicago_USA_41.8781_-87.6298,19,3.771869921145466,4,3.885934960572733,-0.3358575482498014
Dallas_USA_32.7767_-96.797,19,3.719716151411132,4,3.8598580757055663,-0.412639344507923
Delhi_India_28.7041_77.1025,19,3.681769802238934,4,3.840884901119467,-0.4685046993177638
Houston_USA_29.7604_-95.3698,19,3.6604478178384903,4,3.830223908919245,-0.4998953403086871
Lagos_Nigeria_6.5244_3.3792,19,3.7946163637642893,4,3.8973081818821447,-0.30236979210768367
London_UK_51.5074_-0.1278,19,3.7948781058840164,4,3.8974390529420084,-0.30198445025777604
Los Angeles_USA_34.0522_-118.2437,19,3.7508178536909313,4,3.8754089268454655,-0.36685081225238897
Mexico City_Mexico_19.4326_-99.1332,19,3.901551160287529,4,3.9507755801437643,-0.14493830055155493
Mumbai_India_19.076_72.8777,19,3.8040846507291803,4,3.90204232536459,-0.28843039550500443
New York_USA_40.7128_-74.006,19,3.793373665980293,4,3.8966868329901465,-0.304199316004945
Paris_France_48.8566_2.3522,19,3.819155811473378,4,3.909577905736689,-0.26624233892675553
Philadelphia_USA_39.9526_-75.1652,19,3.792571382673933,4,3.8962856913369666,-0.3053804531247353
Phoenix_USA_33.4484_-112.074,19,3.7554208846115973,4,3.8777104423057986,-0.36007414041982977
San Antonio_USA_29.4241_-98.4936,19,3.7276313612838443,4,3.863815680641922,-0.4009864182691752
San Diego_USA_32.7157_-117.1611,19,3.7108749787343336,4,3.8554374893671666,-0.42565549123347773
San Jose_USA_37.3382_-121.8863,19,3.695407065118467,4,3.8477035325592333,-0.44842765512194627
São Paulo_Brazil_-23.5505_-46.6333,19,3.8257301056090074,4,3.912865052804504,-0.25656353497002815
Tokyo_Japan_35.6762_139.6503,19,3.6995446956890192,4,3.8497723478445094,-0.4423361547552839
