b,levina_mle,lambda_max,n_points_fit,fit_ok,slope,stderr_slope,d_s
56,7.923251775769425,0.1,8,True,0.0995614646435326,0.023890039284758312,0.1991229292870652
56,7.923251775769425,0.2,16,True,0.13844858271749208,0.027622339008666216,0.27689716543498416
56,7.923251775769425,0.4,58,True,0.24340615788663136,0.03232618835582669,0.4868123157732627
57,7.935703574493408,0.1,8,True,0.10549407789361132,0.024808160576868788,0.21098815578722263
57,7.935703574493408,0.2,17,True,0.15069639327719903,0.029026651880204132,0.30139278655439805
57,7.935703574493408,0.4,59,True,0.25971974107566814,0.033441056040883786,0.5194394821513363
58,7.841810336235854,0.1,8,True,0.10136196200188975,0.02401201155630566,0.2027239240037795
58,7.841810336235854,0.2,16,True,0.14084913413121194,0.027869710854515242,0.2816982682624239
58,7.841810336235854,0.4,58,True,0.24729444080896168,0.03264845549713372,0.49458888161792336
59,7.934618450736899,0.1,8,True,0.09969105044405306,0.023675967192926552,0.19938210088810612
59,7.934618450736899,0.2,17,True,0.1425492775995888,0.02768131730631549,0.2850985551991776
59,7.934618450736899,0.4,59,True,0.24532618946729798,0.03213887938535602,0.49065237893459596
60,7.947828299080699,0.1,8,True,0.10783594059329678,0.025023584513787007,0.21567188118659356
60,7.947828299080699,0.2,16,True,0.14976953788852337,0.028835536908219002,0.29953907577704675
60,7.947828299080699,0.4,57,True,0.2616120742969117,0.03332471756211156,0.5232241485938234
61,7.938693274638643,0.1,8,True,0.1018866367331128,0.024137542149693415,0.2037732734662256
61,7.938693274638643,0.2,16,True,0.14152580881070817,0.02808989578696539,0.28305161762141634
61,7.938693274638643,0.4,57,True,0.24733309297764075,0.032627771532636574,0.4946661859552815
62,7.788593264355143,0.1,8,True,0.1090062109237797,0.025112149530814018,0.2180124218475594
62,7.788593264355143,0.2,17,True,0.15547658652471866,0.029423153004906933,0.3109531730494373
62,7.788593264355143,0.4,60,True,0.269653082220736,0.03400498831306612,0.539306164441472
63,8.022024970458514,0.1,8,True,0.10741040677269187,0.02489786280729428,0.21482081354538374
63,8.022024970458514,0.2,16,True,0.14913383893844254,0.02886825909093949,0.2982676778768851
63,8.022024970458514,0.4,56,True,0.25806597579084484,0.033540954831528115,0.5161319515816897
64,8.038525491408322,0.1,8,True,0.10799932212901059,0.025035022497244434,0.21599864425802118
64,8.038525491408322,0.2,16,True,0.1500655670025073,0.028848335017444274,0.3001311340050146
64,8.038525491408322,0.4,57,True,0.2620164272974609,0.033327831302360514,0.5240328545949218
65,7.940395057128586,0.1,8,True,0.10552092230108662,0.024678478320340203,0.21104184460217323
65,7.940395057128586,0.2,17,True,0.15076736466368026,0.02878009251807136,0.30153472932736053
65,7.940395057128586,0.4,56,True,0.2538601613235042,0.03312489057582908,0.5077203226470084
66,7.875755386311846,0.1,8,True,0.09654929157174506,0.023370671374358425,0.19309858314349013
66,7.875755386311846,0.2,17,True,0.13800770069270651,0.02751424799217903,0.27601540138541303
66,7.875755386311846,0.4,59,True,0.23827956786441692,0.03180060003918229,0.47655913572883385
67,7.914944577992495,0.1,8,True,0.10540158224611428,0.024638551735496526,0.21080316449222855
67,7.914944577992495,0.2,15,True,0.1421643010345523,0.028116577227726345,0.2843286020691046
67,7.914944577992495,0.4,59,True,0.25868408948547467,0.03336266768640507,0.5173681789709493
68,7.981433914725656,0.1,8,True,0.10488422216046485,0.024527309694325723,0.2097684443209297
68,7.981433914725656,0.2,16,True,0.14573405235433723,0.028373745929760667,0.29146810470867446
68,7.981433914725656,0.4,58,True,0.25542788802686683,0.03332780668698163,0.5108557760537337
69,7.899687007101974,0.1,8,True,0.10490319057731594,0.02456582535182043,0.20980638115463188
69,7.899687007101974,0.2,17,True,0.1497293302195938,0.028965341520323627,0.2994586604391876
69,7.899687007101974,0.4,57,True,0.2546422424495631,0.033283428193563704,0.5092844848991263
70,7.855492001982073,0.1,8,True,0.10738318641752634,0.024930087233226334,0.21476637283505268
70,7.855492001982073,0.2,17,True,0.15334952210910505,0.0290167411709347,0.3066990442182101
70,7.855492001982073,0.4,57,True,0.2601803653827974,0.03344514103455147,0.5203607307655947
71,8.025147157701117,0.1,8,True,0.10656947433321752,0.024866836138370346,0.21313894866643504
71,8.025147157701117,0.2,17,True,0.152130034586156,0.029155857874635992,0.304260069172312
71,8.025147157701117,0.4,57,True,0.25874247065047734,0.03335576385597531,0.5174849413009547
72,7.986541747162774,0.1,8,True,0.10863368931626997,0.025182185319213492,0.21726737863253995
72,7.986541747162774,0.2,17,True,0.1551409444424417,0.029414401111195962,0.3102818888848834
72,7.986541747162774,0.4,57,True,0.2637049933989035,0.033595569450247095,0.527409986797807
73,7.90805959976335,0.1,8,True,0.10715912446691525,0.024783011163059462,0.2143182489338305
73,7.90805959976335,0.2,16,True,0.14886736757002308,0.0285265532111523,0.29773473514004617
73,7.90805959976335,0.4,59,True,0.26270804165389006,0.03357662360037966,0.5254160833077801
74,7.886875795083735,0.1,8,True,0.10696573789322207,0.024749040651288086,0.21393147578644414
74,7.886875795083735,0.2,17,True,0.1527115357973577,0.02890407076809008,0.3054230715947154
74,7.886875795083735,0.4,59,True,0.2625241073957318,0.033480097012755984,0.5250482147914636
75,7.961259392712542,0.1,8,True,0.10467357733699041,0.024590624011599373,0.20934715467398082
75,7.961259392712542,0.2,17,True,0.14956356030791546,0.028709322060040843,0.2991271206158309
75,7.961259392712542,0.4,59,True,0.2572480607041929,0.03328297502602898,0.5144961214083859
76,7.995780979892477,0.1,8,True,0.10820784581261404,0.025104446912575403,0.21641569162522808
76,7.995780979892477,0.2,17,True,0.15454112190904204,0.029278110146185254,0.3090822438180841
76,7.995780979892477,0.4,58,True,0.26393258689424137,0.033831675412301795,0.5278651737884827
77,7.923475163896207,0.1,8,True,0.10457346402837585,0.024621049391849358,0.2091469280567517
77,7.923475163896207,0.2,16,True,0.14537638161307484,0.028350415209339213,0.2907527632261497
77,7.923475163896207,0.4,58,True,0.25530118417736697,0.03317274651284195,0.5106023683547339
78,7.888186443369595,0.1,8,True,0.1089517515367524,0.02533146324010355,0.2179035030735048
78,7.888186443369595,0.2,16,True,0.15143685661327932,0.029031234559062032,0.30287371322655865
78,7.888186443369595,0.4,57,True,0.264606556615832,0.03346858348584003,0.529213113231664
79,7.869538215499785,0.1,8,True,0.10568709675771011,0.02496516524412005,0.21137419351542022
79,7.869538215499785,0.2,16,True,0.1470964365812788,0.028482386680203205,0.2941928731625576
79,7.869538215499785,0.4,55,True,0.25258140694260317,0.03316770292161598,0.5051628138852063
80,8.010003136907176,0.1,8,True,0.10647137683285497,0.024794098593269004,0.21294275366570994
80,8.010003136907176,0.2,16,True,0.1479267215624497,0.02859782271024413,0.2958534431248994
80,8.010003136907176,0.4,59,True,0.2616894910409885,0.033402731599497304,0.523378982081977
81,7.9577686614767345,0.1,8,True,0.10326124909308874,0.024332739315450845,0.2065224981861775
81,7.9577686614767345,0.2,16,True,0.1434904461505408,0.02813588590599,0.2869808923010816
81,7.9577686614767345,0.4,57,True,0.2501498363054203,0.03287915432633377,0.5002996726108406
82,7.9658887086998895,0.1,8,True,0.10257026800165671,0.024117818439413127,0.20514053600331342
82,7.9658887086998895,0.2,16,True,0.14250021105237093,0.027958431797368465,0.28500042210474186
82,7.9658887086998895,0.4,57,True,0.2483684198221059,0.03278804106503556,0.4967368396442118
83,7.93562556524655,0.1,8,True,0.10518764472455999,0.024641309556101353,0.21037528944911998
83,7.93562556524655,0.2,17,True,0.15031413923289633,0.0288217558974619,0.30062827846579265
83,7.93562556524655,0.4,59,True,0.25909785364578186,0.03321678138255918,0.5181957072915637
84,7.87499039550304,0.1,8,True,0.10653676273291506,0.02485769541702831,0.2130735254658301
84,7.87499039550304,0.2,17,True,0.15222720006331575,0.029008916353701418,0.3044544001266315
84,7.87499039550304,0.4,59,True,0.2621370998867288,0.033378848135973374,0.5242741997734576
85,7.921467510007909,0.1,8,True,0.10806857479490023,0.02503698009287059,0.21613714958980046
85,7.921467510007909,0.2,16,True,0.15001690629418155,0.0290138608642975,0.3000338125883631
85,7.921467510007909,0.4,60,True,0.2670107467030116,0.034076667445996675,0.5340214934060232
86,7.98777711409444,0.1,8,True,0.10636871528565879,0.024857992765248343,0.21273743057131758
86,7.98777711409444,0.2,16,True,0.14784820247587305,0.02861931887019437,0.2956964049517461
86,7.98777711409444,0.4,56,True,0.25612081709644324,0.0332376954203815,0.5122416341928865
87,7.936243291079245,0.1,8,True,0.10965017752601594,0.02518170397727367,0.21930035505203188
87,7.936243291079245,0.2,17,True,0.1564355959093887,0.029340445169262874,0.3128711918187774
87,7.936243291079245,0.4,58,True,0.2671963053277529,0.033795752512864985,0.5343926106555058
88,7.8754989526009425,0.1,8,True,0.10443265350343992,0.024617721288388197,0.20886530700687983
88,7.8754989526009425,0.2,16,True,0.14515783721759115,0.02843218853701238,0.2903156744351823
88,7.8754989526009425,0.4,58,True,0.2554706496029592,0.033063223199027617,0.5109412992059184
89,7.941234957814359,0.1,8,True,0.10283439428477441,0.024273680088514153,0.20566878856954882
89,7.941234957814359,0.2,17,True,0.1468933252113541,0.02856971784399071,0.2937866504227082
89,7.941234957814359,0.4,60,True,0.2551976251791599,0.03300320860840747,0.5103952503583198
90,7.892937691023063,0.1,8,True,0.10671458956645592,0.024825536287726952,0.21342917913291184
90,7.892937691023063,0.2,16,True,0.14818550687152,0.028745036144008505,0.29637101374304
90,7.892937691023063,0.4,58,True,0.2603289503134206,0.03357528144394832,0.5206579006268413
91,7.807363772104534,0.1,8,True,0.10667266976223805,0.02482951095708336,0.2133453395244761
91,7.807363772104534,0.2,17,True,0.15231327407733278,0.029044254702105,0.30462654815466556
91,7.807363772104534,0.4,61,True,0.2656652645114085,0.03372278531200813,0.531330529022817
92,8.014652312508215,0.1,8,True,0.10571632311796272,0.024943928441079614,0.21143264623592545
92,8.014652312508215,0.2,17,True,0.15118494239850802,0.028943256042415096,0.30236988479701604
92,8.014652312508215,0.4,59,True,0.2607889236462503,0.033250148617084925,0.5215778472925006
93,7.950616297035759,0.1,8,True,0.10987782221151117,0.025167154143304577,0.21975564442302234
93,7.950616297035759,0.2,16,True,0.15241918408523808,0.02918254274707206,0.30483836817047616
93,7.950616297035759,0.4,57,True,0.266034777272482,0.033680908227497856,0.532069554544964
94,7.921807645474348,0.1,8,True,0.1079117305807511,0.024897137577770918,0.2158234611615022
94,7.921807645474348,0.2,16,True,0.14982506037609888,0.028748772730522273,0.29965012075219777
94,7.921807645474348,0.4,58,True,0.26246850131129,0.03380737325637518,0.52493700262258
95,7.943807893927961,0.1,8,True,0.10689120472064985,0.024726452209995316,0.2137824094412997
95,7.943807893927961,0.2,17,True,0.15259101450238305,0.02889772670080649,0.3051820290047661
95,7.943807893927961,0.4,58,True,0.2604688535727046,0.03342487943813414,0.5209377071454092
96,7.988478130007402,0.1,8,True,0.10664884198700623,0.02478532836781813,0.21329768397401247
96,7.988478130007402,0.2,17,True,0.15223556069913316,0.028987415831114145,0.3044711213982663
96,7.988478130007402,0.4,56,True,0.2563783468688439,0.03337280794937663,0.5127566937376878
97,7.938530740134319,0.1,8,True,0.10624453224146486,0.024636470551339107,0.21248906448292973
97,7.938530740134319,0.2,17,True,0.15164423850818257,0.028908587103496555,0.30328847701636513
97,7.938530740134319,0.4,59,True,0.2607239032126896,0.033499947959445255,0.5214478064253792
98,7.945635110766038,0.1,8,True,0.10621698483112682,0.024700514652712804,0.21243396966225364
98,7.945635110766038,0.2,17,True,0.15163487338384413,0.028859199099767592,0.30326974676768825
98,7.945635110766038,0.4,59,True,0.2609581227966134,0.03328716264582192,0.5219162455932268
99,7.907360628680482,0.1,8,True,0.10651403893237825,0.024906332862580573,0.2130280778647565
99,7.907360628680482,0.2,17,True,0.15228212805102967,0.028927980995417286,0.30456425610205934
99,7.907360628680482,0.4,58,True,0.2603344897441812,0.03333542303166883,0.5206689794883624
100,7.981593354575467,0.1,8,True,0.10787900407235733,0.024799103864883265,0.21575800814471466
100,7.981593354575467,0.2,16,True,0.14968942860092185,0.028779612017615686,0.2993788572018437
100,7.981593354575467,0.4,58,True,0.2628009454504353,0.03354156988007253,0.5256018909008706
101,7.897929221113626,0.1,8,True,0.10322993636123606,0.024298118176033372,0.20645987272247213
101,7.897929221113626,0.2,16,True,0.14339745919645583,0.02819931664109399,0.28679491839291166
101,7.897929221113626,0.4,56,True,0.24841410388499494,0.032875184146884465,0.49682820776998987
102,7.924481800577412,0.1,8,True,0.1074788897509622,0.024889060242299133,0.2149577795019244
102,7.924481800577412,0.2,16,True,0.1492627178630887,0.02878691222108625,0.2985254357261774
