lambda_max,exclude_k,n_points_total,n_points_used,d_s,T_log,note
0.1,0,199,9,1.4413669353916347,-20.701938611964195,
0.1,1,198,8,1.9766264159098952,-16.371146103872782,
0.1,2,197,7,2.820600860368511,-9.542536178938837,
0.1,3,196,6,4.082882004402589,0.6705995443084667,high_ds_outlier
0.2,0,199,19,1.9994790122804766,-16.186245402896272,
0.2,1,198,18,2.3048483202349357,-13.715497738960009,
0.2,2,197,17,2.7647571996466938,-9.994368077823239,
0.2,3,196,16,3.2367055902119253,-6.175826550848874,
