series,W,G,phase,k,n_windows,PR_point,PR_mean,PR_std,PR_10,PR_50,PR_90,n_bootstrap_effective
S0,60,1,rising,12,996,2.08350606837784,2.0902543353619927,0.05196806549550653,2.0243999275818823,2.0887177371914927,2.1600107871931824,1000
S0,60,1,rising,13,996,2.105989612802788,2.116109137095158,0.05435033938258497,2.0471599703229644,2.1163537715931575,2.1832602562908554,1000
S0,60,1,rising,14,996,2.127278102695687,2.13575944566938,0.056963593288875736,2.0624973920804184,2.1337561849769404,2.2103489221223827,1000
S0,60,1,rising,15,996,2.147515863911519,2.1604846448606696,0.05776046633356348,2.0878511080261104,2.158819637836531,2.2351157165868996,1000
S0,60,1,rising,16,996,2.166298258043489,2.179258152415079,0.059264300370193645,2.1052733494605875,2.17867024675722,2.2550936915985926,1000
S0,60,1,rising,17,996,2.1842696783265567,2.197607634826166,0.0580650768800033,2.123722099677875,2.194834411021274,2.271576592991023,1000
S0,60,1,rising,18,996,2.2020282084583656,2.213839147871261,0.0607237149500609,2.1428187742110096,2.20942825920548,2.290633047610032,1000
S0,60,1,rising,19,996,2.2193979719634176,2.2318005883618017,0.05965426682854946,2.1565599590446545,2.2303377488355105,2.307530224740422,1000
S0,60,1,rising,20,996,2.23620866908745,2.2479498997920926,0.060114869175903494,2.1730586194679646,2.24523859927759,2.326183680346755,1000
S0,60,1,max,5,300,1.6158140190071355,1.6334411332448364,0.056341102407408576,1.5608985937788176,1.6330793954161367,1.705912198519361,1000
S0,60,1,max,6,300,1.6675680191565199,1.6884661677600952,0.05989824338578757,1.613340156832595,1.686372426308143,1.7703200907581962,1000
S0,60,1,max,7,300,1.705341367615486,1.7341210232634814,0.06514661904970806,1.6513031021017561,1.7306168567710727,1.8232354212861717,1000
S0,60,1,max,8,300,1.743151749898353,1.7747014168328072,0.06903326330600502,1.6890819789906808,1.773036769799638,1.865929778179553,1000
S0,60,1,max,9,300,1.7792911573932215,1.8166649961382264,0.07205117578730229,1.7272321435825413,1.8137682640477673,1.9096312356377563,1000
S0,60,1,max,10,300,1.8141652419291967,1.8510788290099434,0.07268734280665833,1.7572213493685356,1.850791680788085,1.9419974641230582,1000
S0,60,1,max,11,300,1.8477481487745446,1.8901336472184374,0.0771325348772158,1.7918911711086094,1.88659777624928,1.9885035578411872,1000
S0,60,1,max,12,300,1.8804250469193335,1.9185452755137726,0.07781323006359972,1.8212385703518583,1.916187753988925,2.021011521594463,1000
S0,60,1,max,13,300,1.9089457739246787,1.9513627446809265,0.08222778608429081,1.8496446874995516,1.9501464049847481,2.059127391057735,1000
S0,60,1,max,14,300,1.9375155625803882,1.984804876643097,0.0872029684157475,1.8731977502438397,1.9830638826637308,2.1003514357461284,1000
S0,60,1,max,15,300,1.9645827680154149,2.010030797269178,0.08448838864505508,1.90514427914327,2.0078225975304393,2.1189022607255388,1000
S0,60,1,max,16,300,1.988954851153435,2.0338886094307282,0.08703291923129823,1.9227956215621067,2.0323815256961155,2.1475335240836553,1000
S0,60,1,max,17,300,2.011105361541737,2.05733712763754,0.09157279957165437,1.9407739262098138,2.0530346830897397,2.1764953228424075,1000
S0,60,1,max,18,300,2.0326340441562856,2.081766241285244,0.09596903636663807,1.9568727679734061,2.079236962455016,2.206987697029281,1000
S0,60,1,max,19,300,2.0539558101576474,2.103050842880808,0.09388982029936574,1.985593994928978,2.10230540978909,2.2218146510421155,1000
S0,60,1,max,20,300,2.0743861002771187,2.1304630053439477,0.09451555229790033,2.012659764164299,2.125755110051048,2.2523855019636287,1000
S0,60,1,unknown,5,80,1.1852350457778442,1.2147798477186298,0.027297281474086707,1.1800790402440802,1.2134451642629376,1.2508113432935841,1000
S0,60,1,unknown,6,80,1.2038972284735443,1.2372803456021648,0.02986448245323076,1.200354204619137,1.2354349061435226,1.2757199553988443,1000
S0,60,1,unknown,7,80,1.2223145101420978,1.2583271578656345,0.030419727692634752,1.2210677090219668,1.256194296011318,1.29844068254858,1000
S0,60,1,unknown,8,80,1.2378285087960008,1.2775693035854472,0.03290317776153776,1.2386747959724405,1.2751694557759619,1.322017848611439,1000
S0,60,1,unknown,9,80,1.2528745030762136,1.293530711178545,0.03208111049232825,1.2545878545769682,1.291778581760958,1.3342759513886135,1000
S0,60,1,unknown,10,80,1.2672338465958226,1.313552900957663,0.03526529781134254,1.2703097653104283,1.3103966078424965,1.360721539910172,1000
S0,60,1,unknown,11,80,1.2814838322564626,1.3278353116189168,0.036427896975744355,1.2832586005303142,1.3246873322736115,1.3757050989276687,1000
S0,60,1,unknown,12,80,1.2949638393299667,1.3431796213307585,0.03690520478872911,1.3001822023149487,1.3399558199807797,1.3922071275223111,1000
S0,60,1,unknown,13,80,1.3082732561652672,1.3538615299297998,0.037276405331926755,1.308592707586914,1.3507266000990619,1.4025831481433946,1000
S0,60,1,unknown,14,80,1.3205716357131465,1.3643104154901302,0.0370495757600486,1.3179655370915924,1.3626219726668096,1.4106382902492964,1000
S0,60,1,unknown,15,80,1.3320004382197075,1.3782933093001053,0.03878764070858206,1.3313020957670278,1.3767727886677696,1.4285426930276668,1000
S0,60,1,unknown,16,80,1.3430239099872843,1.3886738944828545,0.03871445275188141,1.3407847889733033,1.3864771829277474,1.4375030939380522,1000
S0,60,1,unknown,17,80,1.354051269188776,1.3998286255498742,0.04253670035961214,1.350343932184134,1.3956909817544045,1.4580796665652729,1000
S0,60,1,unknown,18,80,1.3649588974662485,1.409810812280687,0.04130561306126731,1.359999306311654,1.4048141085605506,1.464731875525502,1000
S0,60,1,unknown,19,80,1.3741804808400504,1.4182369787066555,0.040925656620557437,1.3691580767988818,1.4160887718263115,1.471976885399897,1000
S0,60,1,unknown,20,80,1.3830154438528792,1.428544565181389,0.04276801664354909,1.3777918570299406,1.424955284996502,1.483993135271733,1000
S0,60,6,declining,5,259,1.3898781916327034,1.4021160674183917,0.03841928262899406,1.3534163433868736,1.4005320670124404,1.4525343249151663,1000
S0,60,6,declining,6,259,1.4205482638892324,1.4366391301249242,0.039929785119425486,1.3871470055585222,1.4334885665957908,1.4902414549792442,1000
S0,60,6,declining,7,259,1.4485624743235965,1.468903922027696,0.04130864649656012,1.4159760882906443,1.46652251446341,1.5243747274303643,1000
S0,60,6,declining,8,259,1.475298145518713,1.4984748826193395,0.043932031157096464,1.444836303246814,1.4967547042124592,1.5570507316961233,1000
S0,60,6,declining,9,259,1.498715669331939,1.5192269760761028,0.04535009552291937,1.46048735595446,1.5183933731551384,1.5769090097954133,1000
S0,60,6,declining,10,259,1.5208047518772256,1.546551075915078,0.04526786261436245,1.48996394582725,1.5436624253198992,1.6049745485237146,1000
S0,60,6,declining,11,259,1.541491509139614,1.5677460453712369,0.04857433628386512,1.5024306681455784,1.5679308707273678,1.6304514307833828,1000
S0,60,6,declining,12,259,1.5611175516848885,1.5897116133296674,0.04897857477760012,1.5267630691440695,1.586625701910072,1.6545561352356521,1000
S0,60,6,declining,13,259,1.5789136781332214,1.6068692028641371,0.049532667360026324,1.5473212127459561,1.6045667668171961,1.6693037667216621,1000
S0,60,6,declining,14,259,1.5958913294037322,1.624056679502746,0.05233299625262036,1.560694465920008,1.62104680981576,1.6944061712937593,1000
S0,60,6,declining,15,259,1.6122999637656719,1.6376977422198675,0.05179743866966547,1.5713683695055023,1.6362595177664212,1.7063628087074425,1000
S0,60,6,declining,16,259,1.6276642367140313,1.656972264118157,0.05321433589678061,1.5891779282266825,1.6542913854506214,1.725347916614622,1000
S0,60,6,declining,17,259,1.6422023130377117,1.6691409726964312,0.05261145341540813,1.6026380285699229,1.6673857110273171,1.7384530694440261,1000
S0,60,6,declining,18,259,1.6560647673755402,1.6806313378995792,0.054499026193572525,1.6131901263012312,1.6789364654500634,1.749217911754061,1000
S0,60,6,declining,19,259,1.6691907342686543,1.6944077745723891,0.05601697822266366,1.6250536724926163,1.6938919553871445,1.7689613711487866,1000
S0,60,6,declining,20,259,1.68067239648807,1.708671323144596,0.05718560819032653,1.6369998498423086,1.7070521596340784,1.7835225095173066,1000
S0,60,6,min,5,48,1.74799929293051,1.8403424306974452,0.1937164809477574,1.6141202599941975,1.8084188803249757,2.089619008442105,1000
S0,60,6,min,6,48,1.8229467909835408,1.9222203507656088,0.20510736331426319,1.6828555463794972,1.8930831030936321,2.184708001257971,1000
S0,60,6,min,7,48,1.889370493717932,2.004093987094293,0.21507825990825882,1.7448276273078915,1.9804376054595694,2.2870171750825916,1000
S0,60,6,min,8,48,1.9526563075388574,2.073206353612512,0.24901539315644847,1.781224111206019,2.044473437027476,2.406545071974468,1000
S0,60,6,min,9,48,2.0073543929909725,2.141267149769866,0.2508277561008917,1.850448088616238,2.1099540832732804,2.491360612157174,1000
S0,60,6,min,10,48,2.054854011872833,2.169624355699576,0.25671389725357446,1.8654508423020906,2.150741615291752,2.4873744093573804,1000
S0,60,6,min,11,48,2.0994686355602883,2.223539028434543,0.2714726307610018,1.8972633851049214,2.198709954948009,2.5878226614962734,1000
S0,60,6,min,12,48,2.1388156701312027,2.2644297275093286,0.2786968897469022,1.9385025019268745,2.2297034292082984,2.6283958990018927,1000
S0,60,6,min,13,48,2.175783608304974,2.292196367797076,0.28419473512419585,1.9580410286155479,2.2623808921392907,2.662820782526018,1000
S0,60,6,min,14,48,2.2108337811757277,2.333631415587019,0.30100536114025495,1.9764989636711419,2.3076406717234352,2.7132772404481917,1000
S0,60,6,min,15,48,2.2403616193633034,2.3603092545474382,0.3033512925123393,2.0138275167894584,2.322971598795759,2.75364119764125,1000
S0,60,6,min,16,48,2.267861167112593,2.371712786623052,0.31816986811692993,2.0006649564660606,2.335545529381136,2.8002098423072526,1000
S0,60,6,min,17,48,2.2949003315505108,2.3901419143357048,0.31765061514977033,2.0233478604284736,2.349535519458392,2.784944170671907,1000
S0,60,6,min,18,48,2.3194730950950984,2.4176563841834735,0.3216825248638939,2.0625747131317222,2.37265089495775,2.8337146660476957,1000
S0,60,6,min,19,48,2.3431633336471673,2.4164168619954354,0.33265148815632944,2.042954131719433,2.3654453834193747,2.8337870507724303,1000
S0,60,6,min,20,48,2.3645327783501138,2.4460052684145293,0.31750693734633,2.082126513103996,2.418935651380793,2.8789892706696407,1000
S0,60,6,rising,5,165,1.8929200589766237,1.9135795455657691,0.10573505723992542,1.7811724268707503,1.906566003170256,2.0576256983310826,1000
S0,60,6,rising,6,165,1.945772911187116,1.9660764859477302,0.11288317902149049,1.8277963098129726,1.9581076493666996,2.1107649444243903,1000
S0,60,6,rising,7,165,1.989977450614991,2.0243224989882607,0.12122256044666396,1.871342710730013,2.0197245758693265,2.1802391717708938,1000
S0,60,6,rising,8,165,2.0297726085535284,2.0651305052232094,0.12447494306659702,1.9087716794057181,2.0610117189282064,2.231173845111551,1000
S0,60,6,rising,9,165,2.066133960008279,2.100318381928936,0.12456693606343919,1.940218689582441,2.097805018331523,2.2678653988837802,1000
S0,60,6,rising,10,165,2.1007247120941654,2.1360474704698538,0.13473080734154289,1.9635857401927224,2.1274735134728626,2.31256364092979,1000
S0,60,6,rising,11,165,2.1320783059765875,2.1682697325658475,0.13552241410444105,1.9974684862718866,2.1646119167789646,2.3461693790835887,1000
S0,60,6,rising,12,165,2.160132171565127,2.186926789061442,0.13670258721852166,2.0122585638951076,2.1824568118820906,2.3699950868363864,1000
S0,60,6,rising,13,165,2.185140204205553,2.224759825821001,0.14933694107018622,2.040070031975793,2.2227429866168977,2.414636506257672,1000
S0,60,6,rising,14,165,2.2078381681474473,2.239840411379585,0.1491886172457974,2.052696978881706,2.2333311017799247,2.4313900716939147,1000
S0,60,6,rising,15,165,2.229526640278371,2.267088485924893,0.15138231397388144,2.0789533931746735,2.2598255422789357,2.463110473299178,1000
S0,60,6,rising,16,165,2.2510286637284436,2.2864736185536456,0.15130189895351048,2.100336639995168,2.2831300634519325,2.4914864664647256,1000
S0,60,6,rising,17,165,2.2706058861914347,2.3090860576783654,0.15254793060839678,2.1203712386943834,2.2963750905380182,2.515575281396224,1000
S0,60,6,rising,18,165,2.2880060614175615,2.3284042767841586,0.16194352000046142,2.125213196734257,2.3226279853420686,2.545212786124143,1000
S0,60,6,rising,19,165,2.305091287849541,2.3436950081865717,0.16051781469935647,2.1370114124468746,2.333380421223303,2.5530485317338685,1000
S0,60,6,rising,20,165,2.3208543508426582,2.3493037530535106,0.16958045904159463,2.1341619947054964,2.3372648356423005,2.572856235061101,1000
S0,60,6,max,5,50,1.7295789517106444,1.809659364583318,0.15994033142754446,1.6096275457402167,1.8007354757782967,2.0236950924873507,1000
S0,60,6,max,6,50,1.7963677255789476,1.8942223089808277,0.17669598150527713,1.6774137790178656,1.8839670153765233,2.131143612132698,1000
S0,60,6,max,7,50,1.8615155676209891,1.9631527446916737,0.19103788942159694,1.7312897129772695,1.948648905459108,2.216658322598154,1000
S0,60,6,max,8,50,1.9214625368387401,2.0338142877877257,0.2005364828221288,1.7923298463425368,2.0178671758792546,2.3047884467434736,1000
S0,60,6,max,9,50,1.9740900294001231,2.0762457056420276,0.21350571986360356,1.8100013909138815,2.0673115687278467,2.354050397876911,1000
S0,60,6,max,10,50,2.020971201288523,2.1409080880033944,0.22509520052056878,1.8771194568566008,2.115466605490507,2.42044231360991,1000
S0,60,6,max,11,50,2.0654573025436718,2.170763228150948,0.22835895090617217,1.9042607518998451,2.139598019186728,2.4823751274684547,1000
S0,60,6,max,12,50,2.1056371136846415,2.210771513094802,0.24400453115348936,1.9276979918361759,2.191851388108929,2.553885435368757,1000
S0,60,6,max,13,50,2.143377640989254,2.2470802829511705,0.24957257010026976,1.9428270579279887,2.230395411439228,2.5688197423409087,1000
S0,60,6,max,14,50,2.1774248463808905,2.2896086266635796,0.2546695852038458,1.9858100336621007,2.261716923085591,2.617900246580356,1000
S0,60,6,max,15,50,2.2074573181295998,2.314655707914032,0.26602992133501274,1.9844514500283164,2.291264209500913,2.683061411410257,1000
S0,60,6,max,16,50,2.2359058186835146,2.347246976614934,0.2607758289469401,2.036765459220926,2.3237294493725313,2.69409175340179,1000
S0,60,6,max,17,50,2.262717025707107,2.344136781820626,0.2602705735254703,2.0362963474193085,2.312219011256178,2.6951097789914265,1000
S0,60,6,max,18,50,2.287901056854491,2.3841749168511908,0.271566953193083,2.0573263448406296,2.3528096442115936,2.7511698826758058,1000
S0,60,6,max,19,50,2.3104549191381794,2.3924367229231294,0.2747079438808487,2.051932563839932,2.3673230501569584,2.7499950297508517,1000
S0,60,6,max,20,50,2.3320545554052674,2.4094770100383394,0.28163539049341235,2.073630162734855,2.3789940932759466,2.7978301662626084,1000
S0,60,6,unknown,5,13,1.303551465096382,1.337655719322728,0.09448374580111164,1.235988575101614,1.320856422308248,1.460688259556391,1000
S0,60,6,unknown,6,13,1.3357360448521516,1.3751311227520877,0.11093823118607146,1.2557932428967518,1.3592691078094523,1.508414640557991,1000
S0,60,6,unknown,7,13,1.3631593472168864,1.3893518675857395,0.10947525003464272,1.2677230862248894,1.372909107950595,1.5283369172149994,1000
S0,60,6,unknown,8,13,1.3840724631450187,1.390445621845602,0.10163762762457909,1.2737106998490813,1.3776138510519456,1.5144399751911934,1000
S0,60,6,unknown,9,13,1.4043099603458666,1.3967142018981444,0.11382492124184845,1.2700392570840773,1.3803961225583823,1.5392260717721693,1000
S0,60,6,unknown,10,13,1.4182669050241898,1.3958744633949092,0.11004371578225713,1.271685706627857,1.3826930039282956,1.5345175590769673,1000
S0,60,6,unknown,11,13,1.4307031438172169,1.3984191290072858,0.11335502102932486,1.271873569399642,1.3863468861396786,1.5346084120960244,1000
S0,60,6,unknown,12,13,1.440609241955623,1.4025982675482689,0.11332451170493885,1.2751529831062436,1.3863878656446462,1.5496733652402839,1000
S0,60,6,unknown,13,13,1.4406092419556236,1.3968883283665499,0.11268218404991069,1.2739383516990173,1.3805828957727657,1.5392893476019218,1000
S0,60,6,unknown,14,13,1.4406092419556238,1.4024688380406778,0.10948523529306727,1.2761130302985118,1.3893094001971977,1.5457375545670158,1000
S0,60,6,unknown,15,13,1.4406092419556245,1.3952813998457705,0.11449400679326073,1.2727616187098252,1.378716361875811,1.5457234681013792,1000
S0,60,6,unknown,16,13,1.440609241955624,1.397002519252325,0.1124538533706772,1.2754233754262043,1.3814733013116927,1.536658331997878,1000
S0,60,6,unknown,17,13,1.440609241955624,1.3948037842532843,0.1040487578359314,1.2741093143149531,1.3816816325631451,1.532700606685566,1000
S0,60,6,unknown,18,13,1.440609241955624,1.3982390179766317,0.11101145351481166,1.2695432628114476,1.3841260836236027,1.541004762298609,1000
S0,60,6,unknown,19,13,1.440609241955624,1.3995851908317667,0.11383228518457529,1.2695702199718537,1.3840153277340825,1.532151230589119,1000
S0,60,6,unknown,20,13,1.440609241955624,1.3956282884326738,0.10870486971988469,1.27051689020526,1.3834151248984712,1.531991579045574,1000
S0,60,12,declining,5,129,1.3688550365424519,1.399451305255382,0.04485799983704026,1.3452836799144494,1.3964239325260386,1.4569923622371423,1000
S0,60,12,declining,6,129,1.4038639601109233,1.4378855457756738,0.0471679110576433,1.3821974201665952,1.4346509879800586,1.5051903984524047,1000
S0,60,12,declining,7,129,1.436897901891278,1.471674826737465,0.05099465434788496,1.4102130495839849,1.4699730839237883,1.5398360123882668,1000
S0,60,12,declining,8,129,1.4669288631635995,1.5023766915249501,0.05440251058328332,1.4373697817764834,1.4980134074193612,1.5749056639557641,1000
S0,60,12,declining,9,129,1.4946829442560061,1.5316655316747878,0.05724281280317571,1.461849295360112,1.5279349120631083,1.6082980798455109,1000
S0,60,12,declining,10,129,1.518699170274589,1.555528424317261,0.06009649997176463,1.4811974580718097,1.5531101268818697,1.6289772754932583,1000
S0,60,12,declining,11,129,1.541130118076609,1.5823957929781245,0.06097557754022953,1.5112746928418292,1.5781099995743166,1.6627385104290775,1000
S0,60,12,declining,12,129,1.5610929873915558,1.6026063993982873,0.06680030758529258,1.5202474742645278,1.6008246329812907,1.6899416568697616,1000
S0,60,12,declining,13,129,1.5797415955774659,1.6190280362698037,0.06734492081732438,1.5368715469332694,1.6140704125118612,1.703073467868134,1000
S0,60,12,declining,14,129,1.5970365535214246,1.636875068759726,0.06759313889310739,1.5509277062728635,1.632222417385822,1.722285416098725,1000
S0,60,12,declining,15,129,1.6135509951377698,1.656037546320823,0.07063768836579673,1.5709836212600932,1.649087544925485,1.7476566428432276,1000
S0,60,12,declining,16,129,1.6286423434203943,1.6699337698706282,0.07124590449278156,1.580572829605973,1.6646516946317664,1.7609969878972778,1000
S0,60,12,declining,17,129,1.6432007766480998,1.6846586379498016,0.07435242033769902,1.5951150927646063,1.6772774040547218,1.785284857930082,1000
S0,60,12,declining,18,129,1.656633322917013,1.6970320908020833,0.0751466997979735,1.608395299280525,1.692776030986722,1.7924098746727637,1000
S0,60,12,declining,19,129,1.6698521592385476,1.7032312741667521,0.07520757114712501,1.6112195058145595,1.7004103498948262,1.8010726517320803,1000
S0,60,12,declining,20,129,1.6818043284093993,1.717446862892836,0.07885655805575485,1.6256509164722113,1.7085030831983126,1.8272082138158612,1000
S0,60,12,min,5,24,1.6086009369914567,1.7251330180095739,0.21483987728161388,1.491794916401492,1.684925971346098,1.9895660832089799,1000
S0,60,12,min,6,24,1.6818352026424785,1.8066336702081156,0.22545049228413375,1.5424329748955232,1.779200681920929,2.0901007577982633,1000
S0,60,12,min,7,24,1.7498196565273754,1.852938783341127,0.23801502760447468,1.5926182952283048,1.804839401760912,2.1674916793097307,1000
S0,60,12,min,8,24,1.8052456066842901,1.927305199295918,0.26459271491073294,1.6310663442427413,1.8847859517490329,2.267621935240307,1000
S0,60,12,min,9,24,1.850533039012599,1.9546953164060892,0.2734231580008563,1.6546690854793125,1.9084632555256955,2.2807064993268913,1000
S0,60,12,min,10,24,1.8923404869996527,1.985274974290518,0.2809350830430841,1.6690551269116651,1.940750447993354,2.3463980278440664,1000
S0,60,12,min,11,24,1.9282531604424848,2.0146730165043043,0.291698398450688,1.6955838919269202,1.9622745381319235,2.4046391470878676,1000
S0,60,12,min,12,24,1.956947306585463,2.058738802887688,0.31660718505595076,1.702404991277518,2.0122374052933214,2.4816630455234505,1000
S0,60,12,min,13,24,1.9835190735916808,2.040740038067483,0.2936796090996861,1.70780409534047,2.008019236899128,2.4055878351057975,1000
S0,60,12,min,14,24,2.0088175550648297,2.0798020163372297,0.30639145767592557,1.7445819133939715,2.021284331308161,2.4919565156305206,1000
S0,60,12,min,15,24,2.0305978717996043,2.0705330794407093,0.2995586739455934,1.7234828700189848,2.025298836942157,2.474698036792444,1000
S0,60,12,min,16,24,2.0501952034412465,2.0644025355018782,0.3135898973581373,1.7237088323468508,2.007420661300931,2.466359260310623,1000
S0,60,12,min,17,24,2.067669526770358,2.070825153781047,0.3080090583901143,1.7173132354436964,2.0324408780901244,2.470718637565481,1000
S0,60,12,min,18,24,2.080601002951155,2.064157822902755,0.31036128421373155,1.7193168731106085,2.023390317238034,2.4413410191686307,1000
S0,60,12,min,19,24,2.0911245451696914,2.075543448846318,0.2890670803615504,1.7544130810778342,2.0306748775099193,2.475730370860603,1000
S0,60,12,min,20,24,2.099665287031524,2.0609807469300683,0.2970649458333641,1.7224097810640395,2.0169090837331325,2.471214989070032,1000
S0,60,12,rising,5,84,1.9135043600040171,1.9503081978525902,0.1505145893173662,1.767661708300805,1.9427143258204862,2.1598408173059913,1000
S0,60,12,rising,6,84,1.971118290066862,1.989833190271489,0.16296135664690037,1.7920535943845834,1.9769804724166664,2.205739667051205,1000
S0,60,12,rising,7,84,2.0198958267612386,2.057448049673235,0.17294070025311728,1.837633118287132,2.0525582368610795,2.2844240624803795,1000
S0,60,12,rising,8,84,2.0578473661672048,2.111142496384654,0.17990564533285333,1.8804041633968442,2.1002960810588194,2.3394792603175723,1000
S0,60,12,rising,9,84,2.09336253986042,2.134093135597417,0.18491441276027565,1.9065468739492883,2.121130018282631,2.3746618980186187,1000
S0,60,12,rising,10,84,2.1255800004675875,2.175558193332466,0.19235181116980976,1.9357527998388897,2.1603333413459733,2.428098045499345,1000
S0,60,12,rising,11,84,2.156074495518981,2.2001492106851153,0.18584994618692954,1.970987804097148,2.1908868461521216,2.4430187385721376,1000
