W,G,k,n_min,n_max,mean_min,mean_max,median_min,median_max,std_min,std_max,diff_means,cliffs_delta,p_perm,q_fdr,significant_fdr_0_05
60,1,5,24,25,29.18231193823372,22.6319590332703,24.26266457978256,17.906126239351675,23.976568155430865,16.14910169117098,6.550352904963422,0.17333333333333334,0.2723638180909545,0.7427229781335748,False
60,1,6,24,25,23.49165250055671,20.13433869918932,16.274435253394042,18.60856649028647,25.6402875633485,12.716598552413453,3.3573138013673898,0.0033333333333333335,0.6756621689155422,0.9355322338830584,False
60,1,7,24,25,23.155705584107718,18.54054350973217,15.91731739320451,18.4336151808029,24.32870625346354,8.705971434679046,4.615162074375547,-0.013333333333333334,0.47176411794102946,0.8817869546239537,False
60,1,8,24,25,17.977845281431502,17.468633240493876,14.183765130259776,18.25515412291989,10.775609370530685,6.700800678987277,0.5092120409376264,-0.12666666666666668,0.8530734632683659,0.9509138560490747,False
60,1,9,24,25,16.887470704660718,16.173013137904128,15.403738725989442,16.05408017654896,7.249554703030642,6.469145357829344,0.7144575667565896,0.02666666666666667,0.7206396801599201,0.9509138560490747,False
60,1,10,24,25,15.469605145835631,16.618541418630603,14.31800192039395,16.073143706042686,5.586211982279103,7.162549159974588,-1.1489362727949715,-0.05,0.55872063968016,0.9281889667411193,False
60,1,11,24,25,14.58629620909638,16.10773927704829,13.374973281525026,16.70079897570712,5.280880168948519,5.809578033604569,-1.5214430679519086,-0.20666666666666667,0.328335832083958,0.7699007639037624,False
60,1,12,24,25,14.47090420461385,16.011220465647185,13.168069761418352,15.823677802413616,4.907799402355044,5.981849883313735,-1.5403162610333343,-0.17333333333333334,0.33683158420789605,0.7699007639037624,False
60,1,13,24,25,14.262011785022823,16.029806538967055,13.552683281264915,15.651973782985412,4.392309444461168,5.7352713724950295,-1.7677947539442318,-0.20666666666666667,0.22938530734632684,0.7427229781335748,False
60,1,14,24,25,14.046189674682024,15.966415545527905,13.047503237530298,15.423085267573947,4.201336172532057,5.582827249786007,-1.920225870845881,-0.20333333333333334,0.18340829585207397,0.7157502329916123,False
60,1,15,24,25,13.930736022357506,15.602780077245612,12.698725136400853,14.431570865312496,4.281870468039835,5.380234486467998,-1.6720440548881061,-0.20333333333333334,0.22288855572213892,0.7427229781335748,False
60,1,16,24,25,13.922019705412708,15.782867424685838,12.787594261555775,15.36423116073119,4.597361794302602,5.621744093404153,-1.8608477192731296,-0.19,0.20089955022488756,0.7427229781335748,False
60,1,17,24,25,13.896213283989027,15.660842306712636,12.687730232951635,13.329268882679225,4.708600765410401,5.870493641576269,-1.764629022723609,-0.16666666666666666,0.26486756621689156,0.7427229781335748,False
60,1,18,24,25,13.890923514507108,15.22677514703109,13.188241096088934,13.389058325987463,4.273008752125042,5.554477523477634,-1.3358516325239815,-0.10333333333333333,0.36081959020489757,0.7725548990210778,False
