W,G,cycle_phase,k,d_mean,d_std,n_windows
60,12,max,20,7.572484735180076,2.547624923288559,25
60,12,min,5,10.51677471000963,4.35420901003706,24
60,12,min,6,9.830164586974462,3.025124231180337,24
60,12,min,7,9.08001726719408,2.716552646127674,24
60,12,min,8,7.949037844003997,1.7140059877010099,24
60,12,min,9,7.405034938251557,1.7375287390331167,24
60,12,min,10,7.4817520227860514,1.920719166473904,24
60,12,min,11,7.283427243269454,2.007975255100841,24
60,12,min,12,6.666410454263848,1.6485898995063655,24
60,12,min,13,6.3439854157244655,1.6294592027946868,24
60,12,min,14,6.141646549006872,1.538574237039029,24
60,12,min,15,5.939894664263947,1.6186236827343825,24
60,12,min,16,5.772862587007338,1.497239879065298,24
60,12,min,17,5.719224312728277,1.6240447703558627,24
60,12,min,18,5.280694818339181,1.4059582649582651,24
60,12,min,19,5.122349603574787,1.388485181529577,24
60,12,min,20,5.112401609346169,1.3842220548216653,24
60,12,rising,5,13.862376104552276,10.986322706007112,84
60,12,rising,6,11.497453456393911,7.353212993568926,84
60,12,rising,7,10.093448902998626,4.803312853013603,84
60,12,rising,8,9.209268372186374,3.667767310328289,84
60,12,rising,9,8.812688857965137,3.231573536193224,84
60,12,rising,10,8.239398382311874,2.970302804193614,84
60,12,rising,11,7.8689968391282274,2.7808218805092153,84
60,12,rising,12,7.468716705741733,2.5482812922250924,84
60,12,rising,13,7.112506009575371,2.2352994765016567,84
60,12,rising,14,6.875330540736661,2.052029217962577,84
60,12,rising,15,6.695503495430726,2.054394313829775,84
60,12,rising,16,6.520707578075282,2.0157984316172466,84
60,12,rising,17,6.3853734213986035,1.9168135637748978,84
60,12,rising,18,6.231494330599092,1.7884379762009037,84
60,12,rising,19,6.117534409259858,1.7717457793241806,84
60,12,rising,20,5.931116641960661,1.6849881361323162,84
60,12,unknown,5,24.085355732182734,31.444623354714498,6
60,12,unknown,6,13.966122439827766,8.452108262625828,6
60,12,unknown,7,15.010273474218394,9.994361016154333,6
60,12,unknown,8,14.68790553175318,8.528116251703311,6
60,12,unknown,9,13.227548460535232,7.621236033925683,6
60,12,unknown,10,13.339316567297905,7.717940913849401,6
60,12,unknown,11,13.668607009051769,8.891216749353411,6
60,12,unknown,12,12.435453667975656,5.822903113417563,6
60,12,unknown,13,10.996679948476341,4.467878562315126,6
60,12,unknown,14,10.54115727062589,4.332729669765618,6
60,12,unknown,15,10.12111750291724,3.784164017148279,6
60,12,unknown,16,9.595133706041134,2.7706019710344836,6
60,12,unknown,17,9.382507804113486,2.973941720940492,6
60,12,unknown,18,8.66210339457546,2.5027949701402523,6
60,12,unknown,19,7.963232264651306,2.0241278983083726,6
60,12,unknown,20,7.620148037548353,1.8172046905445969,6
132,1,declining,5,14.819595980590668,14.671475614940537,1470
132,1,declining,6,15.133983678719005,13.309462987515122,1470
132,1,declining,7,14.70795179324614,12.214230722128773,1470
132,1,declining,8,14.58036887419764,11.230412380908543,1470
132,1,declining,9,14.369551801388827,10.019389659353081,1470
132,1,declining,10,14.225676260187285,9.2333950061533,1470
132,1,declining,11,13.868636786927453,8.297862824201596,1470
132,1,declining,12,13.637066985621432,7.009234293063989,1470
132,1,declining,13,13.580713493684785,6.385857736316107,1470
132,1,declining,14,13.582758114821946,6.151892746561873,1470
132,1,declining,15,13.6873914098592,6.106879589638114,1470
132,1,declining,16,13.717380033023318,5.905114819245748,1470
132,1,declining,17,13.67204184526465,5.742749818940977,1470
132,1,declining,18,13.66339849171255,5.540582451650352,1470
132,1,declining,19,13.46204420878245,5.246819852121144,1470
132,1,declining,20,13.316823930079554,5.052300691400495,1470
132,1,max,5,14.742439178073358,10.83025755436265,300
132,1,max,6,16.1461864466532,11.145681643108464,300
132,1,max,7,16.143545513305888,12.13993122854665,300
132,1,max,8,16.674319692571302,12.729552056268137,300
132,1,max,9,16.002144489214878,10.872810929007871,300
132,1,max,10,16.134047089082358,10.412098854295524,300
132,1,max,11,14.753391237019787,6.283298731368256,300
132,1,max,12,14.79833958899684,6.391583082419984,300
132,1,max,13,14.74073685269613,6.283572316325512,300
132,1,max,14,14.705817172710725,6.212460136216509,300
132,1,max,15,14.834195892300086,6.319772959711208,300
132,1,max,16,14.756595110093883,6.076432396483028,300
132,1,max,17,14.76236279760113,6.013592846633166,300
132,1,max,18,14.93373347819543,6.086160330453807,300
132,1,max,19,14.58069133303535,5.621323694682697,300
132,1,max,20,14.429259094331536,5.51855122389295,300
132,1,min,5,19.37163096775955,37.417154764959754,288
132,1,min,6,16.115800551321932,12.453129498540399,288
132,1,min,7,15.561002826852265,9.399910184717204,288
132,1,min,8,15.256637541913951,8.11305317547779,288
132,1,min,9,14.55948130131974,7.210419988644201,288
132,1,min,10,14.054748738239082,6.374315678755134,288
132,1,min,11,13.567986494998028,6.250912934270581,288
132,1,min,12,13.251981224186828,5.382150705270329,288
132,1,min,13,12.914829541150784,5.299475524617618,288
132,1,min,14,12.896317042418382,5.3595704804931765,288
132,1,min,15,12.857106951086656,5.2675056370143665,288
132,1,min,16,12.833312272795954,5.07020077293916,288
132,1,min,17,12.763064845574847,5.027236414712571,288
132,1,min,18,12.693474479166902,5.029947396230138,288
132,1,min,19,12.647609425679155,5.1115748554069995,288
132,1,min,20,12.669661543190873,5.14905753165787,288
132,1,rising,5,15.780765250174962,16.421555118789296,996
132,1,rising,6,15.889422984151361,10.535115887988734,996
132,1,rising,7,15.177104156058368,8.196091032090742,996
132,1,rising,8,15.079625972013018,7.593783473253012,996
132,1,rising,9,14.626890752311146,6.56429012635568,996
132,1,rising,10,14.761832377729721,6.450034024051385,996
132,1,rising,11,14.440662309264106,6.189022041398876,996
132,1,rising,12,14.31093464129381,5.943522161753001,996
132,1,rising,13,14.154569654550128,5.8801765445848115,996
132,1,rising,14,14.185445563581244,5.827294508218108,996
132,1,rising,15,14.030252068854567,5.711737361859997,996
132,1,rising,16,13.866102300038422,5.357114864142844,996
132,1,rising,17,13.754102661931741,5.29790738367615,996
132,1,rising,18,13.66863669109745,5.191403242203466,996
132,1,rising,19,13.599891210649556,5.176668434717853,996
132,1,rising,20,13.554511540352728,5.177053125511512,996
132,1,unknown,5,24.67927099699977,13.213499372588414,80
132,1,unknown,6,22.470607566753547,7.010637238213134,80
132,1,unknown,7,14.635949483408874,10.487340053460231,80
132,1,unknown,8,10.132324572609397,4.409766081138581,80
132,1,unknown,9,8.859459007251647,3.3940541800083643,80
132,1,unknown,10,8.690701565185162,2.5075690337978487,80
132,1,unknown,11,8.403143368284981,1.9981146129092073,80
132,1,unknown,12,8.393236689597067,1.4627766164290805,80
132,1,unknown,13,7.050359022268273,1.7646640962475149,80
132,1,unknown,14,6.929999827076459,1.6377397411192334,80
132,1,unknown,15,6.849793397831287,1.4730793320019118,80
132,1,unknown,16,6.533396225708344,1.1258217690552024,80
132,1,unknown,17,6.52155079101679,1.0219061555772873,80
132,1,unknown,18,6.3636042189633155,0.8882933198220802,80
132,1,unknown,19,6.143848958703019,0.6255031373270366,80
132,1,unknown,20,6.163647708018212,0.7567240774575593,80
132,6,declining,5,19.29715116001959,9.84851751375084,247
132,6,declining,6,17.56121702413831,7.7790609832494795,247
132,6,declining,7,15.281909651904458,5.727456095980385,247
132,6,declining,8,14.325664575875876,5.258339072003717,247
132,6,declining,9,13.151052331036029,4.666505070833066,247
132,6,declining,10,12.538152407932404,4.5235676279731605,247
132,6,declining,11,11.825323926557678,4.120073232741526,247
132,6,declining,12,11.199145218073257,3.747860093444537,247
132,6,declining,13,10.860556291478277,3.5229097848031943,247
132,6,declining,14,10.487786262646022,3.3622276598699967,247
132,6,declining,15,10.147452480770205,3.0419141851192446,247
132,6,declining,16,9.819025695628325,2.8216713624507843,247
132,6,declining,17,9.608098303172062,2.811150739829082,247
132,6,declining,18,9.35059294451884,2.7423053142766363,247
132,6,declining,19,9.114582914255212,2.599507541370642,247
132,6,declining,20,8.961730985809284,2.559835586657861,247
132,6,max,5,17.677287340211407,9.140235929586883,50
132,6,max,6,16.532891948818257,6.544615949284827,50
132,6,max,7,14.73089032318676,5.4694854051245345,50
132,6,max,8,14.330909308304285,5.26982068626526,50
132,6,max,9,12.59720408284719,3.8567616742499835,50
132,6,max,10,12.08847977430438,3.495203717851124,50
132,6,max,11,11.401355270853166,3.682324796304483,50
132,6,max,12,11.060790501449,3.751302647828539,50
132,6,max,13,10.741620265756394,3.46678630863349,50
132,6,max,14,10.427821960257548,3.2641646079644917,50
132,6,max,15,10.317074175422892,2.97168516604857,50
132,6,max,16,10.258666893990808,2.780875602340843,50
132,6,max,17,9.974712058850997,2.6356541081579197,50
132,6,max,18,9.741886515090899,2.6262716741041556,50
132,6,max,19,9.560188713613456,2.552149705112552,50
132,6,max,20,9.30148256634375,2.3412271311956134,50
132,6,min,5,21.03642499376506,12.627036243016285,48
132,6,min,6,19.485371075129592,13.370603439719277,48
132,6,min,7,17.649099856232002,9.427608739560668,48
132,6,min,8,16.241929660061697,7.701911007884121,48
132,6,min,9,14.561348462369772,6.438058095087823,48
132,6,min,10,13.804814073897989,5.040913751036358,48
132,6,min,11,13.295107342747153,4.516118165437331,48
132,6,min,12,12.339658737363306,3.949138710059274,48
132,6,min,13,11.684500573201168,3.3603080919101984,48
132,6,min,14,11.14513926964162,3.155040117980334,48
132,6,min,15,10.495355344627596,2.4788236392698098,48
132,6,min,16,10.236497869159791,2.6451365792200945,48
132,6,min,17,9.889764467727506,2.496073913683358,48
132,6,min,18,9.66805338757318,2.4894199343935206,48
132,6,min,19,9.487148104849021,2.465670700951218,48
132,6,min,20,9.180416820654798,2.3102387680767773,48
132,6,rising,5,18.563204001398507,13.287228810172792,165
132,6,rising,6,16.27052209180752,7.738429358130459,165
132,6,rising,7,14.716500836508283,5.416521030734825,165
132,6,rising,8,13.773395065910197,4.974639415019974,165
132,6,rising,9,12.861157030464355,4.460643830694637,165
132,6,rising,10,12.098088107957746,4.18873514168946,165
132,6,rising,11,11.546005651084625,4.041225530863689,165
132,6,rising,12,11.43592514817665,3.910021728015118,165
132,6,rising,13,11.02644729749645,3.446415921051987,165
132,6,rising,14,10.732652515811903,3.356209542906738,165
132,6,rising,15,10.457840803832541,3.0867268837525472,165
132,6,rising,16,10.219833964016475,2.9466331179599314,165
132,6,rising,17,9.8938672533877,2.7402719776671667,165
132,6,rising,18,9.665151428928052,2.5845650825459354,165
132,6,rising,19,9.445272774498397,2.4605026922044426,165
132,6,rising,20,9.149464216898796,2.441818225847727,165
132,6,unknown,5,8.360023372319782,4.277171965316639,13
132,6,unknown,6,9.436209719744381,5.073432409310088,13
132,6,unknown,7,9.325455628857348,4.5952103069441135,13
132,6,unknown,8,8.92902330732986,4.350046530756643,13
132,6,unknown,9,7.462595820510027,1.8336714698100784,13
132,6,unknown,10,7.776872252608244,2.0119800558157044,13
132,6,unknown,11,7.525143878633391,2.285749614994244,13
132,6,unknown,12,7.7978475582632045,2.4137946503505048,13
132,6,unknown,13,7.988308905059051,2.672704585602914,13
132,6,unknown,14,8.113230355138462,2.9624401189159406,13
132,6,unknown,15,8.300223217834857,3.1723813854987855,13
132,6,unknown,16,8.558703800865285,3.255838963323983,13
132,6,unknown,17,8.595219621839806,3.1803748980104554,13
132,6,unknown,18,8.698724856321077,3.1789314283566212,13
132,6,unknown,19,8.61626006268743,2.9940366952673103,13
132,6,unknown,20,8.503839358837304,2.958673266691224,13
132,12,declining,5,14.561702056092553,7.96096923853248,123
132,12,declining,6,12.387929223547511,6.113476237080762,123
132,12,declining,7,11.430417809388828,5.657827124529735,123
132,12,declining,8,10.22528038471639,3.4357695755773943,123
132,12,declining,9,9.974265102869836,3.5151173470172465,123
132,12,declining,10,9.501956465880765,3.4804193417255527,123
132,12,declining,11,9.08502681877039,2.9631090702321563,123
132,12,declining,12,8.590602229919815,2.4733249417816676,123
132,12,declining,13,8.361929105425341,2.334103486336785,123
132,12,declining,14,8.306043201352649,2.292177437288012,123
132,12,declining,15,8.113727664461392,2.2430286052024613,123
132,12,declining,16,7.902025212563487,2.212912539872181,123
132,12,declining,17,7.750240814484034,2.178427519592712,123
132,12,declining,18,7.486655969520715,2.056091729623901,123
132,12,declining,19,7.291660980061478,1.97052687074626,123
132,12,declining,20,7.135057799600283,1.8125515140086152,123
132,12,max,5,13.04467360965903,4.939034744319906,25
132,12,max,6,10.665649877699066,3.807564700054213,25
132,12,max,7,10.256965946904945,3.2474359551659857,25
132,12,max,8,10.239684998713855,3.5158519032552227,25
132,12,max,9,9.406649657602618,2.769048242365573,25
132,12,max,10,9.16444172999137,2.996359940931349,25
132,12,max,11,8.776356298447705,2.496886281809875,25
132,12,max,12,8.599423473383732,2.2138230636474803,25
132,12,max,13,8.186635524895017,1.929010972155363,25
132,12,max,14,8.259469908264007,2.0892270154424564,25
132,12,max,15,8.25598696104963,2.143389558197236,25
132,12,max,16,7.916477061904344,2.1703897812415,25
132,12,max,17,7.655060398237293,2.1111326419364334,25
132,12,max,18,7.218766549451433,2.056741669059969,25
132,12,max,19,6.905744640076858,1.9373885568304838,25
132,12,max,20,6.660400487621985,1.736118966550062,25
132,12,min,5,17.974242331517523,13.489171975953225,24
132,12,min,6,13.869425641369808,6.213167260315553,24
132,12,min,7,11.805553221361302,3.871651889241335,24
132,12,min,8,10.851932419330867,4.142709978367557,24
132,12,min,9,10.88413779972465,4.347089080216943,24
132,12,min,10,9.419966063808612,2.6309989784500734,24
132,12,min,11,9.242136560884173,2.882477166376786,24
132,12,min,12,9.071608520097666,2.8391172706664025,24
132,12,min,13,8.722778863189998,2.1761760562602177,24
132,12,min,14,8.159706294112159,2.2736165570101607,24
132,12,min,15,8.078186297432435,2.2937156676637427,24
132,12,min,16,7.8402337230946335,2.1954537940992727,24
132,12,min,17,7.884922268175252,2.1276776485249456,24
132,12,min,18,7.596826196603402,2.029697185482324,24
132,12,min,19,7.487536139044923,2.0976715947398943,24
132,12,min,20,7.082542692963152,1.7089421365450033,24
132,12,rising,5,12.925531750423747,6.309788508153071,84
132,12,rising,6,10.945542110660508,4.647119093523359,84
132,12,rising,7,10.58647064989967,4.0223435562006555,84
132,12,rising,8,9.955313955587359,3.495255348826003,84
132,12,rising,9,9.582231363857366,3.343760711876817,84
132,12,rising,10,9.134307489730311,2.9494895327811315,84
132,12,rising,11,9.117492606043808,2.7706418323916173,84
132,12,rising,12,8.736125459490527,2.2435963583158167,84
132,12,rising,13,8.628741926954396,2.235095492386732,84
132,12,rising,14,8.388066626737507,2.334101980219148,84
132,12,rising,15,8.336691859278323,2.2523779706270304,84
132,12,rising,16,8.15273238353918,2.252297616870595,84
132,12,rising,17,7.841793678072669,2.032979180874255,84
132,12,rising,18,7.5545674448020055,1.9344677133430423,84
132,12,rising,19,7.237613104779784,1.7049255295705732,84
132,12,rising,20,7.036411184747415,1.7517157947442472,84
132,12,unknown,5,17.413735832284367,11.48899052194438,6
132,12,unknown,6,8.888738737170575,1.9454935318052133,6
132,12,unknown,7,8.616766682709224,1.6796886056045566,6
132,12,unknown,8,8.085793609166851,1.3617134255956755,6
132,12,unknown,9,7.943715693099974,2.000244203606326,6
132,12,unknown,10,7.184430380570366,1.558114748358442,6
132,12,unknown,11,7.6203038811640615,1.9529760896285804,6
132,12,unknown,12,7.8349479580440695,2.125010836160133,6
132,12,unknown,13,8.101775042374827,2.626442169220445,6
132,12,unknown,14,8.08608141889391,2.3848294065374667,6
132,12,unknown,15,7.92022327807508,2.553883539342912,6
132,12,unknown,16,7.423714477475381,2.011023818008777,6
132,12,unknown,17,7.186455383118141,2.030034179669906,6
132,12,unknown,18,6.843583868356085,1.980875426025622,6
132,12,unknown,19,6.373986812017961,1.6291811992598617,6
132,12,unknown,20,6.351060469084087,1.548928609080447,6
264,1,declining,5,8.673782051643625,3.0121518501597766,1458
264,1,declining,6,9.923844681797442,3.108330584110748,1458
264,1,declining,7,9.298433060920654,3.225989388389909,1458
264,1,declining,8,9.972425589362176,3.342182531562727,1458
264,1,declining,9,9.412190997514719,3.7611045448491693,1458
264,1,declining,10,9.758670100904354,3.666943041079283,1458
264,1,declining,11,9.270331691622165,3.5309702615467407,1458
264,1,declining,12,9.299043077387443,3.3121746590525616,1458
264,1,declining,13,9.180567510465968,3.1419451722830414,1458
264,1,declining,14,9.366847397083868,3.0124515457353827,1458
264,1,declining,15,9.452380308743102,2.8087834669508984,1458
264,1,declining,16,9.499400174841655,2.7006319771186176,1458
264,1,declining,17,9.589801983540166,2.5796251406526935,1458
264,1,declining,18,9.678019116575134,2.547401133156082,1458
264,1,declining,19,9.572190785577897,2.502704252804798,1458
264,1,declining,20,9.505143635544991,2.4029620583946145,1458
264,1,max,5,9.406224033149902,5.866980502456901,288
264,1,max,6,10.481227677234283,5.566921112287368,288
264,1,max,7,8.97479605588569,3.5618053818471185,288
264,1,max,8,9.413019138327547,3.049548570543262,288
264,1,max,9,8.45005605137424,3.0724276672977324,288
264,1,max,10,8.749229677370536,3.068706149368229,288
264,1,max,11,8.410135546556536,3.1441167373193406,288
264,1,max,12,8.342827614649702,2.6608451020095085,288
264,1,max,13,7.696983800679616,2.021581097685061,288
264,1,max,14,7.888924160311112,2.090489760837746,288
264,1,max,15,7.896249846891984,2.150177112546767,288
264,1,max,16,8.008022782102062,2.2456315268644964,288
264,1,max,17,8.00976553095067,2.402859653358125,288
