series,W,G,phase,k,n_windows_x,PR_point_x,PR_mean_orig,PR_std_orig,PR_10_x,PR_50_x,PR_90_x,n_bootstrap_effective_x,n_windows_y,PR_point_y,PR_mean_corr,PR_std_corr,PR_10_y,PR_50_y,PR_90_y,n_bootstrap_effective_y,diff_PR_mean,rel_diff_PR_mean
S0,60,1,declining,5,1542,1.3670817991830673,1.3694904770563516,0.0143065325970359,1.3516051223307872,1.369735759951163,1.3871040594829835,1000,1542,2.5884443199375133,2.600808901057877,0.0477987262500107,2.538415499548851,2.600844098444942,2.662933519918528,1000,1.2313184240015254,0.8991069632321796
S0,60,1,declining,6,1542,1.3962335500296137,1.3982675079602958,0.0148389040911469,1.3795283709909525,1.3984535338759352,1.4170865630605471,1000,1542,2.7931847810268704,2.8123173428664425,0.0535192152750211,2.741667307111363,2.814961474145022,2.880713682701024,1000,1.4140498349061468,1.0112870583461337
S0,60,1,declining,7,1542,1.420535355241153,1.4240691428130072,0.0150449862919613,1.404928248142468,1.423852619644233,1.4430368243445444,1000,1542,2.98404261447034,3.010620396645918,0.061887143375745,2.930305322816474,3.009005431985996,3.0887807292270018,1000,1.586551253832911,1.11409706603076
S0,60,1,declining,8,1542,1.4424990370182629,1.4464134854751098,0.0161908084767207,1.426108534959846,1.4462323254122538,1.467766869224318,1000,1542,3.1758711806050117,3.207102258000935,0.0722239890946059,3.1179192164165324,3.2060027537101057,3.2971233134037994,1000,1.7606887725258253,1.2172790078401987
S0,60,1,declining,9,1542,1.464129130894354,1.4677410698138929,0.0168075762676626,1.4466767486054994,1.4670615198353216,1.489999779902508,1000,1542,3.354704288280172,3.391551687346793,0.0776965706471315,3.289245345684224,3.3913136878190477,3.490706079026418,1000,1.9238106175329002,1.310728886108526
S0,60,1,declining,10,1542,1.4837229423055205,1.4902719673266778,0.0172641999292526,1.4696529976810238,1.490606934477149,1.5109932859316215,1000,1542,3.5244853909828726,3.5627616868633694,0.0832091084698484,3.45626096556159,3.561887313508057,3.669344242733793,1000,2.0724897195366916,1.390678859278568
S0,60,1,declining,11,1542,1.5020301358596024,1.5071938208723537,0.0175975352113757,1.4854680789614618,1.506646728778836,1.528789608131054,1000,1542,3.694025337494372,3.737748342148058,0.0926025314105063,3.6180687352476304,3.738939302457748,3.852476172914829,1000,2.2305545212757045,1.479938738061356
S0,60,1,declining,12,1542,1.5199905903586046,1.5255123802381505,0.018480323549734,1.5026948901538588,1.5253283644723212,1.5492604836193375,1000,1542,3.8591235976341407,3.898342717762337,0.0980829781832368,3.774468715360914,3.896545989645513,4.026459829152964,1000,2.372830337524187,1.5554317147880241
S0,60,1,declining,13,1542,1.5371994208830424,1.5436532624006218,0.0185545823894256,1.5203139208289254,1.5434469644982571,1.568073612268135,1000,1542,4.0182640538379495,4.059109535444795,0.1073301568587835,3.924587669774545,4.057588500230207,4.19673955716803,1000,2.5154562730441725,1.6295474730719288
S0,60,1,declining,14,1542,1.5534553696331903,1.558905085897481,0.0196154266366469,1.5329880741045556,1.559066401024383,1.582376661276495,1000,1542,4.163736499326088,4.212816787568892,0.1086198232978833,4.07822704548202,4.209767411215647,4.349666130488253,1000,2.653911701671411,1.70242032416202
S0,60,1,declining,15,1542,1.5681288937782585,1.5751361515658628,0.0199226583658896,1.550028867457257,1.5751606345752704,1.6008135246027697,1000,1542,4.304583431452534,4.357072107122891,0.1193752938022302,4.202290018634947,4.359224015691654,4.506225763064231,1000,2.781935955557028,1.7661558670921687
S0,60,1,declining,16,1542,1.582147541344347,1.5893302785845314,0.0204860153705242,1.5640700953806836,1.5883161443985814,1.615527371172914,1000,1542,4.436418208065505,4.48951339624831,0.1216936673137901,4.338088732820518,4.483541429696537,4.648573835056595,1000,2.900183117663779,1.8247831534718524
S0,60,1,declining,17,1542,1.5950857075602485,1.603516823902718,0.0208794128467446,1.5771193971471995,1.603716059365384,1.6311448288436814,1000,1542,4.567465407814585,4.61926046212124,0.1237024091584006,4.468381947754826,4.61313273120544,4.783219563657711,1000,3.0157436382185216,1.8807059541032172
S0,60,1,declining,18,1542,1.6078206014397145,1.615390180627975,0.021254722098592,1.5894370016607768,1.61395542756686,1.642292085884382,1000,1542,4.696545921849394,4.758844608110701,0.1341723026257901,4.59054823369272,4.7588042825253885,4.94094984130603,1000,3.1434544274827263,1.945941274857028
S0,60,1,declining,19,1542,1.6202307024962066,1.626812209326553,0.0201405426258243,1.6007157104450631,1.6267514036797697,1.6534966873753096,1000,1542,4.8207986431341245,4.885665985404305,0.1368371065807081,4.713140662017482,4.884563815982467,5.056380339234691,1000,3.2588537760777525,2.0032144812994805
S0,60,1,declining,20,1542,1.6320559724971662,1.640004973758228,0.0214425962857536,1.6123199228452771,1.6399490668736456,1.6666909671846648,1000,1542,4.939414117663143,4.994093431287622,0.1459279974307441,4.805197403547707,4.997387500948216,5.180210432435245,1000,3.354088457529394,2.0451696861889266
S0,60,1,min,5,288,1.6506975852924155,1.6684458236044826,0.0586178665794482,1.5963405138455555,1.665433731583129,1.7471701981483378,1000,288,1.7800074674327158,1.8144018490402225,0.0782172257347655,1.7183538620500136,1.8100143291486208,1.916607327252487,1000,0.14595602543573993,0.08748023062590007
S0,60,1,min,6,288,1.702376251021129,1.7282467549652234,0.0634832151276926,1.6451739522033402,1.7277637895105875,1.810667092569956,1000,288,1.8727736675951572,1.9188092934540768,0.0882832157822963,1.8081529396996523,1.913775966031799,2.0357065395888547,1000,0.1905625384888534,0.11026350140185161
S0,60,1,min,7,288,1.7506005490212837,1.776359094986129,0.0698077408147879,1.6930961420783526,1.7704937679526127,1.8683489366556407,1000,288,1.9590934138120024,2.0051487024534542,0.0976246538708813,1.8858258994900183,1.9996553197282283,2.1269491657357964,1000,0.22878960746732524,0.12879693532298533
S0,60,1,min,8,288,1.793104666795172,1.8217125102298024,0.0707516215104001,1.7348018215091778,1.8161635703407903,1.9151184071353036,1000,288,2.0371389982047483,2.091585101470443,0.1018601750569912,1.972032534539972,2.083681095477856,2.228740210423969,1000,0.26987259124064056,0.14814225061593123
S0,60,1,min,9,288,1.8345636947443031,1.8743992238552485,0.075972336896092,1.7802399591688158,1.8698331423577117,1.9753921960666252,1000,288,2.112110738438351,2.182990871116415,0.1091269910638129,2.0469945003040406,2.1781960444480744,2.3160205097931037,1000,0.3085916472611667,0.164634963210483
S0,60,1,min,10,288,1.873649929350921,1.9150153617061847,0.0804587518262345,1.8170489431691643,1.9118718634299936,2.023917876468257,1000,288,2.184986489820019,2.2535506608737967,0.1214937414467853,2.1042341474177846,2.25285278616482,2.4079702593457952,1000,0.33853529916761205,0.17677941698911162
S0,60,1,min,11,288,1.910939307285018,1.950610879971856,0.0863942985037394,1.8476888155247937,1.941304153453903,2.063285012059647,1000,288,2.2546594562245184,2.322149282984502,0.1322549356338083,2.1620105622618717,2.3098006968665628,2.4981043306070947,1000,0.37153840301264607,0.19047284459830693
S0,60,1,min,12,288,1.9470823740719128,1.9885687725950605,0.0860606884477523,1.8826693572691784,1.9852183114688984,2.1018378173543883,1000,288,2.3175782536081484,2.3906159093446395,0.1350399080356695,2.225692279633673,2.382751889720737,2.5611681967811366,1000,0.40204713674957904,0.20217914627358446
S0,60,1,min,13,288,1.980491272275368,2.0193872658518712,0.0901540560036378,1.9046500510469044,2.0179911343473784,2.1306495610604257,1000,288,2.3806868829334737,2.4483916587011723,0.1404349703169903,2.269367316131854,2.44286603773585,2.6304668811273197,1000,0.42900439284930103,0.21244285338618646
S0,60,1,min,14,288,2.012895171646403,2.058267773558081,0.0894085892273094,1.9520462219547885,2.054308036267721,2.170640670461754,1000,288,2.440051620591525,2.5192865866669285,0.1413176565303467,2.351289330146938,2.511747995936929,2.7112740281423617,1000,0.4610188131088475,0.22398388539693972
S0,60,1,min,15,288,2.0425224912850126,2.0814980985376814,0.096418886429335,1.9583759295961776,2.076337088939772,2.203115536474775,1000,288,2.496503512098,2.5698715076563805,0.1600331331833782,2.3763723103332297,2.5672323639085763,2.7829701027497045,1000,0.4883734091186991,0.2346259213312743
S0,60,1,min,16,288,2.0697469416484995,2.10830180435158,0.0983653457381606,1.9819735733780104,2.103488992769073,2.2384303777617425,1000,288,2.547859303789017,2.616574903453893,0.1672870920265801,2.414338174419703,2.605301254655462,2.8236380943126744,1000,0.508273099102313,0.24108175501876744
S0,60,1,min,17,288,2.0963833321167464,2.1358439363463564,0.1010336788188224,2.0122688198928285,2.129470425550501,2.2679876796686385,1000,288,2.598568656591512,2.670937159152941,0.1703844895599279,2.46567876715516,2.658004256040082,2.887110126964578,1000,0.5350932228065846,0.2505301130390324
S0,60,1,min,18,288,2.120814890565272,2.161045368927545,0.1009604186268449,2.034940605197165,2.159034318544573,2.2931688731235664,1000,288,2.644040632988984,2.711025714494441,0.1729579108582916,2.502255495305107,2.6999538972415054,2.935795174498208,1000,0.5499803455668961,0.2544973620057931
S0,60,1,min,19,288,2.1438138459681944,2.190615222519797,0.1056027730971675,2.057679804504819,2.18560302956014,2.3301436393124875,1000,288,2.6883532660674487,2.7720435200822906,0.1771993683739957,2.551035314342557,2.76492105623611,2.9962309577365183,1000,0.5814282975624936,0.26541781120907876
S0,60,1,min,20,288,2.1663573353703702,2.206735305542317,0.1046743706229763,2.0745573106964024,2.2071329650619127,2.3390225246881777,1000,288,2.728174360149596,2.79441104043328,0.1768130894401267,2.573720890136265,2.790607840737226,3.0205890041355863,1000,0.5876757348909631,0.2663100252282132
S0,60,1,rising,5,996,1.8529658401126827,1.8589064507529889,0.0435689467485696,1.802007644898057,1.857370039756827,1.9154937628135376,1000,996,2.2807893922430105,2.288169756694832,0.0382483635646968,2.239378711275264,2.2888186594900395,2.336827332035762,1000,0.42926330594184314,0.23092248981542943
S0,60,1,rising,6,996,1.902790742374173,1.907148987542398,0.0445148821786485,1.852154807605188,1.9081847528740656,1.9642610197753485,1000,996,2.395746161148232,2.405749262051163,0.0409516332862131,2.354269705185604,2.404547436199548,2.461033370202828,1000,0.4986002745087652,0.26143750580874886
S0,60,1,rising,7,996,1.94453913104946,1.9503415789748768,0.048164344252911,1.8868099994146503,1.9518874658393213,2.0110735254240235,1000,996,2.483610348815836,2.493126839726897,0.0464447373866689,2.4344779677591317,2.4933939988042777,2.551609987788505,1000,0.5427852607520203,0.27830266585267327
S0,60,1,rising,8,996,1.9767725663633973,1.9809966931927907,0.0480065879102686,1.919043523740364,1.9803367822999007,2.0426830514155707,1000,996,2.5652819324814358,2.5766541485019,0.0481835711915752,2.515019993114197,2.5776560065587875,2.6364099154299536,1000,0.5956574553091094,0.3006857393331045
S0,60,1,rising,9,996,2.006466725478323,2.0115633141184155,0.0500773997080632,1.9499820446604883,2.010558020021607,2.0774966434384528,1000,996,2.638227608790804,2.655473288468033,0.0494994264116625,2.5936974275699574,2.65604557708577,2.7174145900682176,1000,0.6439099743496177,0.3201042541540964
S0,60,1,rising,10,996,2.033183150800816,2.041257242855312,0.052002949683125,1.9768745655053253,2.037984813249988,2.1105734441960635,1000,996,2.708951817822914,2.726539100833697,0.053008845880354,2.659115357211919,2.7266808241596605,2.792777449161913,1000,0.685281857978385,0.3357155793944972
